family,representation,metric,k_or_keff,reference_model,size_from,size_to,size_order_from,size_order_to,model_from,model_to,params_from,params_to,score_from,score_to,delta,positive
astropt,bsf,mknn,10,paired_legacysurvey_same_size,15m,95m,0,1,AstroPTv2 Small,AstroPTv2 Base,15000000.0,95000000.0,0.01693622215440952,0.013793103448275862,-0.003143118706133659,False
astropt,bsf,mknn,10,paired_legacysurvey_same_size,95m,850m,1,2,AstroPTv2 Base,AstroPTv2 Large,95000000.0,850000000.0,0.013793103448275862,0.01592920353982301,0.0021361000915471468,True
astropt,bsf,mknn,20,paired_legacysurvey_same_size,15m,95m,0,1,AstroPTv2 Small,AstroPTv2 Base,15000000.0,95000000.0,0.026274031126029905,0.021757705218187366,-0.004516325907842539,False
astropt,bsf,mknn,20,paired_legacysurvey_same_size,95m,850m,1,2,AstroPTv2 Base,AstroPTv2 Large,95000000.0,850000000.0,0.021757705218187366,0.023451327433628318,0.001693622215440952,True
astropt,bsf,mknn,50,paired_legacysurvey_same_size,15m,95m,0,1,AstroPTv2 Small,AstroPTv2 Base,15000000.0,95000000.0,0.042368019530057976,0.036521208422337505,-0.005846811107720472,False
astropt,bsf,mknn,50,paired_legacysurvey_same_size,95m,850m,1,2,AstroPTv2 Base,AstroPTv2 Large,95000000.0,850000000.0,0.036521208422337505,0.0397009459871834,0.003179737564845894,True
astropt,dense,mknn,10,paired_legacysurvey_same_size,15m,95m,0,1,AstroPTv2 Small,AstroPTv2 Base,15000000.0,95000000.0,0.007183837890625,0.009893798828125,0.0027099609374999995,True
astropt,dense,mknn,10,paired_legacysurvey_same_size,95m,850m,1,2,AstroPTv2 Base,AstroPTv2 Large,95000000.0,850000000.0,0.009893798828125,0.0119384765625,0.002044677734375,True
astropt,dense,mknn,20,paired_legacysurvey_same_size,15m,95m,0,1,AstroPTv2 Small,AstroPTv2 Base,15000000.0,95000000.0,0.010595703125,0.0143218994140625,0.0037261962890625007,True
astropt,dense,mknn,20,paired_legacysurvey_same_size,95m,850m,1,2,AstroPTv2 Base,AstroPTv2 Large,95000000.0,850000000.0,0.0143218994140625,0.0166290283203125,0.002307128906249999,True
astropt,dense,mknn,50,paired_legacysurvey_same_size,15m,95m,0,1,AstroPTv2 Small,AstroPTv2 Base,15000000.0,95000000.0,0.017518310546875,0.02310791015625,0.0055895996093750025,True
astropt,dense,mknn,50,paired_legacysurvey_same_size,95m,850m,1,2,AstroPTv2 Base,AstroPTv2 Large,95000000.0,850000000.0,0.02310791015625,0.02632568359375,0.003217773437499998,True
astropt,sae,mknn,10,paired_legacysurvey_same_size,15m,95m,0,1,AstroPTv2 Small,AstroPTv2 Base,15000000.0,95000000.0,0.011687519072322246,0.013304851998779371,0.0016173329264571254,True
astropt,sae,mknn,10,paired_legacysurvey_same_size,95m,850m,1,2,AstroPTv2 Base,AstroPTv2 Large,95000000.0,850000000.0,0.013304851998779371,0.015166310649984744,0.0018614586512053725,True
astropt,sae,mknn,20,paired_legacysurvey_same_size,15m,95m,0,1,AstroPTv2 Small,AstroPTv2 Base,15000000.0,95000000.0,0.017317668599328654,0.01962160512664022,0.0023039365273115654,True
astropt,sae,mknn,20,paired_legacysurvey_same_size,95m,850m,1,2,AstroPTv2 Base,AstroPTv2 Large,95000000.0,850000000.0,0.01962160512664022,0.02305462313091242,0.0034330180042722,True
astropt,sae,mknn,50,paired_legacysurvey_same_size,15m,95m,0,1,AstroPTv2 Small,AstroPTv2 Base,15000000.0,95000000.0,0.027116264876411354,0.034025022886786695,0.00690875801037534,True
astropt,sae,mknn,50,paired_legacysurvey_same_size,95m,850m,1,2,AstroPTv2 Base,AstroPTv2 Large,95000000.0,850000000.0,0.034025022886786695,0.037656393042416844,0.0036313701556301495,True
convnext,bsf,mknn,10,paired_legacysurvey_same_size,nano,tiny,0,1,ConvNeXtv2 Nano,ConvNeXtv2 Tiny,15000000.0,28000000.0,0.016081782117790662,0.015440952090326518,-0.000640830027464144,False
convnext,bsf,mknn,10,paired_legacysurvey_same_size,tiny,base,1,2,ConvNeXtv2 Tiny,ConvNeXtv2 Base,28000000.0,89000000.0,0.015440952090326518,0.019499542264266097,0.004058590173939579,True
convnext,bsf,mknn,10,paired_legacysurvey_same_size,base,large,2,3,ConvNeXtv2 Base,ConvNeXtv2 Large,89000000.0,198000000.0,0.019499542264266097,0.019774183704607873,0.000274641440341776,True
convnext,bsf,mknn,20,paired_legacysurvey_same_size,nano,tiny,0,1,ConvNeXtv2 Nano,ConvNeXtv2 Tiny,15000000.0,28000000.0,0.022978333841928593,0.021925541653951785,-0.001052792187976808,False
convnext,bsf,mknn,20,paired_legacysurvey_same_size,tiny,base,1,2,ConvNeXtv2 Tiny,ConvNeXtv2 Base,28000000.0,89000000.0,0.021925541653951785,0.02651815685077815,0.0045926151968263655,True
convnext,bsf,mknn,20,paired_legacysurvey_same_size,base,large,2,3,ConvNeXtv2 Base,ConvNeXtv2 Large,89000000.0,198000000.0,0.02651815685077815,0.026640219713152273,0.00012206286237412267,True
convnext,bsf,mknn,50,paired_legacysurvey_same_size,nano,tiny,0,1,ConvNeXtv2 Nano,ConvNeXtv2 Tiny,15000000.0,28000000.0,0.03663716814159292,0.03753433018004272,0.0008971620384497989,True
convnext,bsf,mknn,50,paired_legacysurvey_same_size,tiny,base,1,2,ConvNeXtv2 Tiny,ConvNeXtv2 Base,28000000.0,89000000.0,0.03753433018004272,0.043448275862068966,0.005913945682026245,True
convnext,bsf,mknn,50,paired_legacysurvey_same_size,base,large,2,3,ConvNeXtv2 Base,ConvNeXtv2 Large,89000000.0,198000000.0,0.043448275862068966,0.0420933780897162,-0.0013548977723527658,False
convnext,dense,mknn,10,paired_legacysurvey_same_size,nano,tiny,0,1,ConvNeXtv2 Nano,ConvNeXtv2 Tiny,15000000.0,28000000.0,0.009747314453125,0.009100341796875,-0.0006469726562499997,False
convnext,dense,mknn,10,paired_legacysurvey_same_size,tiny,base,1,2,ConvNeXtv2 Tiny,ConvNeXtv2 Base,28000000.0,89000000.0,0.009100341796875,0.011724853515625,0.00262451171875,True
convnext,dense,mknn,10,paired_legacysurvey_same_size,base,large,2,3,ConvNeXtv2 Base,ConvNeXtv2 Large,89000000.0,198000000.0,0.011724853515625,0.0132080078125,0.0014831542968750007,True
convnext,dense,mknn,20,paired_legacysurvey_same_size,nano,tiny,0,1,ConvNeXtv2 Nano,ConvNeXtv2 Tiny,15000000.0,28000000.0,0.0119537353515625,0.0113677978515625,-0.0005859374999999997,False
