pair,family,size_name,approx_params_m,d,s,lift,logp
official_legacy_cross_convnext_nano,convnext,nano,15.0,0.0092462618248397,0.0160817821177906,0.006835520292950899,7.176091259055681
official_legacy_cross_convnext_tiny,convnext,tiny,28.0,0.0084833689350015,0.0154409520903265,0.006957583155325001,7.447158031342219
official_legacy_cross_convnext_base,convnext,base,89.0,0.0102532804394263,0.019499542264266,0.0092462618248397,7.949390006644912
official_legacy_cross_convnext_large,convnext,large,198.0,0.0124504119621605,0.0197741837046078,0.0073237717424473,8.296665190261532
official_legacy_cross_astropt_15m,astropt,15m,15.0,0.0065913945682026,0.0169362221544095,0.0103448275862069,7.176091259055681
official_legacy_cross_astropt_95m,astropt,95m,95.0,0.0097955447055233,0.0137931034482758,0.0039975587427525,7.977723605288848
official_legacy_cross_astropt_850m,astropt,850m,850.0,0.0108025633201098,0.015929203539823,0.0051266402197132025,8.929418925714293
official_legacy_cross_dino_small,dinov2,small,22.0,0.0121147390906316,0.0138236191638693,0.0017088800732377,7.342422680822207
official_legacy_cross_dino_base,dinov2,base,86.0,0.0093988404028074,0.0163564235581324,0.006957583155324999,7.9344984512435675
official_legacy_cross_dino_large,dinov2,large,300.0,0.0113518462007934,0.0176380836130607,0.0062862374122672985,8.477121254719663
official_legacy_cross_dino_giant,dinov2,giant,1100.0,0.0115654562099481,0.0207812023191943,0.009215746109246201,9.041392685158225
official_legacy_cross_vit_base,vit,base,86.0,0.0071101617332926,0.0125114433933475,0.0054012816600549,7.9344984512435675
official_legacy_cross_vit_large,vit,large,307.0,0.0136710405859017,0.0192249008239243,0.005553860238022601,8.487138375477187
official_legacy_cross_vit_huge,vit,huge,632.0,0.0144644491913335,0.0192554165395178,0.004790967348184299,8.800717078282386
official_legacy_cross_ijepa_huge,ijepa,huge,630.0,0.0107415318889227,0.0275251754653646,0.016783643576441902,8.799340549453582
official_legacy_cross_ijepa_giant,ijepa,giant,1000.0,0.0175770521818736,0.0320720170888007,0.014494964906927098,9.0
