family,representation,metric,k_or_keff,n_sizes,spearman_logP,spearman_p,direction_delta,note
astropt,bsf,mknn,10,3,-0.5,0.6666666666666667,-0.001007018614586512,
astropt,bsf,mknn,20,3,-0.5,0.6666666666666667,-0.0028227036924015868,
astropt,bsf,mknn,50,3,-0.5,0.6666666666666667,-0.0026670735428745776,
astropt,dense,mknn,10,3,1.0,0.0,0.0047546386718749995,
astropt,dense,mknn,20,3,1.0,0.0,0.0060333251953125,
astropt,dense,mknn,50,3,1.0,0.0,0.008807373046875,
astropt,sae,mknn,10,3,1.0,0.0,0.003478791577662498,
astropt,sae,mknn,20,3,1.0,0.0,0.0057369545315837656,
astropt,sae,mknn,50,3,1.0,0.0,0.01054012816600549,
convnext,bsf,mknn,10,4,0.7999999999999999,0.20000000000000007,0.003692401586817211,
convnext,bsf,mknn,20,4,0.7999999999999999,0.20000000000000007,0.00366188587122368,
convnext,bsf,mknn,50,4,0.7999999999999999,0.20000000000000007,0.005456209948123278,
convnext,dense,mknn,10,4,0.7999999999999999,0.20000000000000007,0.003460693359375001,
convnext,dense,mknn,20,4,0.7999999999999999,0.20000000000000007,0.0028900146484374997,
convnext,dense,mknn,50,4,0.7999999999999999,0.20000000000000007,0.003303222656249997,
convnext,sae,mknn,10,4,0.6000000000000001,0.3999999999999999,9.154714678059027e-05,
convnext,sae,mknn,20,4,0.6000000000000001,0.3999999999999999,0.00038144644491913335,
convnext,sae,mknn,50,4,0.6000000000000001,0.3999999999999999,0.001696673787000301,
dinov2,bsf,mknn,10,4,1.0,0.0,0.0069575831553249905,
dinov2,bsf,mknn,20,4,1.0,0.0,0.007796765334147086,
dinov2,bsf,mknn,50,4,1.0,0.0,0.009948123283490998,
dinov2,dense,mknn,10,4,0.7999999999999999,0.20000000000000007,0.001068115234375,
dinov2,dense,mknn,20,4,0.7999999999999999,0.20000000000000007,0.0014160156249999993,
dinov2,dense,mknn,50,4,0.7999999999999999,0.20000000000000007,0.0019238281249999989,
dinov2,sae,mknn,10,4,0.7999999999999999,0.20000000000000007,0.0013426914861153494,
dinov2,sae,mknn,20,4,0.7999999999999999,0.20000000000000007,0.0018919743667989014,
dinov2,sae,mknn,50,4,0.6000000000000001,0.3999999999999999,0.003069880988709188,
ijepa,bsf,mknn,10,2,,,0.004546841623436066,two_sizes_direction_only
ijepa,bsf,mknn,20,2,,,0.004867256637168145,two_sizes_direction_only
ijepa,bsf,mknn,50,2,,,0.006481537992065918,two_sizes_direction_only
ijepa,dense,mknn,10,2,,,0.007379150390625,two_sizes_direction_only
ijepa,dense,mknn,20,2,,,0.0086334228515625,two_sizes_direction_only
ijepa,dense,mknn,50,2,,,0.0113037109375,two_sizes_direction_only
ijepa,sae,mknn,10,2,,,0.0044552944766554775,two_sizes_direction_only
ijepa,sae,mknn,20,2,,,0.00640830027464144,two_sizes_direction_only
ijepa,sae,mknn,50,2,,,0.00900213610009154,two_sizes_direction_only
vit,bsf,mknn,10,3,1.0,0.0,0.006743973146170278,
vit,bsf,mknn,20,3,1.0,0.0,0.010466890448581019,
vit,bsf,mknn,50,3,1.0,0.0,0.0164174549893195,
vit,dense,mknn,10,3,0.5,0.6666666666666667,0.00716552734375,
vit,dense,mknn,20,3,0.5,0.6666666666666667,0.008306884765625001,
vit,dense,mknn,50,3,0.5,0.6666666666666667,0.010358886718750002,
vit,sae,mknn,10,3,0.5,0.6666666666666667,0.006652425999389686,
vit,sae,mknn,20,3,0.5,0.6666666666666667,0.008513884650595056,
vit,sae,mknn,50,3,0.5,0.6666666666666667,0.013097345132743361,
