family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.014922184925236498,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.020903265181568507,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.03321940799511749,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.01464754348489472,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.020521818736649374,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.03254195910894111,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.01736344217271895,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.023558132438205676,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.038083613060726274,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.015013732072017089,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.02128471162648764,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.03491608178211779,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.011687519072322246,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.017317668599328654,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.027116264876411354,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.013304851998779371,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.01962160512664022,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.034025022886786695,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.015166310649984744,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.02305462313091242,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.037656393042416844,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.015685077815074763,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.020659139456820262,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.03176075678974672,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.014006713457430578,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.01919438510833079,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Base,official_legacy_cross_dino_base,base,1,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.031132133048519986,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.01690570643881599,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.021833994507171193,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Large,official_legacy_cross_dino_large,large,2,300000000.0,8.477121254719663,300.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.035587427525175463,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.017027769301190113,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.022551113823619164,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
dinov2,DINOv2 Giant,official_legacy_cross_dino_giant,giant,3,1100000000.0,9.041392685158225,1100.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.03483063777845591,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.011565456209948123,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.015883429966432713,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.02574916081782118,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.019346963686298443,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.0244278303326213,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.03915776624961855,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.01821788220933781,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.02439731461702777,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.03884650595056454,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.023649679584986268,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,20,0.03237717424473604,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,50,0.04938663411657004,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
ijepa,IJEPA Giant,official_legacy_cross_ijepa_giant,giant,1,1000000000.0,9.0,1000.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn,10,0.028104974061641745,,,,,16384,heldout_query_full_gallery,shared_best_basis_idf
