family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,dense_score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw,other_score,model_o,size_label_o,parameter_count_o,log10_parameter_count_o,lift,score
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.009747314453125,,,,,16384,paper_full_catalog,dense_cosine,0.014922184925236498,ConvNeXtv2 Nano,nano,15000000.0,7.176091259055681,0.005174870472111499,0.005174870472111499
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0119537353515625,,,,,16384,paper_full_catalog,dense_cosine,0.020903265181568507,ConvNeXtv2 Nano,nano,15000000.0,7.176091259055681,0.008949529830006008,0.008949529830006008
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.01911376953125,,,,,16384,paper_full_catalog,dense_cosine,0.03321940799511749,ConvNeXtv2 Nano,nano,15000000.0,7.176091259055681,0.014105638463867486,0.014105638463867486
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.009100341796875,,,,,16384,paper_full_catalog,dense_cosine,0.01464754348489472,ConvNeXtv2 Tiny,tiny,28000000.0,7.447158031342219,0.005547201688019721,0.005547201688019721
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0113677978515625,,,,,16384,paper_full_catalog,dense_cosine,0.020521818736649374,ConvNeXtv2 Tiny,tiny,28000000.0,7.447158031342219,0.009154020885086874,0.009154020885086874
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.018310546875,,,,,16384,paper_full_catalog,dense_cosine,0.03254195910894111,ConvNeXtv2 Tiny,tiny,28000000.0,7.447158031342219,0.014231412233941108,0.014231412233941108
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.011724853515625,,,,,16384,paper_full_catalog,dense_cosine,0.01736344217271895,ConvNeXtv2 Base,base,89000000.0,7.949390006644912,0.00563858865709395,0.00563858865709395
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0140899658203125,,,,,16384,paper_full_catalog,dense_cosine,0.023558132438205676,ConvNeXtv2 Base,base,89000000.0,7.949390006644912,0.009468166617893176,0.009468166617893176
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.02184326171875,,,,,16384,paper_full_catalog,dense_cosine,0.038083613060726274,ConvNeXtv2 Base,base,89000000.0,7.949390006644912,0.016240351341976274,0.016240351341976274
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.0132080078125,,,,,16384,paper_full_catalog,dense_cosine,0.015013732072017089,ConvNeXtv2 Large,large,198000000.0,8.296665190261532,0.0018057242595170882,0.0018057242595170882
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.01484375,,,,,16384,paper_full_catalog,dense_cosine,0.02128471162648764,ConvNeXtv2 Large,large,198000000.0,8.296665190261532,0.0064409616264876415,0.0064409616264876415
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.0224169921875,,,,,16384,paper_full_catalog,dense_cosine,0.03491608178211779,ConvNeXtv2 Large,large,198000000.0,8.296665190261532,0.01249908959461779,0.01249908959461779
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.007183837890625,,,,,16384,paper_full_catalog,dense_cosine,0.011687519072322246,AstroPTv2 Small,15m,15000000.0,7.176091259055681,0.004503681181697246,0.004503681181697246
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.010595703125,,,,,16384,paper_full_catalog,dense_cosine,0.017317668599328654,AstroPTv2 Small,15m,15000000.0,7.176091259055681,0.006721965474328654,0.006721965474328654
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.017518310546875,,,,,16384,paper_full_catalog,dense_cosine,0.027116264876411354,AstroPTv2 Small,15m,15000000.0,7.176091259055681,0.009597954329536355,0.009597954329536355
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.009893798828125,,,,,16384,paper_full_catalog,dense_cosine,0.013304851998779371,AstroPTv2 Base,95m,95000000.0,7.977723605288848,0.0034110531706543715,0.0034110531706543715
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0143218994140625,,,,,16384,paper_full_catalog,dense_cosine,0.01962160512664022,AstroPTv2 Base,95m,95000000.0,7.977723605288848,0.005299705712577719,0.005299705712577719
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.02310791015625,,,,,16384,paper_full_catalog,dense_cosine,0.034025022886786695,AstroPTv2 Base,95m,95000000.0,7.977723605288848,0.010917112730536693,0.010917112730536693
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.0119384765625,,,,,16384,paper_full_catalog,dense_cosine,0.015166310649984744,AstroPTv2 Large,850m,850000000.0,8.929418925714293,0.003227834087484744,0.003227834087484744
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0166290283203125,,,,,16384,paper_full_catalog,dense_cosine,0.02305462313091242,AstroPTv2 Large,850m,850000000.0,8.929418925714293,0.00642559481059992,0.00642559481059992
