pair,mknn_s,family,approx_params_m,mknn_d,size_name,paper_model,lift,logp
official_legacy_cross_convnext_nano,0.014922184925236498,convnext,15.0,0.009246261824839792,nano,ConvNeXtv2 Nano,0.005675923100396706,7.176091259055681
official_legacy_cross_convnext_tiny,0.01464754348489472,convnext,28.0,0.008483368935001526,tiny,ConvNeXtv2 Tiny,0.006164174549893195,7.447158031342219
official_legacy_cross_convnext_base,0.01736344217271895,convnext,89.0,0.010253280439426304,base,ConvNeXtv2 Base,0.007110161733292646,7.949390006644912
official_legacy_cross_convnext_large,0.015013732072017089,convnext,198.0,0.012450411962160512,large,ConvNeXtv2 Large,0.002563320109856576,8.296665190261532
official_legacy_cross_astropt_15m,0.011687519072322246,astropt,15.0,0.006591394568202624,15m,AstroPTv2 Small,0.0050961245041196215,7.176091259055681
official_legacy_cross_astropt_95m,0.013304851998779371,astropt,95.0,0.009795544705523344,95m,AstroPTv2 Base,0.003509307293256027,7.977723605288848
official_legacy_cross_astropt_850m,0.015166310649984744,astropt,850.0,0.010802563320109856,850m,AstroPTv2 Large,0.004363747329874887,8.929418925714293
official_legacy_cross_dino_small,0.015685077815074763,dinov2,22.0,0.012114739090631675,small,DINOv2 Small,0.003570338724443088,7.342422680822207
official_legacy_cross_dino_base,0.014006713457430578,dinov2,86.0,0.009398840402807446,base,DINOv2 Base,0.004607873054623133,7.9344984512435675
official_legacy_cross_dino_large,0.01690570643881599,dinov2,300.0,0.011351846200793408,large,DINOv2 Large,0.0055538602380225816,8.477121254719663
official_legacy_cross_dino_giant,0.017027769301190113,dinov2,1100.0,0.011565456209948123,giant,DINOv2 Giant,0.0054623130912419895,9.041392685158225
official_legacy_cross_vit_base,0.011565456209948123,vit,86.0,0.007110161733292646,base,ViT Base,0.0044552944766554775,7.9344984512435675
official_legacy_cross_vit_large,0.019346963686298443,vit,307.0,0.01367104058590174,large,ViT Large,0.005675923100396704,8.487138375477187
official_legacy_cross_vit_huge,0.01821788220933781,vit,632.0,0.014464449191333537,huge,ViT Huge,0.003753433018004272,8.800717078282386
official_legacy_cross_ijepa_huge,0.023649679584986268,ijepa,630.0,0.010741531888922795,huge,IJEPA Huge,0.012908147696063473,8.799340549453582
official_legacy_cross_ijepa_giant,0.028104974061641745,ijepa,1000.0,0.017577052181873665,giant,IJEPA Giant,0.01052792187976808,9.0
