family,from,to,log10P_from,log10P_to,D_sae_aligned,D_bsf_aligned,D_sae_vs_dense,D_bsf_vs_dense
astropt,15m,95m,7.176091259055681,7.977723605288848,-0.010558437595361497,-0.0242905096124504,0.001220628623741303,-0.012511443393347602
astropt,95m,850m,7.977723605288848,8.929418925714293,0.0036618858712236975,0.003936527311565501,0.001312175770521798,0.0015868172108636017
convnext,nano,tiny,7.176091259055681,7.447158031342219,-0.001098565761367,3.0515715593600057e-05,-0.0005797985962769994,0.0005492828806836006
convnext,tiny,base,7.447158031342219,7.949390006644912,0.00033567287152880265,0.0012206286237412996,0.0023497101007018024,0.0032346658529142994
convnext,base,large,7.949390006644912,8.296665190261532,-0.0031126029905401004,-0.0008849557522123963,-0.002624351541043606,-0.00039670430271590215
dinov2,small,base,7.342422680822207,7.9344984512435675,0.004974061641745499,0.005492828806835503,0.0066524259993896995,0.0071711931644797035
dinov2,base,large,7.9344984512435675,8.477121254719663,-0.002075068660360096,-0.0007628928898381973,-9.154714678060241e-05,0.001220628623741296
dinov2,large,giant,8.477121254719663,9.041392685158225,-0.0008849557522123061,0.0034177601464754973,0.0006713457430577024,0.004974061641745506
ijepa,huge,giant,8.799340549453582,9.0,-0.009124198962465704,-0.013365883429966502,-0.006225205981080201,-0.010466890448580998
vit,base,large,7.9344984512435675,8.487138375477187,-0.007323771742447298,-0.009185230393652707,0.001983521513579504,0.00012206286237409492
vit,large,huge,8.487138375477187,8.800717078282386,0.0017699115044248065,0.002593835825450211,0.0006103143118705995,0.0014342386328960038
