family,method,n_rungs,two_point,intercept,slope,R2,first_to_last_delta
astropt,dense,3,False,-0.017994790618317925,0.004964559398779932,0.9971499540579464,0.008727494659749799
astropt,dense_ridge,3,False,-0.03759613868192695,0.010100101270807378,0.7922789533510508,0.0181568507781507
astropt,sae_ridge,3,False,-0.021732572036976476,0.006407096612903077,0.9977160226424444,0.0112602990540129
astropt,bsf_ridge,3,False,0.041692024089895766,-0.001022218890967476,0.04566996635127463,-0.002197131522734201
convnext,dense,4,False,-0.0020188116381048586,0.00276558074659386,0.9834831466912836,0.0031126029905401004
convnext,dense_ridge,4,False,0.000177120718394484,0.0056750258782014605,0.9930072015398677,0.006133658834299595
convnext,sae_ridge,4,False,0.009989844231881637,0.0028613761435410117,0.6424671545712481,0.002258162953921297
convnext,bsf_ridge,4,False,-0.01642233436106976,0.006329301290125888,0.9617755982205539,0.006499847421422098
dinov2,dense,4,False,0.021354919793295776,4.168311753813155e-05,0.00041907852414801994,-0.0007628928898383014
dinov2,dense_ridge,4,False,0.01002519259614017,0.0031672815304279673,0.6822389545512453,0.004455294476655401
dinov2,sae_ridge,4,False,-0.0018994347117021625,0.0039145369129690395,0.928366859348204,0.006469331705828498
dinov2,bsf_ridge,4,False,-0.028182016261715837,0.007397460960061335,0.9955394285445345,0.012602990540128204
ijepa,dense,2,True,-0.5621809092257708,0.06615355642128137,1.0,0.013274336283185799
ijepa,dense_ridge,2,True,-0.6692590468240274,0.0806008848351249,1.0,0.016173329264571303
ijepa,sae_ridge,2,True,-0.26310154713421746,0.035129819616818596,1.0,0.007049130302105598
ijepa,bsf_ridge,2,True,-0.06876393760554886,0.013991096990247977,1.0,0.0028074458346048006
vit,dense,3,False,-0.08713142698901925,0.012970861058539871,0.9518797775143586,0.010833079035703401
vit,dense_ridge,3,False,-0.15592382731773427,0.023228097722629796,0.887781057320081,0.018980775099175996
vit,sae_ridge,3,False,-0.10415191393103254,0.016033380326020565,0.9583223021092733,0.013426914861153504
vit,bsf_ridge,3,False,-0.09118906671703726,0.014587131484715509,0.9852593279332559,0.0123893805309735
