pair,family,size_name,size_rank,approx_params_m,log10P,dense,dense_ridge,sae_ridge,bsf_ridge,A_ridge,S_sae,S_bsf,raw_sae,raw_bsf
official_legacy_cross_astropt_15m,astropt,15m,0,15,7.176091259055681,0.017485505035093,0.0320415013732072,0.0240768996032956,0.0369240158681721,0.014555996338114201,-0.007964601769911601,0.0048825144949649,0.0065913945682026,0.0194385108330791
official_legacy_cross_astropt_95m,astropt,95m,1,95,7.977723605288848,0.0218797680805614,0.0482148306377784,0.0296917912725053,0.0288068355202929,0.026335062557217,-0.018523039365273098,-0.0194079951174855,0.007812023191943903,0.0069270674397315
official_legacy_cross_astropt_850m,astropt,850m,2,850,8.929418925714293,0.0262129996948428,0.0501983521513579,0.0353371986573085,0.0347268843454379,0.0239853524565151,-0.0148611534940494,-0.01547146780592,0.009124198962465701,0.008513884650595101
official_legacy_cross_convnext_nano,convnext,nano,0,15,7.176091259055681,0.0179737564845895,0.0411046689044858,0.0306377784559047,0.0291425083918217,0.023130912419896302,-0.010466890448581102,-0.011962160512664102,0.0126640219713152,0.0111687519072322
official_legacy_cross_convnext_tiny,convnext,tiny,1,28,7.447158031342219,0.018462007934086,0.0421116875190723,0.0305462313091242,0.0301800427220018,0.023649679584986302,-0.011565456209948102,-0.011931644797070502,0.0120842233750382,0.0117180347879158
official_legacy_cross_convnext_base,convnext,base,2,89,7.949390006644912,0.0197741837046078,0.0454379005187671,0.0342081171803478,0.0347268843454379,0.025663716814159302,-0.0112297833384193,-0.010711016173329202,0.014433933475740002,0.0149527006408301
official_legacy_cross_convnext_large,convnext,large,3,198,8.296665190261532,0.0210863594751296,0.0472383277387854,0.032895941409826,0.0356423558132438,0.026151968263655796,-0.0143423863289594,-0.011595971925541598,0.011809581934696396,0.014555996338114198
official_legacy_cross_dino_small,dinov2,small,0,22,7.342422680822207,0.022886786695148,0.0345437900518767,0.0262740311260299,0.0264266097039975,0.011657003356728701,-0.0082697589258468,-0.008117180347879203,0.0033872444308819007,0.0035398230088494985
official_legacy_cross_dino_base,dinov2,base,1,86,7.9344984512435675,0.0195300579798596,0.0328654256942325,0.0295697284101312,0.0302410741531888,0.013335367714372902,-0.0032956972841013017,-0.0026243515410437,0.0100396704302716,0.010711016173329202
official_legacy_cross_dino_large,dinov2,large,2,300,8.477121254719663,0.0222459566676838,0.0375648458956362,0.0321940799511748,0.0341776014647543,0.015318889227952395,-0.0053707659444613975,-0.003387244430881897,0.009948123283490998,0.011931644797070498
official_legacy_cross_dino_giant,dinov2,giant,3,1100,9.041392685158225,0.0221238938053097,0.0389990845285321,0.0327433628318584,0.0390296002441257,0.016875190723222404,-0.006255721696673704,3.0515715593600057e-05,0.0106194690265487,0.016905706438816004
official_legacy_cross_ijepa_huge,ijepa,huge,0,630,8.799340549453582,0.0199267622825755,0.0399755874275251,0.0460176991150442,0.0543484894720781,0.0200488251449496,0.0060421116875191,0.014372902044553,0.0260909368324687,0.0344217271895026
official_legacy_cross_ijepa_giant,ijepa,giant,1,1000,9.0,0.0332010985657613,0.0561489166920964,0.0530668294171498,0.0571559353066829,0.022947818126335104,-0.0030820872749466044,0.0010070186145864982,0.0198657308513885,0.023954836740921602
official_legacy_cross_vit_base,vit,base,0,86,7.9344984512435675,0.0152578577967653,0.0268843454379005,0.0224595666768385,0.0242294781812633,0.011626487641135202,-0.004424778761062002,-0.0026548672566371993,0.0072017088800731995,0.008971620384498002
official_legacy_cross_vit_large,vit,large,1,307,8.487138375477187,0.0244125724748245,0.0453463533719865,0.0335978028684772,0.0335062557216966,0.020933780897162003,-0.0117485505035093,-0.011840097650289906,0.009185230393652703,0.009093683246872097
official_legacy_cross_vit_huge,vit,huge,2,632,8.800717078282386,0.0260909368324687,0.0458651205370765,0.035886481537992,0.0366188587122368,0.019774183704607796,-0.009978638999084494,-0.009246261824839695,0.009795544705523303,0.010527921879768101
