family,n_rungs,two_point,representation,beta_dense_ridge,beta_rep,delta_beta
astropt,3,False,SAE,0.010100101270807378,0.006407096612903077,-0.003693004657904301
astropt,3,False,BSF,0.010100101270807378,-0.001022218890967476,-0.011122320161774855
convnext,4,False,SAE,0.0056750258782014605,0.0028613761435410117,-0.002813649734660449
convnext,4,False,BSF,0.0056750258782014605,0.006329301290125888,0.000654275411924427
dinov2,4,False,SAE,0.0031672815304279673,0.0039145369129690395,0.0007472553825410722
dinov2,4,False,BSF,0.0031672815304279673,0.007397460960061335,0.004230179429633368
ijepa,2,True,SAE,0.0806008848351249,0.035129819616818596,-0.0454710652183063
ijepa,2,True,BSF,0.0806008848351249,0.013991096990247977,-0.06660978784487692
vit,3,False,SAE,0.023228097722629796,0.016033380326020565,-0.007194717396609231
vit,3,False,BSF,0.023228097722629796,0.014587131484715509,-0.008640966237914287
