pair,family,size_name,rank,k,mknn,val_mknn,selected
official_legacy_cross_astropt_15m,astropt,15m,32,10,0.02334452242905096,0.02955758962623951,False
official_legacy_cross_astropt_15m,astropt,15m,64,10,0.027891364052487034,0.03531655225019069,False
official_legacy_cross_astropt_15m,astropt,15m,128,10,0.0351235886481538,0.046186117467582,False
official_legacy_cross_astropt_15m,astropt,15m,256,10,0.04171498321635642,0.0513348588863463,True
official_legacy_cross_astropt_95m,astropt,95m,32,10,0.032621299969484284,0.036803966437833714,False
official_legacy_cross_astropt_95m,astropt,95m,64,10,0.039456820262435154,0.04443173150266972,False
official_legacy_cross_astropt_95m,astropt,95m,128,10,0.04946597497711321,0.05736079328756675,False
official_legacy_cross_astropt_95m,astropt,95m,256,10,0.056393042416844674,0.0649122807017544,True
official_legacy_cross_astropt_850m,astropt,850m,32,10,0.03570338724443088,0.040922959572845155,False
official_legacy_cross_astropt_850m,astropt,850m,64,10,0.04473603906011596,0.0505720823798627,False
official_legacy_cross_astropt_850m,astropt,850m,128,10,0.05300579798596276,0.061556064073226543,False
official_legacy_cross_astropt_850m,astropt,850m,256,10,0.06267927982911199,0.07330282227307398,True
official_legacy_cross_convnext_nano,convnext,nano,32,10,0.028166005492828806,0.035774218154080856,False
official_legacy_cross_convnext_nano,convnext,nano,64,10,0.033994507171193164,0.041762013729977114,False
official_legacy_cross_convnext_nano,convnext,nano,128,10,0.04168446750076289,0.049160945842868044,False
official_legacy_cross_convnext_nano,convnext,nano,256,10,0.04510222764723833,0.05633104500381388,True
official_legacy_cross_convnext_tiny,convnext,tiny,32,10,0.028410131217577052,0.03306636155606407,False
official_legacy_cross_convnext_tiny,convnext,tiny,64,10,0.03378089716203845,0.039435545385202136,False
official_legacy_cross_convnext_tiny,convnext,tiny,128,10,0.042325297528227036,0.0477116704805492,False
official_legacy_cross_convnext_tiny,convnext,tiny,256,10,0.04888617638083613,0.05579710144927537,True
official_legacy_cross_convnext_base,convnext,base,32,10,0.03063777845590479,0.03840579710144927,False
official_legacy_cross_convnext_base,convnext,base,64,10,0.0366188587122368,0.04416475972540046,False
official_legacy_cross_convnext_base,convnext,base,128,10,0.043210253280439426,0.04988558352402746,False
official_legacy_cross_convnext_base,convnext,base,256,10,0.048672566371681415,0.0562929061784897,True
official_legacy_cross_convnext_large,convnext,large,32,10,0.029722306988098874,0.03585049580472922,False
official_legacy_cross_convnext_large,convnext,large,64,10,0.03619163869392737,0.045423340961098395,False
