family,size_from,size_to,logP_from,logP_to,params_m_from,params_m_to,dense_from,dense_to,delta_dense,sae_from,sae_to,delta_sae,D_sae,bsf_from,bsf_to,delta_bsf,D_bsf,k,dense_method,sae_method,bsf_method
astropt,15m,95m,7.176091259055681,7.977723605288848,15.0,95.0,0.0065913945682026,0.0097955447055233,0.0032041501373206993,0.0116875190723222,0.0133048519987793,0.0016173329264570994,-0.0015868172108636,0.0169362221544095,0.0137931034482758,-0.0031431187061337004,-0.0063472688434544,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
astropt,95m,850m,7.977723605288848,8.929418925714293,95.0,850.0,0.0097955447055233,0.0108025633201098,0.0010070186145865,0.0133048519987793,0.0151663106499847,0.0018614586512054002,0.0008544400366189003,0.0137931034482758,0.015929203539823,0.0021361000915472023,0.0011290814769607024,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
convnext,nano,tiny,7.176091259055681,7.447158031342219,15.0,28.0,0.0092462618248397,0.0084833689350015,-0.0007628928898382008,0.0149221849252364,0.0146475434848947,-0.0002746414403416997,0.0004882514494965011,0.0160817821177906,0.0154409520903265,-0.0006408300274640989,0.00012206286237410185,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
convnext,tiny,base,7.447158031342219,7.949390006644912,28.0,89.0,0.0084833689350015,0.0102532804394263,0.0017699115044247996,0.0146475434848947,0.0173634421727189,0.0027158986878242017,0.0009459871833994021,0.0154409520903265,0.019499542264266,0.004058590173939499,0.0022886786695146995,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
convnext,base,large,7.949390006644912,8.296665190261532,89.0,198.0,0.0102532804394263,0.0124504119621605,0.002197131522734201,0.0173634421727189,0.0149832163564235,-0.0023802258162954008,-0.004577357339029602,0.019499542264266,0.0197741837046078,0.0002746414403418003,-0.0019224900823924009,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
dinov2,small,base,7.342422680822207,7.9344984512435675,22.0,86.0,0.0121147390906316,0.0093988404028074,-0.0027158986878242,0.0156850778150747,0.0140067134574305,-0.0016783643576442006,0.0010375343301799993,0.0138236191638693,0.0163564235581324,0.002532804394263099,0.005248703082087299,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
dinov2,base,large,7.9344984512435675,8.477121254719663,86.0,300.0,0.0093988404028074,0.0113518462007934,0.0019530057979859992,0.0140067134574305,0.0169057064388159,0.0028989929813853996,0.0009459871833994004,0.0163564235581324,0.0176380836130607,0.0012816600549282985,-0.0006713457430577007,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
dinov2,large,giant,8.477121254719663,9.041392685158225,300.0,1100.0,0.0113518462007934,0.0115654562099481,0.0002136100091547008,0.0169057064388159,0.0169362221544095,3.0515715593600057e-05,-0.00018309429356110074,0.0176380836130607,0.0207812023191943,0.0031431187061336033,0.0029295086969789025,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
vit,base,large,7.9344984512435675,8.487138375477187,86.0,307.0,0.0071101617332926,0.0136710405859017,0.0065608788526091,0.0115654562099481,0.0193469636862984,0.007781507476350298,0.001220628623741198,0.0125114433933475,0.0192249008239243,0.006713457430576801,0.00015257857796770104,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
vit,large,huge,8.487138375477187,8.800717078282386,307.0,632.0,0.0136710405859017,0.0144644491913335,0.0007934086054318008,0.0193469636862984,0.0182178822093378,-0.0011290814769606,-0.0019224900823924009,0.0192249008239243,0.0192554165395178,3.0515715593499443e-05,-0.0007628928898383014,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
ijepa,huge,giant,8.799340549453582,9.0,630.0,1000.0,0.0107415318889227,0.0175770521818736,0.006835520292950899,0.0234360695758315,0.027372596887397,0.003936527311565498,-0.0028989929813854013,0.0275251754653646,0.0320720170888007,0.004546841623436097,-0.002288678669514802,10,dense_cosine_heldout,shared_side1_basis_idf,shared_side1_basis_cosine
