method,true_dimension,mean,std,relative_error_percent
pca_explained_variance_95,5,5.0,0.0,0.0
pca_explained_variance_95,10,10.0,0.0,0.0
pca_explained_variance_95,20,19.0,0.0,5.000000000000004
pca_explained_variance_95,50,48.0,0.0,4.0000000000000036
pca_explained_variance_95,100,94.2,0.4472135954999579,5.799999999999994
participation_ratio,5,4.997742552441417,0.0006990554332941292,0.045148951171669616
participation_ratio,10,9.990481830477872,0.0017567377664195912,0.09518169522128028
participation_ratio,20,19.96048786085664,0.004176312629057482,0.1975606957167919
participation_ratio,50,49.73571597227992,0.01129120412622949,0.5285680554401595
participation_ratio,100,99.00714320403901,0.020413342581374887,0.9928567959609946
shannon_entropy,5,4.998872352134328,0.00035041124714109856,0.02255295731343754
shannon_entropy,10,9.995231375097362,0.0008786032950639168,0.047686249026379635
shannon_entropy,20,19.980223278964566,0.0020895896516039355,0.0988836051771691
shannon_entropy,50,49.867274571459475,0.00571391068060327,0.265450857081051
shannon_entropy,100,99.49938511921182,0.010596830310190469,0.500614880788175
renyi_eff_dimensionality_alpha_2,5,4.99774255244142,0.000699055433292054,0.0451489511715919
renyi_eff_dimensionality_alpha_2,10,9.990481830477886,0.0017567377664192742,0.09518169522113595
renyi_eff_dimensionality_alpha_2,20,19.96048786085666,0.004176312629056253,0.1975606957167031
renyi_eff_dimensionality_alpha_2,50,49.735715972280005,0.011291204126217542,0.528568055439993
renyi_eff_dimensionality_alpha_2,100,99.00714320403904,0.020413342581338194,0.9928567959609613
renyi_eff_dimensionality_alpha_3,5,4.996610968613409,0.001045760950225159,0.06778062773182825
renyi_eff_dimensionality_alpha_3,10,9.985753872749743,0.002633697281871519,0.1424612725025698
renyi_eff_dimensionality_alpha_3,20,19.94081529998299,0.006257438400984128,0.2959235000850491
renyi_eff_dimensionality_alpha_3,50,49.60564997724225,0.01671203574298958,0.7887000455155002
renyi_eff_dimensionality_alpha_3,100,98.52539504424615,0.029460905361758796,1.4746049557538443
renyi_eff_dimensionality_alpha_4,5,4.995477971320824,0.0013903649266061241,0.09044057358351676
renyi_eff_dimensionality_alpha_4,10,9.98104993713291,0.0035087874937580663,0.18950062867089112
renyi_eff_dimensionality_alpha_4,20,19.921226847948407,0.008330281610777441,0.39386576025796094
renyi_eff_dimensionality_alpha_4,50,49.47738088435743,0.021958220169496254,1.0452382312851394
renyi_eff_dimensionality_alpha_4,100,98.05599386898754,0.03775423818936176,1.9440061310124546
renyi_eff_dimensionality_alpha_5,5,4.994343933504009,0.001732713944839951,0.1131213299198186
renyi_eff_dimensionality_alpha_5,10,9.97637237984484,0.004381329777651743,0.23627620155159956
renyi_eff_dimensionality_alpha_5,20,19.901743306225843,0.010392221195380412,0.49128346887078456
renyi_eff_dimensionality_alpha_5,50,49.35118721545656,0.027013484877706113,1.2976255690868799
renyi_eff_dimensionality_alpha_5,100,97.60048729501241,0.04531005660599489,2.399512704987583
geometric_mean_eff_dimensionality,5,647213086115055.4,18095521905438.15,1.2944261722301008e+16
geometric_mean_eff_dimensionality,10,324845327479084.0,5832030162649.684,3248453274790740.0
geometric_mean_eff_dimensionality,20,80557510329849.53,361348085750.71954,402787551649147.6
geometric_mean_eff_dimensionality,50,1221026165606.8901,6060155164.513313,2442052331113.7803
geometric_mean_eff_dimensionality,100,1287721345.118016,19324720.22623802,1287721245.118016
mle_dimensionality,5,5.716056514578165,0.02255274458664648,14.3211302915633
mle_dimensionality,10,10.861836938451074,0.05163277013851705,8.618369384510727
mle_dimensionality,20,19.011503994985173,0.13643979764134767,4.942480025074136
mle_dimensionality,50,35.80829912427946,0.12551710200795807,28.383401751441085
mle_dimensionality,100,55.02206891765759,0.19167488097534008,44.9779310823424
two_nn_dimensionality,5,5.045427084047383,0.10397857559595501,0.9085416809476721
two_nn_dimensionality,10,9.967225112090539,0.20014674309542027,0.3277488790946137
two_nn_dimensionality,20,17.93211247660957,0.1648290025310252,10.339437616952141
two_nn_dimensionality,50,35.26331609345356,0.4556605063909691,29.473367813092878
two_nn_dimensionality,100,55.198654232538345,0.5424983450278055,44.801345767461655
danco_dimensionality,5,4.793477482419721,0.013306169529469518,4.130450351605575
danco_dimensionality,10,7.241790945049732,0.031084866738895305,27.58209054950268
danco_dimensionality,20,7.4487715854862815,0.016294118610266948,62.756142072568586
danco_dimensionality,50,6.099710220038897,0.07859887210741838,87.80057955992221
danco_dimensionality,100,5.385967649182983,0.028715628162991932,94.61403235081701
mind_mli_dimensionality,5,0.604852071296704,0.0471928644846007,87.90295857406592
mind_mli_dimensionality,10,1.1418931478122663,0.08222306141828636,88.58106852187734
mind_mli_dimensionality,20,1.9453846558379424,0.10467781482473483,90.27307672081028
mind_mli_dimensionality,50,3.5384436964516803,0.2552566045944641,92.92311260709664
mind_mli_dimensionality,100,5.802722866962091,0.20534832214242876,94.1972771330379
mind_mlk_dimensionality,5,5.247525302742849,0.016450132253103565,4.950506054856985
mind_mlk_dimensionality,10,10.023263474388255,0.04672319557467623,0.23263474388255378
mind_mlk_dimensionality,20,17.61338573803817,0.1059875088245683,11.933071309809161
mind_mlk_dimensionality,50,33.147065430558364,0.1461620624849991,33.70586913888327
