shape,intrinsic_dimension,snr_db,observed_support_dimension,method,mean,std,absolute_relative_error_percent
linear,2,,2,pca_explained_variance_95,2.0,0.0,0.0
linear,2,,2,participation_ratio,1.9995837213044845,0.00045294327776234104,0.02081393477577631
linear,2,,2,shannon_entropy,1.9997917832920382,0.0002265974279945483,0.01041083539808918
linear,2,,2,renyi_eff_dimensionality_alpha_2,1.9995837213044887,0.00045294327776228076,0.020813934775565368
linear,2,,2,renyi_eff_dimensionality_alpha_3,1.9993758980123022,0.0006789011140682346,0.031205099384890023
linear,2,,2,renyi_eff_dimensionality_alpha_4,1.9991683968100111,0.0009043355896491389,0.0415801594994436
linear,2,,2,renyi_eff_dimensionality_alpha_5,1.9989613002933417,0.001129112855753658,0.051934985332913186
linear,2,,2,geometric_mean_eff_dimensionality,1087817539368958.0,86323500258015.7,5.43908769684478e+16
linear,2,,2,mle_dimensionality,2.2575579240774966,0.0047001712749678,12.877896203874828
linear,2,,2,two_nn_dimensionality,1.3924728045777335,0.14110503590650175,30.376359771113325
linear,2,,2,danco_dimensionality,2.0013168491124835,0.0015313454982354346,0.06584245562417657
linear,2,,2,mind_mli_dimensionality,0.24974969907106814,0.010244479160892479,87.5125150464466
linear,2,,2,mind_mlk_dimensionality,2.083532303272191,0.011643749420514484,4.176615163609543
linear,2,,2,ess_dimensionality,0.9434895090199712,0.01804214625170768,52.82552454900144
linear,2,,2,tle_dimensionality,2.257557924077496,0.0047001712749675465,12.877896203874805
linear,2,,2,isomap_dimensionality,2.0,0.0,0.0
linear,2,30.0,256,pca_explained_variance_95,2.0,0.0,0.0
linear,2,30.0,256,participation_ratio,2.003447741046343,0.000835727735424325,0.17238705231714668
linear,2,30.0,256,shannon_entropy,2.0251535923568076,0.00042513326006508894,1.2576796178403793
linear,2,30.0,256,renyi_eff_dimensionality_alpha_2,2.003447741046342,0.0008357277354192671,0.17238705231710227
linear,2,30.0,256,renyi_eff_dimensionality_alpha_3,2.0021958641388027,0.001250959774225275,0.10979320694013417
linear,2,30.0,256,renyi_eff_dimensionality_alpha_4,2.0016066490477864,0.00166471533996858,0.08033245238932007
linear,2,30.0,256,renyi_eff_dimensionality_alpha_5,2.0011838298874673,0.002076405594905705,0.05919149437336735
linear,2,30.0,256,geometric_mean_eff_dimensionality,925.4131523969609,0.7823488588780709,46170.65761984805
linear,2,30.0,256,mle_dimensionality,7.1671454543939275,0.02653128560530545,258.35727271969637
linear,2,30.0,256,two_nn_dimensionality,10.969066784500876,0.33280710799302426,448.4533392250438
linear,2,30.0,256,danco_dimensionality,5.126222903436875,0.01962394357257295,156.31114517184375
linear,2,30.0,256,mind_mli_dimensionality,0.3570681159761402,0.031033882296363852,82.146594201193
linear,2,30.0,256,mind_mlk_dimensionality,6.482932288902665,0.006405789855202585,224.14661444513325
linear,2,30.0,256,ess_dimensionality,0.2644528811496697,0.0008242687643654364,86.77735594251652
linear,2,30.0,256,tle_dimensionality,7.167145454393929,0.026531285605306893,258.3572727196965
linear,2,30.0,256,isomap_dimensionality,2.0,0.0,0.0
linear,2,20.0,256,pca_explained_variance_95,2.0,0.0,0.0
linear,2,20.0,256,participation_ratio,2.0394703591066916,0.00031818248502887814,1.9735179553345805
linear,2,20.0,256,shannon_entropy,2.215928920885191,0.00028706067530138714,10.796446044259556
linear,2,20.0,256,renyi_eff_dimensionality_alpha_2,2.0394703591066916,0.0003181824850298975,1.9735179553345805
linear,2,20.0,256,renyi_eff_dimensionality_alpha_3,2.0292368147419078,0.00046225886511057726,1.4618407370953879
linear,2,20.0,256,renyi_eff_dimensionality_alpha_4,2.025705997799384,0.0006097620738517616,1.2852998899691936
linear,2,20.0,256,renyi_eff_dimensionality_alpha_5,2.023845292973998,0.0007578176363849659,1.1922646486999033
linear,2,20.0,256,geometric_mean_eff_dimensionality,95.03548168528793,0.08377937929731141,4651.774084264397
linear,2,20.0,256,mle_dimensionality,27.80155947903895,0.06124683622770112,1290.0779739519476
linear,2,20.0,256,two_nn_dimensionality,29.227931445674233,1.7274046452707386,1361.3965722837117
linear,2,20.0,256,danco_dimensionality,4.79772524941146,0.005967298251820303,139.886262470573
linear,2,20.0,256,mind_mli_dimensionality,0.6081905496924528,0.1186996972690904,69.59047251537736
linear,2,20.0,256,mind_mlk_dimensionality,26.785502924658026,0.14924357504615848,1239.2751462329013
linear,2,20.0,256,ess_dimensionality,0.201960815995926,0.00014887022196504165,89.90195920020369
linear,2,20.0,256,tle_dimensionality,27.80155947903895,0.06124683622770006,1290.0779739519476
linear,2,20.0,256,isomap_dimensionality,2.0,0.0,0.0
linear,2,10.0,256,pca_explained_variance_95,99.0,0.0,4850.0
linear,2,10.0,256,participation_ratio,2.4152239116833005,0.0005474283944962569,20.761195584165026
linear,2,10.0,256,shannon_entropy,4.183801825792702,0.0015715698168408093,109.19009128963508
linear,2,10.0,256,renyi_eff_dimensionality_alpha_2,2.4152239116833,0.0005474283944988132,20.761195584165005
linear,2,10.0,256,renyi_eff_dimensionality_alpha_3,2.3038693349923447,0.0006283797191012965,15.193466749617235
linear,2,10.0,256,renyi_eff_dimensionality_alpha_4,2.267743455587037,0.0007588257492905806,13.387172779351841
linear,2,10.0,256,renyi_eff_dimensionality_alpha_5,2.249818641438528,0.0009006391476537495,12.490932071926398
linear,2,10.0,256,geometric_mean_eff_dimensionality,10.54623610734942,0.005652049087581281,427.31180536747104
linear,2,10.0,256,mle_dimensionality,53.62501906026658,0.4376838432353809,2581.250953013329
linear,2,10.0,256,two_nn_dimensionality,60.07898802249226,0.9758877039078017,2903.949401124613
linear,2,10.0,256,danco_dimensionality,4.679962288123075,0.011386531599076365,133.99811440615377
linear,2,10.0,256,mind_mli_dimensionality,1.911353847627779,0.4934758043930359,4.432307618611054
linear,2,10.0,256,mind_mlk_dimensionality,50.51075486397216,0.39486487630649764,2425.537743198608
linear,2,10.0,256,ess_dimensionality,0.19521949463179533,0.0002060398380411102,90.23902526841023
linear,2,10.0,256,tle_dimensionality,53.62501906026658,0.4376838432353947,2581.250953013329
linear,2,10.0,256,isomap_dimensionality,2.0,0.0,0.0
linear,5,,5,pca_explained_variance_95,5.0,0.0,0.0
linear,5,,5,participation_ratio,4.997114997891488,0.0009296650719363696,0.05770004217022784
