dataset,scheme,iteration,n_samples,method,value,ratio_to_full
jwst_dinov3_vitl16,bootstrap_deduplicated,0,941,pca_explained_variance_95,130.0,0.896551724137931
jwst_dinov3_vitl16,bootstrap_deduplicated,1,950,pca_explained_variance_95,133.0,0.9172413793103448
jwst_dinov3_vitl16,bootstrap_deduplicated,2,939,pca_explained_variance_95,132.0,0.9103448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,3,945,pca_explained_variance_95,130.0,0.896551724137931
jwst_dinov3_vitl16,bootstrap_deduplicated,4,958,pca_explained_variance_95,135.0,0.9310344827586207
jwst_dinov3_vitl16,bootstrap_deduplicated,5,934,pca_explained_variance_95,132.0,0.9103448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,6,939,pca_explained_variance_95,132.0,0.9103448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,7,971,pca_explained_variance_95,132.0,0.9103448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,8,961,pca_explained_variance_95,131.0,0.903448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,9,916,pca_explained_variance_95,131.0,0.903448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,10,936,pca_explained_variance_95,132.0,0.9103448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,11,945,pca_explained_variance_95,134.0,0.9241379310344827
jwst_dinov3_vitl16,bootstrap_deduplicated,12,941,pca_explained_variance_95,132.0,0.9103448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,13,931,pca_explained_variance_95,132.0,0.9103448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,14,931,pca_explained_variance_95,128.0,0.8827586206896552
jwst_dinov3_vitl16,bootstrap_deduplicated,15,934,pca_explained_variance_95,131.0,0.903448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,16,942,pca_explained_variance_95,131.0,0.903448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,17,961,pca_explained_variance_95,134.0,0.9241379310344827
jwst_dinov3_vitl16,bootstrap_deduplicated,18,959,pca_explained_variance_95,132.0,0.9103448275862069
jwst_dinov3_vitl16,bootstrap_deduplicated,19,959,pca_explained_variance_95,133.0,0.9172413793103448
jwst_dinov3_vitl16,bootstrap_deduplicated,20,932,pca_explained_variance_95,134.0,0.9241379310344827
jwst_dinov3_vitl16,bootstrap_deduplicated,21,951,pca_explained_variance_95,133.0,0.9172413793103448
jwst_dinov3_vitl16,bootstrap_deduplicated,22,948,pca_explained_variance_95,131.0,0.903448275862069
