dataset,method,scheme,full_value,iterations,mean,std,median,q025,q975,min,max,cv,median_ratio_to_full
jwst_dinov3_vitl16,pca_explained_variance_95,bootstrap_deduplicated,145.0,100,131.75,1.3437096247164249,132.0,129.475,134.0,128.0,135.0,0.010198934532951991,0.9103448275862069
jwst_dinov3_vitl16,pca_explained_variance_95,sparse_10pct,145.0,25,62.36,1.4966629547095767,62.0,59.6,65.0,59.0,65.0,0.024000368099896995,0.42758620689655175
jwst_dinov3_vitl16,pca_explained_variance_95,contiguous_region,145.0,12,52.5,2.467976720090587,53.0,47.825,55.0,47.0,55.0,0.04700908038267784,0.36551724137931035
jwst_dinov3_vitl16,participation_ratio,bootstrap_deduplicated,11.751876451930134,100,11.705133495707257,0.17628080601796,11.699657532088985,11.389061933739788,12.015809609973697,11.102623157882407,12.107580646578596,0.015060127770658,0.9955565462201084
jwst_dinov3_vitl16,participation_ratio,sparse_10pct,11.751876451930134,25,11.175235398275044,0.5871819012712121,11.217223244695703,10.198964590914407,11.995927887712584,10.152450489094814,12.021500231449451,0.05254313491793172,0.9545048648680595
jwst_dinov3_vitl16,participation_ratio,contiguous_region,11.751876451930134,12,10.637346818967044,0.6762426261086485,10.729346096826479,9.617199918212236,11.890538542465956,9.504261644392892,12.264317274810061,0.06357249017234883,0.9129900353117043
jwst_dinov3_vitl16,shannon_entropy,bootstrap_deduplicated,36.133903982561286,100,35.07489634023814,0.46694588905137824,35.04514969329712,34.263667476044425,35.92910742214389,33.67019859284746,35.985423960698945,0.013312823066441824,0.9698688995855633
jwst_dinov3_vitl16,shannon_entropy,sparse_10pct,36.133903982561286,25,26.187500723693717,1.0845938401699293,26.23898296268394,24.25728321937742,27.50553281804474,24.167851249186885,27.567999753859137,0.04141647007912516,0.7261596470546673
jwst_dinov3_vitl16,shannon_entropy,contiguous_region,36.133903982561286,12,23.59000364844012,1.2485217738996275,23.927467116692146,21.321674367651394,25.17338897652609,21.126295281475443,25.338303353877347,0.05292588303529938,0.6621888165817861
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_2,bootstrap_deduplicated,11.751876451930086,100,11.705133495707326,0.1762808060179656,11.699657532089088,11.389061933739843,12.015809609973779,11.102623157882432,12.107580646578656,0.015060127770658389,0.9955565462201211
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_2,sparse_10pct,11.751876451930086,25,11.17523539827514,0.5871819012712278,11.217223244695768,10.198964590914468,11.995927887712687,10.152450489094896,12.021500231449542,0.05254313491793268,0.954504864868069
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_2,contiguous_region,11.751876451930086,12,10.637346818967098,0.6762426261086479,10.729346096826529,9.617199918212282,11.890538542466002,9.504261644392935,12.264317274810102,0.06357249017234845,0.9129900353117123
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_3,bootstrap_deduplicated,8.334281840411638,100,8.315047301404816,0.13256823517670796,8.303827847328485,8.071108057786764,8.586166112588696,7.879719810712885,8.617710184869193,0.015943172705020058,0.9963459367386058
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_3,sparse_10pct,8.334281840411638,25,8.137219073708264,0.46576435506457275,8.135538571121462,7.393746951130894,8.831331665431328,7.383745969384821,8.83979377917172,0.057238763126026576,0.97615352191157
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_3,contiguous_region,8.334281840411638,12,7.862644996896268,0.5135501393318671,7.869361886933147,7.138306937106227,8.869325582498103,6.997869986089261,9.153145644469081,0.06531518840474013,0.9442159549699691
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_4,bootstrap_deduplicated,7.053125341031604,100,7.0407626909541925,0.11874469402148331,7.032018460710291,6.826787098874496,7.277659648815255,6.678386089279735,7.34926090365211,0.01686531690296049,0.9970074428993168
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_4,sparse_10pct,7.053125341031604,25,6.944444313191442,0.42530287129883815,6.9509208522648365,6.3040459710300745,7.612853180567088,6.275406391134447,7.65139850305865,0.061243614624563486,0.9855093332636253
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_4,contiguous_region,7.053125341031604,12,6.743168537880552,0.4330056971196012,6.719380045661367,6.134337802672287,7.595740223293044,6.017676998808547,7.815173525986378,0.06421398111097774,0.9526812187175135
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_5,bootstrap_deduplicated,6.388156484956257,100,6.3790151156775154,0.11130616301980578,6.377874136999036,6.174533893421809,6.5954413061811845,6.057245511537497,6.691965427321374,0.017448800637931073,0.9983904044959708
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_5,sparse_10pct,6.388156484956257,25,6.31756549605903,0.4035820091770354,6.256471197946618,5.726570383455907,6.963032733222871,5.699691861302524,7.032988051288962,0.06388252079520101,0.9793860267324774
jwst_dinov3_vitl16,renyi_eff_dimensionality_alpha_5,contiguous_region,6.388156484956257,12,6.144994714079666,0.385610749233716,6.11545902572609,5.6055298481837,6.902128288896953,5.502126377956643,7.080044622706156,0.06275200666164753,0.9573120257976846
