family,model,parameter_count,log10_params,k_edge,n_edges,sigma_local,mean_s,R_local_q90_q10,E_angle,A_log,D_sim,H_norm
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,10,32770,0.2773587620929526,-0.6915157955074329,0.7034466632615889,,1.762011087784413,0.8989838458721194,0.5368046584045302
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,10,32770,0.24334321304713694,-0.5311150340259924,0.6281512550260536,,1.8374167606207465,0.9016189561997966,0.5564409069393285
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,10,32770,0.20097033532690903,-0.31076041238419905,0.5160235519773197,,1.9534026082703353,0.9140660943187424,0.5685813899198916
convnext,official_legacy_cross_convnext_nano,15000000,7.176091259055681,10,32770,0.24644607871060448,-0.10117299384131499,0.6311201238873192,,1.8310244533737348,0.9113380685465204,0.5466518532945942
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,10,32770,0.25723783151786606,-0.09935925939773038,0.6645227867477626,,1.8632498119984906,0.9172583891537064,0.537372952554209
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,10,32770,0.22445566748345055,-0.11024687771947471,0.5792680285627865,,1.8706608641071227,0.9220475711738627,0.5429571308672435
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,10,32770,0.2275786967308482,0.006617054711531481,0.5781645339318994,,1.85190211818115,0.9282867701997854,0.5255337450040874
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,10,32770,0.21354541101142552,-0.46643715778263917,0.5538328554085957,,2.04106809910442,0.8911205737440021,0.5765929971385129
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,10,32770,0.2098599813821021,-0.3556264805418272,0.5423307646583868,,1.9493226618112212,0.9052152756427443,0.5602612803872526
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,10,32770,0.21989269225637487,-0.1756793659296243,0.5674615152979722,,1.9124108820681234,0.9970181552091942,0.015373415755653005
dinov2,official_legacy_cross_dino_giant,1100000000,9.041392685158225,10,32770,0.22203069500495065,-0.04231124912349976,0.5706188703169441,,1.9702274615592066,0.9327500522338344,0.5286929528170946
vit,official_legacy_cross_vit_base,86000000,7.9344984512435675,10,32770,0.23607568245486898,-0.3090180477899165,0.6094491746614138,,2.045756315171412,0.9541662748666726,0.38468550244925753
vit,official_legacy_cross_vit_large,307000000,8.487138375477187,10,32770,0.15669697064618562,-0.4071537061439273,0.40296415451801804,,1.8616329034783827,0.909735987090033,0.5717813176708627
vit,official_legacy_cross_vit_huge,632000000,8.800717078282386,10,32770,0.1848010971252077,-0.26641471978829884,0.47550485254289787,,1.8279079400184248,0.990109797009092,0.21055359642170376
ijepa,official_legacy_cross_ijepa_huge,630000000,8.799340549453582,10,32770,0.31002692642757806,0.16507372162104303,0.7933696795692736,,3.323530725259963,0.9995951538753868,1.0448907997731149e-05
ijepa,official_legacy_cross_ijepa_giant,1000000000,9.0,10,32770,0.30097257921329235,0.2179278676759721,0.7700922124292995,,3.2251593608892075,0.9769285292046558,0.346351889122926
