family,model,size_name,parameter_count,log10_params,input_dim,output_dim,rank,rank_label,mknn,dense_raw,dense_ridge,pca_minus_dense_ridge,train_mse,test_mse,train_mse_full_ridge,test_mse_full_ridge
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,384,384,256,256,0.04171498321635642,0.017485505035093073,0.03201098565761367,0.009703997558742752,0.022128930315375328,0.02340610697865486,0.014659810811281204,0.015794796869158745
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,2048,512,512,0.06927067439731462,0.026212999694842844,0.050167836435764425,0.01910283796155019,0.7063596248626709,0.7792816758155823,0.1556098908185959,0.2233935445547104
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,512,512,0.06496795849862678,0.02187976808056149,0.048245346353371986,0.0167226121452548,0.13227848708629608,0.14630241692066193,0.08613323420286179,0.09970065206289291
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,512,512,0.053646628013426914,0.019743667989014342,0.045437900518767164,0.00820872749465975,1.0884569883346558,1.2121844291687012,0.5094641447067261,0.6293640732765198
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,512,512,0.05672871528837351,0.02108635947512969,0.047238327738785474,0.009490387549588038,1.462875247001648,1.5989227294921875,0.43261805176734924,0.5827473998069763
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,512,512,0.04974061641745499,0.017973756484589563,0.04110466890448581,0.008635947512969179,0.31942886114120483,0.3566274046897888,0.25093477964401245,0.28722766041755676
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,512,512,0.0530363137015563,0.018462007934086054,0.04211168751907232,0.010924626182483979,0.5926206111907959,0.6607407331466675,0.381030410528183,0.44822171330451965
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,768,512,512,0.044949649069270674,0.019530057979859627,0.03286542569423253,0.012084223375038144,0.07833678275346756,0.08650778234004974,0.05082308128476143,0.05899922922253609
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,1536,512,512,0.05355508086664632,0.022123893805309734,0.038999084528532194,0.014555996338114129,0.1799769252538681,0.20281526446342468,0.05321749672293663,0.07475139945745468
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,1024,512,512,0.0484589563625267,0.022245956667683857,0.03756484589563625,0.010894110466890448,0.06410524994134903,0.07061837613582611,0.03045310452580452,0.03710823133587837
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,384,256,256,0.046322856270979554,0.022886786695148,0.034543790051876716,0.011779066219102838,0.19147373735904694,0.2036632001399994,0.12587444484233856,0.13727813959121704
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,1408,1408,512,512,0.06527311565456209,0.03320109856576137,0.05614891669209643,0.009124198962465663,0.04396553710103035,0.048834532499313354,0.01399940438568592,0.01817166991531849
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,1280,1280,512,512,0.04873359780286848,0.019926762282575526,0.039945071711931644,0.008788526090936832,0.05448102205991745,0.06086844205856323,0.019562317058444023,0.02523391880095005
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,768,512,512,0.03619163869392737,0.015257857796765334,0.02688434543790052,0.009307293256026854,0.00400815112516284,0.004404907114803791,0.002600919920951128,0.0030116511043161154
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,1280,1280,512,512,0.06704302715898688,0.02609093683246872,0.045895636252670124,0.02114739090631676,0.00015278972568921745,0.00016561569646000862,5.8551449910737574e-05,7.263840961968526e-05
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,1024,512,512,0.05932255111382362,0.024412572474824534,0.04534635337198657,0.013976197741837046,0.003973556216806173,0.004336872603744268,0.0019379599252715707,0.002328562783077359
