family,model,embedding_dim,best_pca_rank,best_pca_rank_frac,best_pca_mknn,k90_transfer,k90_transfer_frac
astropt,official_legacy_cross_astropt_15m,384,256,0.6666666666666666,0.04171498321635642,16.0,0.0416666666666666
astropt,official_legacy_cross_astropt_850m,2048,512,0.25,0.06927067439731462,256.0,0.125
astropt,official_legacy_cross_astropt_95m,768,512,0.6666666666666666,0.06496795849862678,64.0,0.0833333333333333
convnext,official_legacy_cross_convnext_base,1024,512,0.5,0.053646628013426914,64.0,0.0625
convnext,official_legacy_cross_convnext_large,1536,512,0.3333333333333333,0.05672871528837351,32.0,0.0208333333333333
convnext,official_legacy_cross_convnext_nano,640,512,0.8,0.04974061641745499,32.0,0.05
convnext,official_legacy_cross_convnext_tiny,768,512,0.6666666666666666,0.0530363137015563,32.0,0.0416666666666666
dinov2,official_legacy_cross_dino_base,768,512,0.6666666666666666,0.044949649069270674,64.0,0.0833333333333333
dinov2,official_legacy_cross_dino_giant,1536,512,0.3333333333333333,0.05355508086664632,64.0,0.0416666666666666
dinov2,official_legacy_cross_dino_large,1024,512,0.5,0.0484589563625267,64.0,0.0625
dinov2,official_legacy_cross_dino_small,384,256,0.6666666666666666,0.046322856270979554,32.0,0.0833333333333333
ijepa,official_legacy_cross_ijepa_giant,1408,512,0.36363636363636365,0.06527311565456209,64.0,0.0454545454545454
ijepa,official_legacy_cross_ijepa_huge,1280,512,0.4,0.04873359780286848,64.0,0.05
vit,official_legacy_cross_vit_base,768,512,0.6666666666666666,0.03619163869392737,64.0,0.0833333333333333
vit,official_legacy_cross_vit_huge,1280,512,0.4,0.06704302715898688,64.0,0.05
vit,official_legacy_cross_vit_large,1024,512,0.5,0.05932255111382362,64.0,0.0625
