rank_label,family,beta,beta_dense_ridge,delta_beta,n_rungs,two_point_only
8,astropt,0.0031788719074805592,0.010098119969477414,-0.006919248061996855,3,False
8,convnext,0.0009402138522863967,0.005675025878201516,-0.00473481202591512,4,False
8,dinov2,-0.0003525216443138655,0.003167281530428013,-0.0035198031747418783,4,False
8,vit,0.011058315550456086,0.02325929352116144,-0.012200977970705355,3,False
8,ijepa,0.0352818967580169,0.08075296197632315,-0.045471065218306246,2,True
16,astropt,0.005964675857446987,0.010098119969477414,-0.0041334441120304275,3,False
16,convnext,0.002045396913906905,0.005675025878201516,-0.003629628964294611,4,False
16,dinov2,0.0010187539488833745,0.003167281530428013,-0.0021485275815446383,4,False
16,vit,0.011791501820090512,0.02325929352116144,-0.011467791701070928,3,False
16,ijepa,0.03254450821644664,0.08075296197632315,-0.04820845375987651,2,True
32,astropt,0.007484663558747475,0.010098119969477414,-0.002613456410729939,3,False
32,convnext,0.002169814389888993,0.005675025878201516,-0.003505211488312523,4,False
32,dinov2,0.0011017435290512853,0.003167281530428013,-0.0020655380013767273,4,False
32,vit,0.016434414851144344,0.02325929352116144,-0.006824878670017097,3,False
32,ijepa,0.05398738512541379,0.08075296197632315,-0.026765576850909356,2,True
64,astropt,0.009660395702620892,0.010098119969477414,-0.0004377242668565217,3,False
64,convnext,0.00225865713121249,0.005675025878201516,-0.003416368746989026,4,False
64,dinov2,0.0014963333137797891,0.003167281530428013,-0.0016709482166482237,4,False
64,vit,0.019840738049786213,0.02325929352116144,-0.0034185554713752273,3,False
64,ijepa,0.054291539407810493,0.08075296197632315,-0.026461422568512652,2,True
128,astropt,0.01008811075693729,0.010098119969477414,-1.0009212540124449e-05,3,False
128,convnext,0.0007264104244322854,0.005675025878201516,-0.0049486154537692305,4,False
128,dinov2,0.0017870992504743083,0.003167281530428013,-0.0013801822799537045,4,False
128,vit,0.02767235378412749,0.02325929352116144,0.004413060262966048,3,False
128,ijepa,0.06737017355086847,0.08075296197632315,-0.013382788425454678,2,True
256,astropt,0.012130813270503459,0.010098119969477414,0.0020326933010260447,3,False
256,convnext,0.003506674699786529,0.005675025878201516,-0.002168351178414987,4,False
256,dinov2,0.0030179147139831747,0.003167281530428013,-0.00014936681644483812,4,False
256,vit,0.031991896712729645,0.02325929352116144,0.008732603191568204,3,False
256,ijepa,0.08227373338830668,0.08075296197632315,0.0015207714119835347,2,True
512,astropt,0.004521106499467022,0.010098119969477414,-0.005577013470010392,2,True
512,convnext,0.00538053838959756,0.005675025878201516,-0.0002944874886039563,4,False
512,dinov2,0.007782747532884275,0.003167281530428013,0.004615466002456263,3,False
512,vit,0.03633040316713006,0.02325929352116144,0.013071109645968616,3,False
512,ijepa,0.08242581052950497,0.08075296197632315,0.0016728485531818243,2,True
full,astropt,0.010098119969477414,0.010098119969477414,0.0,3,False
full,convnext,0.005675025878201516,0.005675025878201516,0.0,4,False
full,dinov2,0.003167281530428013,0.003167281530428013,0.0,4,False
full,vit,0.02325929352116144,0.02325929352116144,0.0,3,False
full,ijepa,0.08075296197632315,0.08075296197632315,0.0,2,True
