cell,fixture,sampling,noise,rho,median_cosine,median_ratio,median_rel_err,constant_truth,median_tensor_cos,t_train_s,t_eval_s,var_explained,r2_obs,r2_clean_cloud,anchor_mse,epochs
F0_S0_N0,F0,S0,N0,,0.9993431523062966,0.9982780614657243,0.03756456010677919,True,0.9848518317335664,40.59679102897644,1.7613916397094727,0.9993936834050265,0.9993936091535114,0.9993936091535114,0.0011134019598906374,400
F1_S0_N0,F1,S0,N0,,0.9989200740782331,1.0005944501155768,0.04811164950073812,True,0.981639928359914,40.580557346343994,1.7808406352996826,0.9993917000947952,0.9990493281127357,0.9990493281127357,0.0006129935643922522,400
F2_S0_N0,F2,S0,N0,,0.9989574662225253,0.9997758964796624,0.04829148212150393,True,0.9082197933218511,40.77723455429077,1.7782325744628906,0.9992923296529742,0.9992922164430754,0.9992922164430754,0.001026963490962163,400
F4_S0_N0,F4,S0,N0,-0.07861721611721612,0.9993950499913691,1.002565056510154,0.03607480363042846,False,0.9818383711296564,40.78559064865112,1.7583744525909424,0.9996001050476812,0.9995990143331379,0.9995990143331379,0.0004934806402201501,400
F4_S1_N0,F4,S1,N0,0.04913003663003663,0.997466968547027,1.0005609691621187,0.07201544540667809,False,0.9382627674942011,12.215110301971436,1.7791037559509277,0.9994853340897708,0.9994836774307311,0.9994836774307311,0.0016019268134587219,400
F4_S2_N0,F4,S2,N0,-0.07577838827838827,0.9990849647777567,1.0018765022110854,0.044512301125103,False,0.9846686521273607,40.678327322006226,1.819821834564209,0.9989991655595075,0.998992358586801,0.998992358586801,0.0010675011944471248,400
F4_S0_N1,F4,S0,N1,-0.143040293040293,0.9994842349224395,0.9998604610942632,0.03347657263404219,False,0.9813386125291605,40.76493763923645,1.787966251373291,0.999479983876508,0.9994785665369449,0.9995630996790157,0.00047797607714044596,400
F4_S0_N2,F4,S0,N2,-0.05338827838827838,0.9991486823987659,1.0062762087959045,0.04338582833113884,False,0.9771447734167815,40.607179164886475,1.790144681930542,0.9971418578800375,0.9971341267647834,0.9992614251207893,0.00079968145166395,400
F4_S0_N3,F4,S0,N3,0.16277472527472525,0.9990794099856901,0.9980333970479893,0.044640721946423025,False,0.9788521862490575,40.602715253829956,1.8380510807037354,0.9984817907634788,0.9984776428272392,0.9993231672693457,0.0007302160246320121,400
F4_S3_N4,F4,S3,N4,0.3344322344322344,0.9950274960607488,0.9910240712063996,0.10281953028911321,False,0.9449754825513856,12.22571587562561,1.778958797454834,0.9976531699469813,0.9976356066610432,0.9980598547690436,0.00235412558783784,400
F0_S3_N4,F0,S3,N4,,0.9980629208598866,0.9961883408577876,0.06655961173551943,True,0.9429650088707233,12.165880918502808,1.7896313667297363,0.999102423920788,0.9990989162253752,0.9995131903029602,0.0010824002088391693,400
F2_S3_N4,F2,S3,N4,,0.9867135729870263,1.0011919219848484,0.1678535334929118,True,0.7496049123161501,12.305830955505371,1.7734794616699219,0.9987467149765449,0.998736763817712,0.9984249399895867,0.008472363990433728,400
