cell,fixture,sampling,noise,D_scal_rho,Q_scal_T2_rho,Q_scal_pw_rho
F0_S0_N0,F0,S0,N0,,,
F1_S0_N0,F1,S0,N0,0.23663935207125086,-0.07719780219780219,0.23952487792512933
F2_S0_N0,F2,S0,N0,,-0.06776556776556776,
F4_S0_N0,F4,S0,N0,0.8617673992673993,0.4580128205128205,0.551098901098901
F4_S1_N0,F4,S1,N0,0.7944139194139193,0.07609890109890109,0.16364468864468865
F4_S2_N0,F4,S2,N0,0.8405677655677655,0.3369505494505494,0.4735347985347985
F4_S0_N1,F4,S0,N1,0.8382783882783882,0.3083333333333333,0.4298076923076923
F4_S0_N2,F4,S0,N2,0.7701465201465202,0.251007326007326,0.33081501831501825
F4_S0_N3,F4,S0,N3,0.7807692307692307,0.42110805860805856,0.39391025641025634
F4_S3_N4,F4,S3,N4,0.7635073260073258,0.19775641025641025,0.289514652014652
F0_S3_N4,F0,S3,N4,,,
F2_S3_N4,F2,S3,N4,,0.1107142857142857,
