cell,fixture,sampling,noise,median_tensor_cos,median_tensor_ratio,scal_rho,t_q_s,k
F0_S0_N0,F0,S0,N0,-0.0077759993187778206,3392267.09741328,,7.6140666007995605,1024
F1_S0_N0,F1,S0,N0,0.20809067372757667,0.16622637590228423,-0.07719780219780219,7.611276626586914,1024
F2_S0_N0,F2,S0,N0,0.42095318415523403,9.743512493423502,-0.06776556776556776,7.678656339645386,1024
F4_S0_N0,F4,S0,N0,0.6176322563326069,1.146649074602655,0.4580128205128205,7.683049917221069,1024
F4_S1_N0,F4,S1,N0,0.2971060568703524,0.9167427829910739,0.07609890109890109,7.615596532821655,1024
F4_S2_N0,F4,S2,N0,0.6095073463935359,1.1395035573871586,0.3369505494505494,7.805144786834717,1024
F4_S0_N1,F4,S0,N1,0.589998488590614,1.05582671340388,0.3083333333333333,7.647116422653198,1024
F4_S0_N2,F4,S0,N2,0.3773981283343377,0.7982670960911327,0.251007326007326,7.640005588531494,1024
F4_S0_N3,F4,S0,N3,0.4592680590388394,0.7530723767380418,0.42110805860805856,7.642204284667969,1024
F4_S3_N4,F4,S3,N4,0.3126705855882302,0.9430108495368689,0.19775641025641025,7.787829637527466,1024
F0_S3_N4,F0,S3,N4,0.00629652175787572,124846552280.81512,,7.807220935821533,1024
F2_S3_N4,F2,S3,N4,,,0.1107142857142857,7.666143178939819,1024
