cell,fixture,sampling,noise,median_T2_T3_cos,scal_T2_T3_rho
F0_S0_N0,F0,S0,N0,0.10493171166986001,
F1_S0_N0,F1,S0,N0,0.8094279244794567,0.42463369963369957
F2_S0_N0,F2,S0,N0,0.6556234235518357,0.47408424908424895
F4_S0_N0,F4,S0,N0,0.7481855145541307,0.704029304029304
F4_S1_N0,F4,S1,N0,0.6929298651375261,0.612087912087912
F4_S2_N0,F4,S2,N0,0.7477125641943931,0.6511904761904762
F4_S0_N1,F4,S0,N1,0.7481087867273735,0.7043040293040292
F4_S0_N2,F4,S0,N2,0.7479780783178125,0.7083791208791208
F4_S0_N3,F4,S0,N3,0.7508143956293527,0.714102564102564
F4_S3_N4,F4,S3,N4,0.6911882330263007,0.6978021978021978
F0_S3_N4,F0,S3,N4,0.08638054334136037,
F2_S3_N4,F2,S3,N4,0.4735594856560938,0.46034798534798527
