cell,fixture,sampling,noise,median_tensor_cos,median_tensor_ratio,scal_rho,K_H_rho
F0_S0_N0,F0,S0,N0,-0.0007650457316752601,3392267.09741328,,
F1_S0_N0,F1,S0,N0,0.3553944640380564,0.11320975272426945,0.23952487792512933,-0.08539377289377288
F2_S0_N0,F2,S0,N0,0.647455160716665,4.257726123608848,,-0.10132783882783881
F4_S0_N0,F4,S0,N0,0.6808148679226229,0.9242885437388579,0.551098901098901,0.5232142857142856
F4_S1_N0,F4,S1,N0,0.38601607948045824,0.7198515652734763,0.16364468864468865,0.20430402930402927
F4_S2_N0,F4,S2,N0,0.6597479546247095,0.9600786805802395,0.4735347985347985,0.25155677655677655
F4_S0_N1,F4,S0,N1,0.6514732122174551,0.776905994878663,0.4298076923076923,0.5189102564102563
F4_S0_N2,F4,S0,N2,0.40932394108912384,0.5914713681521648,0.33081501831501825,0.15274725274725273
F4_S0_N3,F4,S0,N3,0.5113289389204848,0.5921104333500803,0.39391025641025634,0.3754578754578754
F4_S3_N4,F4,S3,N4,0.3855722975827095,0.7497168915347706,0.289514652014652,0.0695970695970696
F0_S3_N4,F0,S3,N4,0.0012684636724182418,124846552280.81512,,
F2_S3_N4,F2,S3,N4,,,,0.06382783882783882
