cell,estimator,quintile,n,spearman,pearson,rel_abs_err,pairwise_acc,q_n_eff,q_radius,q_design_cond,d_cond_g,mean_density_w
F4_S2_N0,D-full residualized,1,13,0.21094742059492733,-0.01987641526164065,1.0,0.47435897435897434,1024.0,1.1752019394458681,97.81451965186932,1.8303254689391375,0.7006673790274065
F4_S2_N0,D-residual,1,13,0.39010989010989006,0.5515103814468311,0.13868194535116218,0.6538461538461539,1024.0,1.1752019394458681,97.81451965186932,1.8303254689391375,0.7006673790274065
F4_S2_N0,Q K_H vs T2,1,13,0.06593406593406594,0.12579865581713054,0.9941759189448373,0.5256410256410257,1024.0,1.1752019394458681,97.81451965186932,1.8303254689391375,0.7006673790274065
F4_S2_N0,D-full residualized,2,13,-0.1356473532610057,-0.07139745390096919,1.0724219376055582,0.3974358974358974,1024.0,1.1634489853539636,154.77981080789192,1.7587288439242508,0.8658823333597755
F4_S2_N0,D-residual,2,13,0.8351648351648352,0.9087194242795181,0.054996861479252424,0.8589743589743589,1024.0,1.1634489853539636,154.77981080789192,1.7587288439242508,0.8658823333597755
F4_S2_N0,Q K_H vs T2,2,13,-0.0879120879120879,-0.3358700118028496,0.986988014355496,0.46153846153846156,1024.0,1.1634489853539636,154.77981080789192,1.7587288439242508,0.8658823333597755
F4_S2_N0,D-full residualized,3,12,-0.13881201210110497,-0.216180620148162,1.1401904903594253,0.4090909090909091,1024.0,1.1568443465873133,192.42568465307116,1.7750448561931356,0.9793288854113112
F4_S2_N0,D-residual,3,12,0.9300699300699302,0.9923636905885594,0.06546337157479241,0.9090909090909091,1024.0,1.1568443465873133,192.42568465307116,1.7750448561931356,0.9793288854113112
F4_S2_N0,Q K_H vs T2,3,12,0.2797202797202798,0.1757068285092158,0.9918209265030327,0.6060606060606061,1024.0,1.1568443465873133,192.42568465307116,1.7750448561931356,0.9793288854113112
F4_S2_N0,D-full residualized,4,13,-0.1254363015010636,-0.2564133526507278,1.0,0.3333333333333333,1024.0,1.1550774792724487,95.3845191566957,1.780573774437693,1.1326284743832291
F4_S2_N0,D-residual,4,13,0.8626373626373626,0.9343772845964905,0.08196081505984243,0.8717948717948718,1024.0,1.1550774792724487,95.3845191566957,1.780573774437693,1.1326284743832291
F4_S2_N0,Q K_H vs T2,4,13,0.46703296703296704,0.5447078491152946,0.9956165720845291,0.6794871794871795,1024.0,1.1550774792724487,95.3845191566957,1.780573774437693,1.1326284743832291
F4_S2_N0,D-full residualized,5,13,-0.1387051532678974,-0.10739187333684427,1.0,0.358974358974359,1024.0,1.1453275917592134,220.6193694271977,1.7737205344008415,1.4322650527561753
F4_S2_N0,D-residual,5,13,0.9120879120879121,0.926468565007073,0.106409539219965,0.8974358974358975,1024.0,1.1453275917592134,220.6193694271977,1.7737205344008415,1.4322650527561753
F4_S2_N0,Q K_H vs T2,5,13,0.21978021978021978,-0.16001187082441864,0.9948257485746835,0.5641025641025641,1024.0,1.1453275917592134,220.6193694271977,1.7737205344008415,1.4322650527561753
F4_S3_N4,D-full residualized,1,13,0.4310034625834921,0.551025238963973,1.0,0.32051282051282054,1024.0,1.3185906169005428,175.58698385517224,4.283867149990719,0.7006673790274065
F4_S3_N4,D-residual,1,13,0.5824175824175823,0.7597538302297803,0.14824477840970698,0.717948717948718,1024.0,1.3185906169005428,175.58698385517224,4.283867149990719,0.7006673790274065
F4_S3_N4,Q K_H vs T2,1,13,0.21978021978021978,0.23527665744797768,0.876938761676813,0.5769230769230769,1024.0,1.3185906169005428,175.58698385517224,4.283867149990719,0.7006673790274065
F4_S3_N4,D-full residualized,2,13,0.04698525103430514,0.06683980079240542,1.0,0.3333333333333333,1024.0,1.307723317759443,318.9243837301381,2.6175893573618927,0.8658823333597755
F4_S3_N4,D-residual,2,13,0.2857142857142857,0.35779874665642614,0.1366361698281688,0.6153846153846154,1024.0,1.307723317759443,318.9243837301381,2.6175893573618927,0.8658823333597755
F4_S3_N4,Q K_H vs T2,2,13,-0.23076923076923078,-0.22151560761545494,0.9810328953778253,0.38461538461538464,1024.0,1.307723317759443,318.9243837301381,2.6175893573618927,0.8658823333597755
F4_S3_N4,D-full residualized,3,12,-0.10077293020427842,-0.015699528529314413,1.0,0.3333333333333333,1024.0,1.3067182110203135,418.97110781676474,2.6014805149131246,0.9793288854113112
