estimator,target,cell,n,mean,sd,median_abs,iqr,cv,r_iqr,tol,analytic_constant,rank_target_degenerate
D-full,H_E_norm,F4_S0_N0,64,16.024222815102963,0.025374051173762253,16.01860250815193,0.013528374358642736,0.0015834809255051933,0.0008445414855482712,0.0016024222815102965,False,True
D-full residualized,H_S_from_HE,F4_S0_N0,64,0.8119608019258446,0.344860152579405,0.7717600431796618,0.2872298005529075,0.424725124366873,0.3721750083991711,8.119608019258447e-05,False,False
D-residual,H_S_norm,F4_S0_N0,64,0.8119608019258403,0.34486015257939956,0.7717600431795983,0.28722980055291913,0.42472512436686854,0.37217500839921686,8.119608019258403e-05,False,False
D-residual Scal,Scal,F4_S0_N0,64,240.49946218092725,0.6955025004606221,240.4262100078681,0.40077592371011406,0.002891908755859895,0.0016669394060530953,0.024049946218092727,False,False
Q K_H vs T2,K_H_T2,F4_S0_N0,64,0.0012202775330965145,0.0017345935697190883,0.0007578842716471115,0.000716034751716016,1.421474641015472,0.9447811197019237,1e-06,False,False
Q K_dir vs T2,K_dir_T2,F4_S0_N0,64,0.0023122852467256476,0.002434270039712494,0.001359025580721992,0.0013859238613709677,1.0527550794638463,1.0197923276873813,1e-06,False,False
Q K_H vs T3,K_H_T3,F4_S0_N0,64,0.001345454322502024,0.0015613579807676327,0.0010547284860775552,0.0008963424632268766,1.1604689609258845,0.8498324205791246,1e-06,False,False
Q K_H vs pointwise,K_H_pw,F4_S0_N0,64,0.0030326195722678163,0.0031867767993807084,0.0023266654056068375,0.001692993969470282,1.050833024844847,0.7276482319558405,1e-06,False,False
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N0,64,0.0030326195722678168,0.003186776799380706,0.0023266654056068375,0.0016929939694702817,1.0508330248448459,0.7276482319558404,1e-06,False,False
D-full,H_E_norm,F4_S1_N0,64,16.024222815102963,0.025374051173762253,16.01860250815193,0.013528374358642736,0.0015834809255051933,0.0008445414855482712,0.0016024222815102965,False,True
D-full residualized,H_S_from_HE,F4_S1_N0,64,0.8119608019258446,0.344860152579405,0.7717600431796618,0.2872298005529075,0.424725124366873,0.3721750083991711,8.119608019258447e-05,False,False
D-residual,H_S_norm,F4_S1_N0,64,0.8119608019258403,0.34486015257939956,0.7717600431795983,0.28722980055291913,0.42472512436686854,0.37217500839921686,8.119608019258403e-05,False,False
