estimator,target,cell,rho_estimator,rho_random_mean,rho_density,rho_radius,rho_clean_reference,rho_after_density_radius
D-full,H_E_norm,F4_S0_N0,-0.07861721611721612,0.008714514652014652,0.04624542124542124,-0.3268772893772894,-0.07861721611721612,
D-full residualized,H_S_from_HE,F4_S0_N0,-0.03427419595949699,0.001084255515134569,0.04624542124542124,-0.3268772893772894,-0.03427419595949699,
D-residual,H_S_norm,F4_S0_N0,0.8193223443223443,-0.008854166666666666,0.04624542124542124,-0.3268772893772894,0.8193223443223443,
D-residual Scal,Scal,F4_S0_N0,0.8617673992673993,-0.01921703296703297,-0.011217948717948716,-0.17161172161172158,0.8617673992673993,
Q K_H vs T2,K_H_T2,F4_S0_N0,0.5232142857142856,-0.02855540293040293,-0.03305860805860806,-0.38974358974358975,0.5232142857142856,0.6072344322344322
Q K_dir vs T2,K_dir_T2,F4_S0_N0,0.16616300366300366,-0.05142170329670329,0.1257326007326007,-0.3315934065934066,0.16616300366300366,0.19995421245421244
Q K_H vs T3,K_H_T3,F4_S0_N0,0.4342490842490842,-0.038010531135531135,0.11446886446886446,-0.2326007326007326,0.4342490842490842,0.4692307692307691
Q K_H vs pointwise,K_H_pw,F4_S0_N0,0.46506410256410247,-0.031071428571428573,0.04624542124542124,-0.3268772893772894,0.46506410256410247,0.5204212454212453
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N0,0.46506410256410247,-0.031071428571428573,0.04624542124542124,-0.3268772893772894,0.46506410256410247,0.5204212454212453
D-full,H_E_norm,F4_S1_N0,0.04913003663003663,-0.019967948717948717,0.04624542124542124,-0.040018315018315015,-0.07861721611721612,
D-full residualized,H_S_from_HE,F4_S1_N0,0.02011046376338285,-0.004433003670918764,0.04624542124542124,-0.040018315018315015,-0.03427419595949699,
D-residual,H_S_norm,F4_S1_N0,0.8316391941391941,0.0014457417582417532,0.04624542124542124,-0.040018315018315015,0.8193223443223443,
D-residual Scal,Scal,F4_S1_N0,0.7944139194139193,-0.008812957875457874,-0.011217948717948716,-0.08452380952380951,0.8617673992673993,
Q K_H vs T2,K_H_T2,F4_S1_N0,0.20430402930402927,0.0012866300366300375,-0.021749084249084248,-0.00027472527472527467,0.5232142857142856,0.24368131868131865
