estimator_target,target,cell,fixture,condition,spearman,kendall_tau,pairwise_acc,r_retained,delta_rho,rank_target_degenerate,rank_band
D-full,H_E_norm,F4_S0_N0,F4,clean uniform,-0.07861721611721612,-0.04861111111111111,0.4756944444444444,1.0,0.0,True,degenerate_target
D-full residualized,H_S_from_HE,F4_S0_N0,F4,clean uniform,-0.03427419595949699,-0.018565071420582436,0.42857142857142855,1.0,0.0,False,weak
D-residual,H_S_norm,F4_S0_N0,F4,clean uniform,0.8193223443223443,0.7251984126984126,0.8625992063492064,1.0,0.0,False,strong
D-residual Scal,Scal,F4_S0_N0,F4,clean uniform,0.8617673992673993,0.7658730158730158,0.8829365079365079,1.0,0.0,False,strong
Q K_H vs T2,K_H_T2,F4_S0_N0,F4,clean uniform,0.5232142857142856,0.3700396825396825,0.6850198412698413,1.0,0.0,False,moderate
Q K_dir vs T2,K_dir_T2,F4_S0_N0,F4,clean uniform,0.16616300366300366,0.11904761904761904,0.5595238095238095,1.0,0.0,False,weak
Q K_H vs T3,K_H_T3,F4_S0_N0,F4,clean uniform,0.4342490842490842,0.308531746031746,0.654265873015873,1.0,0.0,False,moderate
Q K_H vs pointwise,K_H_pw,F4_S0_N0,F4,clean uniform,0.46506410256410247,0.3253968253968254,0.6626984126984127,1.0,0.0,False,moderate
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N0,F4,clean uniform,0.46506410256410247,0.3253968253968254,0.6626984126984127,1.0,0.0,False,moderate
D-full,H_E_norm,F4_S1_N0,F4,uniform sparse,0.04913003663003663,0.0248015873015873,0.5124007936507936,,0.12774725274725274,True,degenerate_target
D-full residualized,H_S_from_HE,F4_S1_N0,F4,uniform sparse,0.02011046376338285,0.010642469203076491,0.3968253968253968,,0.05438465972287984,False,weak
D-residual,H_S_norm,F4_S1_N0,F4,uniform sparse,0.8316391941391941,0.6458333333333334,0.8229166666666666,1.0150329719459037,0.012316849816849773,False,strong
D-residual Scal,Scal,F4_S1_N0,F4,uniform sparse,0.7944139194139193,0.6071428571428571,0.8035714285714286,0.921842622602412,-0.06735347985348006,False,strong
Q K_H vs T2,K_H_T2,F4_S1_N0,F4,uniform sparse,0.20430402930402927,0.14087301587301587,0.5704365079365079,0.39047869081998776,-0.3189102564102564,False,weak
Q K_dir vs T2,K_dir_T2,F4_S1_N0,F4,uniform sparse,-0.2893315018315018,-0.21428571428571427,0.39285714285714285,-1.7412510333425184,-0.45549450549450543,False,weak
Q K_H vs T3,K_H_T3,F4_S1_N0,F4,uniform sparse,0.2018315018315018,0.13888888888888887,0.5694444444444444,0.46478279207085615,-0.2324175824175824,False,weak
Q K_H vs pointwise,K_H_pw,F4_S1_N0,F4,uniform sparse,0.24935897435897433,0.1607142857142857,0.5803571428571429,0.5361819434872502,-0.21570512820512813,False,weak
Q K_H vs pointwise H_S2,H_S2_pw,F4_S1_N0,F4,uniform sparse,0.24935897435897433,0.1607142857142857,0.5803571428571429,0.5361819434872502,-0.21570512820512813,False,weak
