estimator,target,cell,fixture,condition,q_top_precision,q_top_recall,q_top_jaccard,q_p_high_above_low,q_roc_auc_top_bottom,q_chance_precision,q_chance_roc_auc,q_n_high,q_n_low
D-full,H_E_norm,F4_S0_N0,F4,clean uniform,0.125,0.125,0.06666666666666667,0.42578125,0.42578125,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S0_N0,F4,clean uniform,0.125,0.125,0.06666666666666667,0.46875,0.46875,0.25,0.5,16,16
D-residual,H_S_norm,F4_S0_N0,F4,clean uniform,0.8125,0.8125,0.6842105263157895,0.9375,0.9375,0.25,0.5,16,16
D-residual Scal,Scal,F4_S0_N0,F4,clean uniform,0.8125,0.8125,0.6842105263157895,0.9453125,0.9453125,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S0_N0,F4,clean uniform,0.4375,0.4375,0.28,0.859375,0.859375,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S0_N0,F4,clean uniform,0.375,0.375,0.23076923076923078,0.6640625,0.6640625,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S0_N0,F4,clean uniform,0.4375,0.4375,0.28,0.78125,0.78125,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S0_N0,F4,clean uniform,0.4375,0.4375,0.28,0.79296875,0.79296875,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N0,F4,clean uniform,0.4375,0.4375,0.28,0.79296875,0.79296875,0.25,0.5,16,16
D-full,H_E_norm,F4_S1_N0,F4,uniform sparse,0.0,0.0,0.0,0.55078125,0.55078125,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S1_N0,F4,uniform sparse,0.0,0.0,0.0,0.5234375,0.5234375,0.25,0.5,16,16
D-residual,H_S_norm,F4_S1_N0,F4,uniform sparse,0.875,0.875,0.7777777777777778,0.98828125,0.98828125,0.25,0.5,16,16
D-residual Scal,Scal,F4_S1_N0,F4,uniform sparse,0.8125,0.8125,0.6842105263157895,0.99609375,0.99609375,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S1_N0,F4,uniform sparse,0.3125,0.3125,0.18518518518518517,0.625,0.625,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S1_N0,F4,uniform sparse,0.0625,0.0625,0.03225806451612903,0.3046875,0.3046875,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S1_N0,F4,uniform sparse,0.3125,0.3125,0.18518518518518517,0.6328125,0.6328125,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S1_N0,F4,uniform sparse,0.375,0.375,0.23076923076923078,0.63671875,0.63671875,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S1_N0,F4,uniform sparse,0.375,0.375,0.23076923076923078,0.63671875,0.63671875,0.25,0.5,16,16
D-full,H_E_norm,F4_S2_N0,F4,smoothly non-uniform dense,0.1875,0.1875,0.10344827586206896,0.4609375,0.4609375,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S2_N0,F4,smoothly non-uniform dense,0.1875,0.1875,0.10344827586206896,0.447265625,0.447265625,0.25,0.5,16,16
D-residual,H_S_norm,F4_S2_N0,F4,smoothly non-uniform dense,0.875,0.875,0.7777777777777778,0.9609375,0.9609375,0.25,0.5,16,16
D-residual Scal,Scal,F4_S2_N0,F4,smoothly non-uniform dense,0.75,0.75,0.6,0.94921875,0.94921875,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S2_N0,F4,smoothly non-uniform dense,0.375,0.375,0.23076923076923078,0.69921875,0.69921875,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S2_N0,F4,smoothly non-uniform dense,0.25,0.25,0.14285714285714285,0.56640625,0.56640625,0.25,0.5,16,16
