estimator,cell,rho_truth,rho_truth_lo,rho_truth_hi,r_rel,r_max,f_ceiling,f_ceiling_display,attenuation_applicable,f_lo,f_hi
Q K_H,F4_S0_N0,0.08859890109890108,-0.2195665089540533,0.3234754754904192,0.20352564102564102,0.45113816179263866,0.19638972847441072,0.19638972847441072,True,0.004784295497399906,0.8947512379755266
Q K_dir,F4_S0_N0,0.27577838827838824,0.01597471360582929,0.5031220614015165,0.528021978021978,0.7266512079546679,0.37951961719658034,0.37951961719658034,True,0.058364370205316485,0.6989301940053774
D-residual,F4_S0_N0,0.8008699633699632,0.6393285339450631,0.9065857897325909,0.8286172161172161,0.9102841403195027,0.8798021715382892,0.8798021715382892,True,,
D-full residualized,F4_S0_N0,0.05636730949063558,-0.1585410714801841,0.29353014130964045,0.14868970131464923,0.3856030359250939,0.14617963096531567,0.14617963096531567,True,,
D-full,F4_S0_N0,0.09239926739926739,-0.13139991250551464,0.34133059973978924,0.17509157509157508,0.4184394521213016,0.22081872761003835,0.22081872761003835,True,,
Q K_H,F4_S3_N4,0.08356227106227106,-0.12089938942407907,0.29926448454938775,0.29986263736263735,0.547597148789726,0.15259807551400978,0.15259807551400978,True,0.00995923674775606,0.7834969004299764
Q K_dir,F4_S3_N4,0.05531135531135531,-0.1847859644910911,0.30062319064938775,0.03003663003663003,0.17331079030640312,0.3191454797105716,0.3191454797105716,True,0.030408511189455666,1.47163701559294
D-residual,F4_S3_N4,0.7347985347985347,0.5672173189896978,0.8364862669191548,0.6957875457875456,0.8341388048685576,0.8809067873473687,0.8809067873473687,True,,
D-full residualized,F4_S3_N4,0.10246735883187427,-0.11351853278250439,0.32141731182638056,0.08314413704093868,0.28834725079483364,0.35536097032110214,0.35536097032110214,True,,
D-full,F4_S3_N4,0.07229853479853479,-0.15637608176198883,0.28801828937031365,0.011263736263736262,0.10613075079229517,0.6812213638253418,0.6812213638253418,True,,
