estimator,kind,cell,r_rel,r_rel_lo,r_rel_hi,band
Q K_H,sampling,F4_S0_N0,0.20352564102564102,-0.00416636899344454,0.4093481475505378,weak
Q K_dir,sampling,F4_S0_N0,0.528021978021978,0.28765732027754465,0.708952521789243,moderate
D-residual,init,F4_S0_N0,0.9044413919413918,0.8014903626107998,0.9603814869902003,strong
D-residual,sampling,F4_S0_N0,0.8286172161172161,0.6693839962046936,0.9325110386332879,strong
D-residual,total,F4_S0_N0,0.8288003663003661,0.6771628934090111,0.9339952171961133,strong
D-full residualized,init,F4_S0_N0,0.021707053942305966,-0.22926915430269226,0.24484711583713245,weak
D-full residualized,sampling,F4_S0_N0,0.14868970131464923,-0.08111532866290506,0.4111763788558704,weak
D-full residualized,total,F4_S0_N0,-0.1495578452781338,-0.381508645951942,0.11210364378144405,weak
D-full,init,F4_S0_N0,0.06208791208791208,-0.18840991578935737,0.2994754391404655,weak
D-full,sampling,F4_S0_N0,0.17509157509157508,-0.053221287383032355,0.4130316924297933,weak
D-full,total,F4_S0_N0,-0.2591117216117216,-0.5023347082215945,-0.05428228869085598,weak
Q K_H,sampling,F4_S3_N4,0.29986263736263735,0.08651419677655535,0.4869659941332593,weak
Q K_dir,sampling,F4_S3_N4,0.03003663003663003,-0.23980168413703756,0.2746185962277229,weak
D-residual,init,F4_S3_N4,0.7657967032967032,0.622163112728423,0.8703279317538831,strong
D-residual,sampling,F4_S3_N4,0.6957875457875456,0.5070502155908487,0.8271198241250945,moderate
D-residual,total,F4_S3_N4,0.5679029304029304,0.3410817300106374,0.7229201588237879,moderate
D-full residualized,init,F4_S3_N4,0.011053719008264464,-0.26490565714839476,0.2971797160022624,weak
D-full residualized,sampling,F4_S3_N4,0.08314413704093868,-0.1843628803856504,0.32225126549661826,weak
D-full residualized,total,F4_S3_N4,0.15891662863856132,-0.14197311627609105,0.37281041752728256,weak
D-full,init,F4_S3_N4,-0.13305860805860806,-0.353290852058359,0.1315276224664556,weak
D-full,sampling,F4_S3_N4,0.011263736263736262,-0.21193504281141914,0.25213115961031674,weak
D-full,total,F4_S3_N4,0.11588827838827838,-0.12632309822617419,0.33299079696032385,weak
