estimator,target,cell,fixture,sampling,noise,condition,n,mean,sd,median_abs,iqr,cv,r_iqr,tol,analytic_constant,rank_target_degenerate,spearman,kendall_tau,pairwise_acc,rank_rmse,pearson,rank_band,pair_band,q_top_precision,q_top_recall,q_top_jaccard,q_p_high_above_low,q_roc_auc_top_bottom,q_chance_precision,q_chance_roc_auc,q_n_high,q_n_low
D-full,H_E_norm,F4_S0_N0,F4,S0,N0,clean uniform,64,16.024222815102963,0.025374051173762253,16.01860250815193,0.013528374358642736,0.0015834809255051933,0.0008445414855482712,0.0016024222815102965,False,True,-0.07861721611721612,-0.04861111111111111,0.4756944444444444,27.13219950538474,-0.06660603927210704,degenerate_target,weak,0.125,0.125,0.06666666666666667,0.42578125,0.42578125,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S0_N0,F4,S0,N0,clean uniform,64,0.8119608019258446,0.344860152579405,0.7717600431796618,0.2872298005529075,0.424725124366873,0.3721750083991711,8.119608019258447e-05,False,False,-0.03427419595949699,-0.018565071420582436,0.42857142857142855,26.258927053480306,-0.04704719183312166,weak,weak,0.125,0.125,0.06666666666666667,0.46875,0.46875,0.25,0.5,16,16
D-residual,H_S_norm,F4_S0_N0,F4,S0,N0,clean uniform,64,0.8119608019258403,0.34486015257939956,0.7717600431795983,0.28722980055291913,0.42472512436686854,0.37217500839921686,8.119608019258403e-05,False,False,0.8193223443223443,0.7251984126984126,0.8625992063492064,11.104616157256405,0.6967068063196575,strong,strong,0.8125,0.8125,0.6842105263157895,0.9375,0.9375,0.25,0.5,16,16
D-residual Scal,Scal,F4_S0_N0,F4,S0,N0,clean uniform,64,240.49946218092725,0.6955025004606221,240.4262100078681,0.40077592371011406,0.002891908755859895,0.0016669394060530953,0.024049946218092727,False,False,0.8617673992673993,0.7658730158730158,0.8829365079365079,9.713071090031207,0.7600480744031143,strong,strong,0.8125,0.8125,0.6842105263157895,0.9453125,0.9453125,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S0_N0,F4,S0,N0,clean uniform,64,0.0012202775330965145,0.0017345935697190883,0.0007578842716471115,0.000716034751716016,1.421474641015472,0.9447811197019237,1e-06,False,False,0.5232142857142856,0.3700396825396825,0.6850198412698413,18.03902020620854,0.29316690825334235,moderate,moderate,0.4375,0.4375,0.28,0.859375,0.859375,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S0_N0,F4,S0,N0,clean uniform,64,0.0023122852467256476,0.002434270039712494,0.001359025580721992,0.0013859238613709677,1.0527550794638463,1.0197923276873813,1e-06,False,False,0.16616300366300366,0.11904761904761904,0.5595238095238095,23.85568590504159,0.2836740612423265,weak,weak,0.375,0.375,0.23076923076923078,0.6640625,0.6640625,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S0_N0,F4,S0,N0,clean uniform,64,0.001345454322502024,0.0015613579807676327,0.0010547284860775552,0.0008963424632268766,1.1604689609258845,0.8498324205791246,1e-06,False,False,0.4342490842490842,0.308531746031746,0.654265873015873,19.650063613128584,0.4967011686052913,moderate,moderate,0.4375,0.4375,0.28,0.78125,0.78125,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S0_N0,F4,S0,N0,clean uniform,64,0.0030326195722678163,0.0031867767993807084,0.0023266654056068375,0.001692993969470282,1.050833024844847,0.7276482319558405,1e-06,False,False,0.46506410256410247,0.3253968253968254,0.6626984126984127,19.107426566652034,0.5135485062445768,moderate,moderate,0.4375,0.4375,0.28,0.79296875,0.79296875,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N0,F4,S0,N0,clean uniform,64,0.0030326195722678168,0.003186776799380706,0.0023266654056068375,0.0016929939694702817,1.0508330248448459,0.7276482319558404,1e-06,False,False,0.46506410256410247,0.3253968253968254,0.6626984126984127,19.107426566652034,0.5135485062445772,moderate,moderate,0.4375,0.4375,0.28,0.79296875,0.79296875,0.25,0.5,16,16
D-full,H_E_norm,F4_S1_N0,F4,S1,N0,uniform sparse,64,16.024222815102963,0.025374051173762253,16.01860250815193,0.013528374358642736,0.0015834809255051933,0.0008445414855482712,0.0016024222815102965,False,True,0.04913003663003663,0.0248015873015873,0.5124007936507936,25.47486506343066,-0.009507907744196744,degenerate_target,weak,0.0,0.0,0.0,0.55078125,0.55078125,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S1_N0,F4,S1,N0,uniform sparse,64,0.8119608019258446,0.344860152579405,0.7717600431796618,0.2872298005529075,0.424725124366873,0.3721750083991711,8.119608019258447e-05,False,False,0.02011046376338285,0.010642469203076491,0.3968253968253968,25.186957190180795,0.029644423308725597,weak,weak,0.0,0.0,0.0,0.5234375,0.5234375,0.25,0.5,16,16
D-residual,H_S_norm,F4_S1_N0,F4,S1,N0,uniform sparse,64,0.8119608019258403,0.34486015257939956,0.7717600431795983,0.28722980055291913,0.42472512436686854,0.37217500839921686,8.119608019258403e-05,False,False,0.8316391941391941,0.6458333333333334,0.8229166666666666,10.719433287259173,0.8384946332828872,strong,strong,0.875,0.875,0.7777777777777778,0.98828125,0.98828125,0.25,0.5,16,16
D-residual Scal,Scal,F4_S1_N0,F4,S1,N0,uniform sparse,64,240.49946218092725,0.6955025004606221,240.4262100078681,0.40077592371011406,0.002891908755859895,0.0016669394060530953,0.024049946218092727,False,False,0.7944139194139193,0.6071428571428571,0.8035714285714286,11.845357740482134,0.7797991983581565,strong,strong,0.8125,0.8125,0.6842105263157895,0.99609375,0.99609375,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S1_N0,F4,S1,N0,uniform sparse,64,0.0012514251575150913,0.002234684230085334,0.0004899284582091312,0.0008467222707013603,1.7857114465694075,1.7282569623903556,1e-06,False,False,0.20430402930402927,0.14087301587301587,0.5704365079365079,23.3037014227354,-0.013072833557096429,weak,weak,0.3125,0.3125,0.18518518518518517,0.625,0.625,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S1_N0,F4,S1,N0,uniform sparse,64,0.0025986727343058767,0.003433839921681804,0.001288560399121156,0.0019259072439441365,1.3213822098601515,1.4946193005489339,1e-06,False,False,-0.2893315018315018,-0.21428571428571427,0.39285714285714285,29.664267225063895,-0.11938739676146749,weak,weak,0.0625,0.0625,0.03225806451612903,0.3046875,0.3046875,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S1_N0,F4,S1,N0,uniform sparse,64,0.0010934604020639445,0.0012939976953495532,0.0008146171320493828,0.0008227272932287068,1.1833969403223845,1.0099557937714432,1e-06,False,False,0.2018315018315018,0.13888888888888887,0.5694444444444444,23.339880033967614,0.1137435546481603,weak,weak,0.3125,0.3125,0.18518518518518517,0.6328125,0.6328125,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S1_N0,F4,S1,N0,uniform sparse,64,0.0030326195722678163,0.0031867767993807084,0.0023266654056068375,0.001692993969470282,1.050833024844847,0.7276482319558405,1e-06,False,False,0.24935897435897433,0.1607142857142857,0.5803571428571429,22.634321284279764,0.16314571212003345,weak,weak,0.375,0.375,0.23076923076923078,0.63671875,0.63671875,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S1_N0,F4,S1,N0,uniform sparse,64,0.0030326195722678168,0.003186776799380706,0.0023266654056068375,0.0016929939694702817,1.0508330248448459,0.7276482319558404,1e-06,False,False,0.24935897435897433,0.1607142857142857,0.5803571428571429,22.634321284279764,0.16314571212003356,weak,weak,0.375,0.375,0.23076923076923078,0.63671875,0.63671875,0.25,0.5,16,16
D-full,H_E_norm,F4_S2_N0,F4,S2,N0,smoothly non-uniform dense,64,16.024222815102963,0.025374051173762253,16.01860250815193,0.013528374358642736,0.0015834809255051933,0.0008445414855482712,0.0016024222815102965,False,True,-0.07577838827838827,-0.05158730158730158,0.4742063492063492,27.096471172460816,-0.009944654240676863,degenerate_target,weak,0.1875,0.1875,0.10344827586206896,0.4609375,0.4609375,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S2_N0,F4,S2,N0,smoothly non-uniform dense,64,0.8119608019258446,0.344860152579405,0.7717600431796618,0.2872298005529075,0.424725124366873,0.3721750083991711,8.119608019258447e-05,False,False,-0.101929767832489,-0.07704169392017071,0.3715277777777778,26.84300420966327,-0.12224709835024597,weak,weak,0.1875,0.1875,0.10344827586206896,0.447265625,0.447265625,0.25,0.5,16,16
D-residual,H_S_norm,F4_S2_N0,F4,S2,N0,smoothly non-uniform dense,64,0.8119608019258403,0.34486015257939956,0.7717600431795983,0.28722980055291913,0.42472512436686854,0.37217500839921686,8.119608019258403e-05,False,False,0.8152014652014651,0.6716269841269841,0.8358134920634921,11.2305387226081,0.9042800907363203,strong,strong,0.875,0.875,0.7777777777777778,0.9609375,0.9609375,0.25,0.5,16,16
D-residual Scal,Scal,F4_S2_N0,F4,S2,N0,smoothly non-uniform dense,64,240.49946218092725,0.6955025004606221,240.4262100078681,0.40077592371011406,0.002891908755859895,0.0016669394060530953,0.024049946218092727,False,False,0.8405677655677655,0.6884920634920635,0.8442460317460317,10.431323022512533,0.9520911768765788,strong,strong,0.75,0.75,0.6,0.94921875,0.94921875,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S2_N0,F4,S2,N0,smoothly non-uniform dense,64,0.001539287883209042,0.0026956695696021536,0.0007726987100510887,0.0010721832622982857,1.7512445834570538,1.3875825686829648,1e-06,False,False,0.25155677655677655,0.17956349206349206,0.589781746031746,22.601161474579133,-0.030499946136427567,weak,weak,0.375,0.375,0.23076923076923078,0.69921875,0.69921875,0.25,0.5,16,16
