cell,fixture,sampling,noise,anchor_i,sample_id,K_H_T2,K_dir_T2,K_H_T3,K_dir_T3,K_H_pw,K_dir_pw,q_n_eff,q_design_cond,radius_lat,s_x,rms_eps
F0_S0_N0,F0,S0,N0,0,100244,5.20577351631519e-33,1.5570303956809105e-32,3.487769032050788e-32,6.812235835357843e-32,1.3313088724009132e-31,1.4544564947285352e-31,1024,100.39089690588227,1.04392276858404,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,1,100047,5.137457262756493e-33,1.6369958222968688e-32,2.359648664693942e-32,5.316208574225263e-32,2.653680097067197e-31,2.798338547612533e-31,1024,100.7729263580848,1.0627211217491146,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,2,100073,7.632771932791944e-32,1.2643536883154974e-31,5.615586945562369e-32,9.484441813848953e-32,3.2037146610972123e-31,3.6336701579592568e-31,1024,535.1353743014172,1.5896370410005067,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,3,100211,9.511522924110324e-33,2.6680227664522666e-32,3.444287793193009e-32,6.592965387542076e-32,3.6937388267210676e-31,3.916493851204769e-31,1024,197.82220667674142,1.2544566766438163,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,4,100020,1.1593706570413167e-32,2.676986395580755e-32,5.678993499996449e-32,8.382739571358494e-32,2.2669737267027654e-31,2.455347631779535e-31,1024,183.98271741867273,1.223186170653425,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,5,100043,1.8359063822498588e-32,3.615523078232658e-32,8.962697689397984e-32,1.3382182848857046e-31,1.646631454712337e-31,1.804948050402232e-31,1024,173.13136585054065,1.2112605274070671,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,6,100127,5.700697399257672e-33,1.4168076294684097e-32,2.4168773680786703e-32,4.362189880668736e-32,2.5719862700497537e-31,2.653880577150542e-31,1024,70.7721908292406,0.9368800137369908,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,7,100101,8.548721156528026e-33,2.258254707344775e-32,4.326661386910083e-32,6.426583946030868e-32,2.023516386186106e-31,2.2276288126815287e-31,1024,138.54131325022212,1.147533168761751,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,8,100152,2.3920710994770878e-33,1.2100423042427587e-32,2.0724050878310204e-32,4.467054155983282e-32,1.6472779825624873e-31,1.7370329299699914e-31,1024,82.54670002203908,0.9813530389500951,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,9,100169,4.892182490487959e-33,1.3368649355239516e-32,1.9240824320180808e-32,3.531210116827373e-32,2.21263352953434e-31,2.295188296706278e-31,1024,64.65962601418418,0.8982118267044383,0.9998950659548889,0.0
