estimator,cell,median_tensor_cos,median_H_cosine,rho_scalar,constant_truth,scal_rho,energy_frac,K_H_rho
D-full,F0_S0_N0,0.9848518317335664,0.9993431523062966,,True,,,
D-full,F1_S0_N0,0.981639928359914,0.9989200740782332,,True,,,
D-full,F2_S0_N0,0.9082197933218512,0.9989574662225252,,True,,,
D-full,F4_S0_N0,0.9818383711296564,0.9993950499913692,-0.0786172161172161,False,,,
D-full,F4_S1_N0,0.9382627674942012,0.997466968547027,0.0491300366300366,False,,,
D-full,F4_S2_N0,0.9846686521273608,0.9990849647777568,-0.0757783882783882,False,,,
D-full,F4_S0_N1,0.9813386125291604,0.9994842349224397,-0.143040293040293,False,,,
D-full,F4_S0_N2,0.9771447734167816,0.999148682398766,-0.0533882783882783,False,,,
D-full,F4_S0_N3,0.9788521862490576,0.99907940998569,0.1627747252747252,False,,,
D-full,F4_S3_N4,0.9449754825513856,0.9950274960607488,0.3344322344322344,False,,,
D-full,F0_S3_N4,0.9429650088707232,0.9980629208598866,,True,,,
D-full,F2_S3_N4,0.7496049123161501,0.9867135729870264,,True,,,
D-residual,F0_S0_N0,0.0008060132721714,-0.013677842985629,,,,0.0009638843433637,
D-residual,F1_S0_N0,0.980948103499842,0.999460670808102,,,0.2366393520712508,0.3635398378871085,
D-residual,F2_S0_N0,0.9228219414916792,0.0150047202253522,,,,0.5065480719801455,
D-residual,F4_S0_N0,0.6975505692829864,0.9985285924036632,0.8193223443223443,,0.8617673992673993,0.0169411798092031,
D-residual,F4_S1_N0,0.5767126635860195,0.9912633850721244,0.8316391941391941,,0.7944139194139193,0.0150817013113457,
D-residual,F4_S2_N0,0.9289505198854544,0.9974878181093404,0.8152014652014651,,0.8405677655677655,0.0184315159438434,
D-residual,F4_S0_N1,0.7061456071597376,0.9971689065878536,0.8024725274725273,,0.8382783882783882,0.0173746284101324,
D-residual,F4_S0_N2,0.6102179765681941,0.9768403197095944,0.7308150183150182,,0.7701465201465202,0.023756579685982,
D-residual,F4_S0_N3,0.7059603501803895,0.990812142270662,0.7616758241758241,,0.7807692307692307,0.0193302101831346,
D-residual,F4_S3_N4,0.6569900465601399,0.9528390064332044,0.7369047619047618,,0.7635073260073258,0.0278140785791503,
D-residual,F0_S3_N4,0.0027918224316376,0.0089791268090381,,,,0.0112058232524514,
D-residual,F2_S3_N4,0.6498985664312813,0.0073985301101011,,,,0.5683549190788544,
Q vs T2,F0_S0_N0,-0.0077759993187778,,,,,,
Q vs T2,F1_S0_N0,0.2080906737275766,,,,-0.0771978021978021,,
Q vs T2,F2_S0_N0,0.420953184155234,,,,-0.0677655677655677,,
Q vs T2,F4_S0_N0,0.6176322563326069,,,,0.4580128205128205,,
Q vs T2,F4_S1_N0,0.2971060568703524,,,,0.076098901098901,,
Q vs T2,F4_S2_N0,0.6095073463935359,,,,0.3369505494505494,,
Q vs T2,F4_S0_N1,0.589998488590614,,,,0.3083333333333333,,
Q vs T2,F4_S0_N2,0.3773981283343377,,,,0.251007326007326,,
Q vs T2,F4_S0_N3,0.4592680590388394,,,,0.4211080586080585,,
Q vs T2,F4_S3_N4,0.3126705855882302,,,,0.1977564102564102,,
Q vs T2,F0_S3_N4,0.0062965217578757,,,,,,
Q vs T2,F2_S3_N4,,,,,0.1107142857142857,,
T2 vs T3,F0_S0_N0,0.10493171166986,,,,,,
T2 vs T3,F1_S0_N0,0.8094279244794567,,,,0.4246336996336995,,
T2 vs T3,F2_S0_N0,0.6556234235518357,,,,0.4740842490842489,,
T2 vs T3,F4_S0_N0,0.7481855145541307,,,,0.704029304029304,,
T2 vs T3,F4_S1_N0,0.6929298651375261,,,,0.612087912087912,,
T2 vs T3,F4_S2_N0,0.7477125641943931,,,,0.6511904761904762,,
T2 vs T3,F4_S0_N1,0.7481087867273735,,,,0.7043040293040292,,
T2 vs T3,F4_S0_N2,0.7479780783178125,,,,0.7083791208791208,,
T2 vs T3,F4_S0_N3,0.7508143956293527,,,,0.714102564102564,,
T2 vs T3,F4_S3_N4,0.6911882330263007,,,,0.6978021978021978,,
T2 vs T3,F0_S3_N4,0.0863805433413603,,,,,,
T2 vs T3,F2_S3_N4,0.4735594856560938,,,,0.4603479853479852,,
Q vs pointwise,F0_S0_N0,-0.0007650457316752,,,,,,
Q vs pointwise,F1_S0_N0,0.3553944640380564,,,,0.2395248779251293,,-0.0853937728937728
Q vs pointwise,F2_S0_N0,0.647455160716665,,,,,,-0.1013278388278388
Q vs pointwise,F4_S0_N0,0.6808148679226229,,,,0.551098901098901,,0.5232142857142856
Q vs pointwise,F4_S1_N0,0.3860160794804582,,,,0.1636446886446886,,0.2043040293040292
Q vs pointwise,F4_S2_N0,0.6597479546247095,,,,0.4735347985347985,,0.2515567765567765
Q vs pointwise,F4_S0_N1,0.6514732122174551,,,,0.4298076923076923,,0.5189102564102563
Q vs pointwise,F4_S0_N2,0.4093239410891238,,,,0.3308150183150182,,0.1527472527472527
Q vs pointwise,F4_S0_N3,0.5113289389204848,,,,0.3939102564102563,,0.3754578754578754
Q vs pointwise,F4_S3_N4,0.3855722975827095,,,,0.289514652014652,,0.0695970695970696
Q vs pointwise,F0_S3_N4,0.0012684636724182,,,,,,
Q vs pointwise,F2_S3_N4,,,,,,,0.0638278388278388
