ok,d,lin_nmse,quad_nmse,quadN_nmse,lin_r2,quad_r2,lam,df,df_frac,n_tr,n_te,m_d,energy,test_sse_lin,dataset_id,sample_id,k,stage
1.0,2.0,0.44910740526874265,0.4348724625510499,0.4348724625510499,0.5508925947312573,0.5651275374489502,137.79608631469247,2.479883760624997,0.8266279202083323,1024.0,1024.0,3.0,250.16383064480422,112.35042887297719,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,4.0,0.3268218450526103,0.2987811858734385,0.29878118587343855,0.6731781549473896,0.7012188141265615,210.42857202046775,7.586444882805598,0.7586444882805597,1024.0,1024.0,10.0,250.16383064480422,81.75900469676365,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,5.0,0.2893648954184552,0.25505223737746346,0.25505223737746346,0.7106351045815448,0.7449477626225365,39.27084597132134,14.100083752864931,0.9400055835243287,1024.0,1024.0,15.0,250.16383064480422,72.38863069201392,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,6.0,0.2655905801600733,0.22474957889312752,0.22474957889312752,0.7344094198399267,0.7752504211068725,45.68479160020553,19.52945433470609,0.9299740159383854,1024.0,1024.0,21.0,250.16383064480422,66.44115691601988,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,7.0,0.24184981415386392,0.20024155095223883,0.20024155095223883,0.7581501858461361,0.7997584490477612,52.04698508803368,25.718581014029517,0.9185207505010542,1024.0,1024.0,28.0,250.16383064480422,60.50207594946459,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,8.0,0.22103191269368272,0.1794473372233521,0.1794473372233521,0.7789680873063173,0.820552662776648,9.324328006273054,35.39406959782654,0.983168599939626,1024.0,1024.0,36.0,250.16383064480422,55.2941899741996,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,10.0,0.1924680402395058,0.1549498075612071,0.1549498075612071,0.8075319597604942,0.8450501924387929,70.90483293569831,48.14388346002865,0.8753433356368845,1024.0,1024.0,55.0,250.16383064480422,48.148542223013095,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,11.0,0.1822221234679329,0.14595901284618892,0.14595901284618892,0.8177778765320671,0.854040987153811,76.62228502401346,57.101191976608796,0.8651695754031635,1024.0,1024.0,66.0,250.16383064480422,45.585384434968574,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,12.0,0.17382677530369225,0.1388137415696558,0.1388137415696558,0.8261732246963077,0.8611862584303442,82.98609758352026,66.5506476079808,0.8532134308715488,1024.0,1024.0,78.0,250.16383064480422,43.48517197860531,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,13.0,0.16637210657825424,0.131468512987687,0.131468512987687,0.8336278934217458,0.868531487012313,87.63003008825862,76.7288344041036,0.8431740044406988,1024.0,1024.0,91.0,250.16383064480422,41.62028349406171,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,14.0,0.15937996265798335,0.1259917069431171,0.1259917069431171,0.8406200373420166,0.8740082930568829,92.60714402262029,87.62014339161772,0.8344775561106449,1024.0,1024.0,105.0,250.16383064480422,39.87110198654697,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,16.0,0.14798888647401887,0.11682544621389819,0.11682544621389819,0.8520111135259811,0.8831745537861018,102.87357044521728,110.74799968872364,0.814323527122968,1024.0,1024.0,136.0,250.16383064480422,37.02146673319962,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,17.0,0.14320979354674152,0.11563542243304409,0.11563542243304409,0.8567902064532584,0.884364577566956,685.7985928871279,70.19784714660176,0.4588094584745213,1024.0,1024.0,153.0,250.16383064480422,35.82591053950442,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,18.0,0.13861108601441047,0.11213394531322424,0.11213394531322425,0.8613889139855895,0.8878660546867758,723.4701245729373,75.78351891436732,0.4431784731834346,1024.0,1024.0,171.0,250.16383064480422,34.67548024720137,desi_vit_base_hsc,9981,2048,coarse_fixed
1.0,20.0,0.13023437067907845,0.10501838609647714,0.10501838609647712,0.8697656293209215,0.8949816139035228,788.3870647559992,88.050200182456,0.41928666753550475,1024.0,1024.0,210.0,250.16383064480422,32.579929050693636,desi_vit_base_hsc,9981,2048,coarse_fixed
