dataset_id,ok,d,lin_nmse,quad_nmse,quadN_nmse,lin_r2,quad_r2,lam,df,df_frac,n_tr,n_te,m_d,energy,test_sse_lin,sample_id,k,stage
physics_vit_base,,,,,,,,,,,,,,,,,,
desi_vit_base_hsc,1.0,9.0,0.2054376257090215,0.1591648905872965,0.1591648905872965,0.7945623742909784,0.8408351094127035,10.265094402347158,44.10992083126806,0.980220462917068,1024.0,1024.0,45.0,250.16464996196856,51.39323172451529,9981.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,10.0,0.1924994394146831,0.1493990424131297,0.1493990424131297,0.8075005605853169,0.8506009575868703,70.19841693443314,48.1880528453674,0.8761464153703162,1024.0,1024.0,55.0,250.16464996196856,48.15655487904937,9981.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,11.0,0.1828362726481151,0.1408786434484272,0.1408786434484272,0.8171637273518848,0.8591213565515727,75.15142391423707,57.23454199409424,0.867190030213549,1024.0,1024.0,66.0,250.16464996196856,45.73917214736677,9981.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,12.0,0.1741702813309978,0.1338132696223206,0.1338132696223206,0.8258297186690022,0.8661867303776793,80.95599887289207,66.93297495967269,0.8581150635855473,1024.0,1024.0,78.0,250.16464996196856,43.57124746294666,9981.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,13.0,0.1659964996891561,0.126216566399612,0.126216566399612,0.8340035003108439,0.873783433600388,86.11451478529916,77.35149757926959,0.8500164569150505,1024.0,1024.0,91.0,250.16464996196856,41.52645623964976,9981.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,15.0,0.1529003997619067,0.1152209709223183,0.1152209709223183,0.8470996002380933,0.8847790290776817,97.34356347001236,99.2828682273741,0.8273572352281174,1024.0,1024.0,120.0,250.16464996196856,38.25027498548245,9981.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,16.0,0.1476463549266284,0.1111680989440608,0.1111680989440608,0.8523536450733715,0.8888319010559391,102.53333703536995,111.21068245368907,0.8177256062771255,1024.0,1024.0,136.0,250.16464996196856,36.93589869838058,9981.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,17.0,0.142876486458121,0.1124978380985993,0.1124978380985993,0.857123513541879,0.8875021619014007,675.9863651516057,71.05114336364628,0.4643865579323286,1024.0,1024.0,153.0,250.16464996196856,35.742646222591794,9981.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,18.0,0.1382559339913917,0.1093410814568647,0.1093410814568647,0.8617440660086083,0.8906589185431353,712.1873900078295,76.6706356782752,0.4483662905162293,1024.0,1024.0,171.0,250.16464996196856,34.58674733212154,9981.0,2048.0,fine_closest
