dataset_id,k,d,label,raw,controlled,source
physics_vit_base,256,12,,,,predeclared_pending
physics_vit_base,256,20,,,,predeclared_pending
physics_vit_base,256,41,,,,predeclared_pending
physics_vit_base,256,115,,,,predeclared_pending
physics_vit_base,512,12,,,,predeclared_pending
physics_vit_base,512,20,,,,predeclared_pending
physics_vit_base,512,41,,,,predeclared_pending
physics_vit_base,512,115,,,,predeclared_pending
physics_vit_base,768,12,,,,predeclared_pending
physics_vit_base,768,20,,,,predeclared_pending
physics_vit_base,768,41,,,,predeclared_pending
physics_vit_base,768,115,,,,predeclared_pending
physics_vit_base,1024,12,,,,predeclared_pending
physics_vit_base,1024,20,,,,predeclared_pending
physics_vit_base,1024,41,,,,predeclared_pending
physics_vit_base,1024,115,,,,predeclared_pending
physics_vit_base,1536,12,,,,predeclared_pending
physics_vit_base,1536,20,,,,predeclared_pending
physics_vit_base,1536,41,,,,predeclared_pending
physics_vit_base,1536,115,,,,predeclared_pending
physics_vit_base,2048,12,mag_r_desi,-0.000821161440746,0.0004519539430768,primary_scale
physics_vit_base,2048,12,smooth_fraction,-0.0639843401311498,0.0194687989952049,primary_scale
physics_vit_base,2048,12,photo_z,-0.2284717629058412,-0.1883325051817521,primary_scale
physics_vit_base,2048,12,stellar_mass,-0.1939312337564166,-0.0191717918547756,primary_scale
physics_vit_base,2048,12,sfr,-0.3140974967061923,-0.2757575757575757,primary_scale
physics_vit_base,2048,20,mag_r_desi,0.0275247557107298,0.1069670823748869,primary_scale
physics_vit_base,2048,20,smooth_fraction,-0.3087299620340806,0.0660173729128758,primary_scale
physics_vit_base,2048,20,photo_z,0.0762255482440864,0.1415762168134009,primary_scale
physics_vit_base,2048,20,stellar_mass,0.0735184156541214,0.1070311739392877,primary_scale
physics_vit_base,2048,20,sfr,0.3166007905138339,0.317391304347826,primary_scale
physics_vit_base,2048,41,mag_r_desi,-0.0012013213238155,0.1365954126183037,primary_scale
physics_vit_base,2048,41,smooth_fraction,-0.3278802921973884,0.1954069141174855,primary_scale
physics_vit_base,2048,41,photo_z,-0.027878965591131,0.0357224124354091,primary_scale
physics_vit_base,2048,41,stellar_mass,-0.0312277563564467,-0.018790817220632,primary_scale
physics_vit_base,2048,41,sfr,0.3670619235836627,0.3114624505928853,primary_scale
physics_vit_base,2048,115,,,,predeclared_pending
desi_vit_base_hsc,256,11,,,,predeclared_pending
desi_vit_base_hsc,256,17,,,,predeclared_pending
desi_vit_base_hsc,256,34,,,,predeclared_pending
desi_vit_base_hsc,256,35,,,,predeclared_pending
desi_vit_base_hsc,256,87,,,,predeclared_pending
desi_vit_base_hsc,512,11,,,,predeclared_pending
desi_vit_base_hsc,512,17,,,,predeclared_pending
desi_vit_base_hsc,512,34,,,,predeclared_pending
desi_vit_base_hsc,512,35,,,,predeclared_pending
desi_vit_base_hsc,512,87,,,,predeclared_pending
desi_vit_base_hsc,768,11,,,,predeclared_pending
desi_vit_base_hsc,768,17,,,,predeclared_pending
desi_vit_base_hsc,768,34,,,,predeclared_pending
desi_vit_base_hsc,768,35,,,,predeclared_pending
desi_vit_base_hsc,768,87,,,,predeclared_pending
desi_vit_base_hsc,1024,11,,,,predeclared_pending
desi_vit_base_hsc,1024,17,,,,predeclared_pending
desi_vit_base_hsc,1024,34,,,,predeclared_pending
desi_vit_base_hsc,1024,35,,,,predeclared_pending
desi_vit_base_hsc,1024,87,,,,predeclared_pending
desi_vit_base_hsc,1536,11,,,,predeclared_pending
desi_vit_base_hsc,1536,17,,,,predeclared_pending
desi_vit_base_hsc,1536,34,,,,predeclared_pending
desi_vit_base_hsc,1536,35,,,,predeclared_pending
desi_vit_base_hsc,1536,87,,,,predeclared_pending
desi_vit_base_hsc,2048,11,spec_z,-0.0312611759135281,-0.0732477419290234,primary_scale
desi_vit_base_hsc,2048,11,mag_r,-0.0751589125496389,-0.0574865745985969,primary_scale
desi_vit_base_hsc,2048,17,spec_z,-0.1346440981162953,-0.1581609023986908,primary_scale
desi_vit_base_hsc,2048,17,mag_r,-0.1177514813002826,-0.0780512389707144,primary_scale
desi_vit_base_hsc,2048,34,spec_z,0.0399838423112575,0.0320284694327142,primary_scale
desi_vit_base_hsc,2048,34,mag_r,0.1083359976711184,0.1243374024387452,primary_scale
desi_vit_base_hsc,2048,35,spec_z,0.0393819523122875,0.0209745074730204,primary_scale
desi_vit_base_hsc,2048,35,mag_r,0.1097727731142925,0.1110405687449216,primary_scale
desi_vit_base_hsc,2048,87,,,,predeclared_pending
