sample_id,in_discovery,in_adaptive,discovery_order,adaptive_order
0,True,True,0,91
1,True,True,1,156
8,True,True,2,270
11,True,True,3,208
16,True,True,4,476
18,True,True,5,153
19,True,True,6,483
22,True,True,7,35
25,True,True,8,124
26,True,True,9,33
28,True,True,10,377
30,True,True,11,479
32,True,True,12,59
38,True,True,13,224
42,True,True,14,6
46,True,True,15,10
48,True,True,16,396
55,True,True,17,273
58,True,True,18,318
74,True,True,19,259
85,True,True,20,374
90,True,True,21,422
108,True,True,22,305
109,True,True,23,146
111,True,True,24,309
114,True,True,25,344
117,True,True,26,51
119,True,True,27,217
120,True,True,28,294
133,True,True,29,170
136,True,True,30,443
146,True,True,31,398
149,True,True,32,198
160,True,True,33,458
161,True,True,34,321
163,True,True,35,105
166,True,True,36,244
168,True,True,37,441
170,True,True,38,233
189,True,True,39,283
193,True,True,40,334
197,True,True,41,373
204,True,True,42,475
207,True,True,43,69
208,True,True,44,470
209,True,True,45,46
213,True,True,46,299
227,True,True,47,413
234,True,True,48,498
236,True,True,49,384
240,True,True,50,95
241,True,True,51,349
242,True,True,52,48
248,True,True,53,466
255,True,True,54,428
263,True,True,55,414
264,True,True,56,226
267,True,True,57,249
281,True,True,58,467
291,True,True,59,427
292,True,True,60,104
296,True,True,61,191
297,True,True,62,360
298,True,True,63,284
303,True,True,64,63
304,True,True,65,155
311,True,True,66,134
313,True,True,67,60
317,True,True,68,392
323,True,True,69,424
327,True,True,70,335
336,True,True,71,119
341,True,True,72,310
349,True,True,73,302
350,True,True,74,12
359,True,True,75,253
360,True,True,76,492
362,True,True,77,403
369,True,True,78,282
375,True,True,79,464
386,True,True,80,185
393,True,True,81,107
394,True,True,82,394
397,True,True,83,125
398,True,True,84,111
403,True,True,85,68
404,True,True,86,502
406,True,True,87,123
408,True,True,88,393
419,True,True,89,44
435,True,True,90,121
444,True,True,91,137
445,True,True,92,98
460,True,True,93,292
462,True,True,94,262
471,True,True,95,364
489,True,True,96,501
490,True,True,97,416
498,True,True,98,343
510,True,True,99,82
512,True,True,100,339
516,True,True,101,64
526,True,True,102,442
533,True,True,103,116
539,True,True,104,184
545,True,True,105,402
547,True,True,106,505
551,True,True,107,197
554,True,True,108,267
555,True,True,109,361
559,True,True,110,404
562,True,True,111,478
566,True,True,112,81
567,True,True,113,401
585,True,True,114,166
586,True,True,115,280
606,True,True,116,128
607,True,True,117,139
627,True,True,118,286
634,True,True,119,176
637,True,True,120,303
641,True,True,121,325
656,True,True,122,163
662,True,True,123,352
666,True,True,124,456
670,True,True,125,255
672,True,True,126,440
680,True,True,127,295
683,True,True,128,3
690,True,True,129,429
692,True,True,130,204
695,True,True,131,141
696,True,True,132,175
698,True,True,133,317
701,True,True,134,425
707,True,True,135,222
708,True,True,136,390
715,True,True,137,248
717,True,True,138,193
734,True,True,139,388
737,True,True,140,382
740,True,True,141,494
758,True,True,142,37
760,True,True,143,383
762,True,True,144,169
766,True,True,145,40
774,True,True,146,65
778,True,True,147,230
782,True,True,148,241
788,True,True,149,421
789,True,True,150,206
799,True,True,151,356
806,True,True,152,36
807,True,True,153,410
811,True,True,154,447
812,True,True,155,329
817,True,True,156,172
821,True,True,157,345
824,True,True,158,238
825,True,True,159,437
826,True,True,160,322
827,True,True,161,228
830,True,True,162,149
838,True,True,163,115
842,True,True,164,471
848,True,True,165,353
850,True,True,166,278
857,True,True,167,162
871,True,True,168,196
888,True,True,169,177
897,True,True,170,15
898,True,True,171,366
918,True,True,172,232
922,True,True,173,16
923,True,True,174,112
924,True,True,175,477
925,True,True,176,34
930,True,True,177,84
932,True,True,178,319
935,True,True,179,313
942,True,True,180,231
953,True,True,181,346
963,True,True,182,332
978,True,True,183,22
980,True,True,184,487
984,True,True,185,77
986,True,True,186,71
992,True,True,187,397
1004,True,True,188,154
1005,True,True,189,415
1007,True,True,190,136
1011,True,True,191,455
1014,True,True,192,506
1015,True,True,193,92
1021,True,True,194,229
1034,True,True,195,489
1037,True,True,196,21
1042,True,True,197,405
1043,True,True,198,261
1046,True,True,199,246
1048,True,True,200,480
1054,True,True,201,29
1055,True,True,202,203
1056,True,True,203,159
1060,True,True,204,350
1069,True,True,205,148
1083,True,True,206,289
1090,True,True,207,370
1094,True,True,208,8
1098,True,True,209,328
1106,True,True,210,9
1108,True,True,211,288
1109,True,True,212,435
1111,True,True,213,102
1112,True,True,214,444
1124,True,True,215,423
1128,True,True,216,122
1130,True,True,217,213
1131,True,True,218,179
1132,True,True,219,218
1133,True,True,220,0
1138,True,True,221,362
1141,True,True,222,47
1144,True,True,223,103
1152,True,True,224,62
1167,True,True,225,496
1172,True,True,226,367
1173,True,True,227,457
1174,True,True,228,438
1180,True,True,229,376
1181,True,True,230,300
1183,True,True,231,472
1185,True,True,232,245
1193,True,True,233,195
1200,True,True,234,87
1205,True,True,235,202
1206,True,True,236,240
1208,True,True,237,509
1215,True,True,238,389
1220,True,True,239,97
1225,True,True,240,108
1235,True,True,241,256
1237,True,True,242,387
1243,True,True,243,495
1246,True,True,244,499
1248,True,True,245,55
1256,True,True,246,221
1257,True,True,247,454
1260,True,True,248,250
1268,True,True,249,351
1269,True,True,250,430
1279,True,True,251,190
1300,True,True,252,327
1307,True,True,253,94
1308,True,True,254,167
1309,True,True,255,314
1311,True,True,256,114
1314,True,True,257,465
1316,True,True,258,468
1322,True,True,259,20
1323,True,True,260,461
1336,True,True,261,371
1339,True,True,262,18
1344,True,True,263,187
1345,True,True,264,96
1346,True,True,265,315
1347,True,True,266,330
1351,True,True,267,109
1356,True,True,268,200
1361,True,True,269,473
1368,True,True,270,54
1373,True,True,271,106
1379,True,True,272,78
1397,True,True,273,453
1403,True,True,274,147
1409,True,True,275,357
1419,True,True,276,493
1429,True,True,277,151
1430,True,True,278,56
1432,True,True,279,50
1434,True,True,280,436
1436,True,True,281,215
1446,True,True,282,93
1452,True,True,283,463
1461,True,True,284,296
1469,True,True,285,67
1474,True,True,286,417
1480,True,True,287,497
1481,True,True,288,308
1483,True,True,289,459
1493,True,True,290,192
1507,True,True,291,500
1508,True,True,292,182
1519,True,True,293,511
1521,True,True,294,26
1524,True,True,295,11
1534,True,True,296,138
1537,True,True,297,399
1541,True,True,298,247
1542,True,True,299,72
1550,True,True,300,507
1551,True,True,301,439
1553,True,True,302,293
1559,True,True,303,324
1560,True,True,304,304
1562,True,True,305,264
1573,True,True,306,331
1580,True,True,307,216
1592,True,True,308,79
1593,True,True,309,57
1606,True,True,310,449
1627,True,True,311,52
1633,True,True,312,236
1636,True,True,313,336
1642,True,True,314,257
1648,True,True,315,243
1651,True,True,316,58
1662,True,True,317,90
1668,True,True,318,269
1678,True,True,319,272
1684,True,True,320,235
1694,True,True,321,144
1702,True,True,322,73
1704,True,True,323,205
1711,True,True,324,158
1712,True,True,325,118
1715,True,True,326,113
1719,True,True,327,378
1724,True,True,328,380
1727,True,True,329,100
1732,True,True,330,17
1749,True,True,331,89
1760,True,True,332,61
1763,True,True,333,268
1764,True,True,334,450
1768,True,True,335,474
1771,True,True,336,460
1772,True,True,337,110
1776,True,True,338,342
1791,True,True,339,448
1794,True,True,340,358
1795,True,True,341,66
1799,True,True,342,30
1801,True,True,343,25
1807,True,True,344,274
1814,True,True,345,510
1818,True,True,346,481
1820,True,True,347,379
1822,True,True,348,178
1833,True,True,349,406
1848,True,True,350,291
1849,True,True,351,316
1853,True,True,352,311
1854,True,True,353,86
1864,True,True,354,133
1872,True,True,355,242
1875,True,True,356,14
1884,True,True,357,23
1885,True,True,358,210
1887,True,True,359,341
1888,True,True,360,201
1890,True,True,361,127
1891,True,True,362,365
1894,True,True,363,239
1900,True,True,364,386
1902,True,True,365,135
1908,True,True,366,142
1910,True,True,367,32
1921,True,True,368,83
1924,True,True,369,183
1927,True,True,370,173
1929,True,True,371,214
1933,True,True,372,120
1943,True,True,373,219
1954,True,True,374,49
1966,True,True,375,409
1970,True,True,376,433
1971,True,True,377,359
1972,True,True,378,420
1975,True,True,379,27
1990,True,True,380,338
1997,True,True,381,368
1998,True,True,382,43
2003,True,True,383,446
2009,True,True,384,337
2019,True,True,385,263
2024,True,True,386,276
2026,True,True,387,251
2027,True,True,388,168
2035,True,True,389,45
2045,True,True,390,75
2048,True,True,391,88
2049,True,True,392,434
2052,True,True,393,1
2055,True,True,394,486
2060,True,True,395,363
2063,True,True,396,391
2067,True,True,397,212
2070,True,True,398,271
2074,True,True,399,227
2084,True,True,400,74
2090,True,True,401,369
2099,True,True,402,41
2104,True,True,403,7
2105,True,True,404,186
2106,True,True,405,354
2109,True,True,406,462
2126,True,True,407,180
2127,True,True,408,99
2129,True,True,409,252
2132,True,True,410,199
2134,True,True,411,320
2138,True,True,412,254
2141,True,True,413,143
2147,True,True,414,130
2149,True,True,415,355
2150,True,True,416,220
2151,True,True,417,19
2154,True,True,418,385
2156,True,True,419,340
2163,True,True,420,234
2167,True,True,421,484
2178,True,True,422,277
2200,True,True,423,80
2205,True,True,424,508
2206,True,True,425,326
2209,True,True,426,189
2215,True,True,427,381
2220,True,True,428,297
2242,True,True,429,126
