sample_id,k,n_neighbours,first_neighbour,last_neighbour,neigh_sha16,source
0,2048,2048,12794,5726,7aef06a7e8570600,shared_vit_base_kmax2048
1,2048,2048,6115,4742,daf20c0eba0b69a2,shared_vit_base_kmax2048
8,2048,2048,15704,1067,7690cfe95bf8f508,shared_vit_base_kmax2048
11,2048,2048,9025,6407,dcccbb59e83de7d5,shared_vit_base_kmax2048
16,2048,2048,2280,15705,7d7dbd93b98ecb42,shared_vit_base_kmax2048
18,2048,2048,5623,15910,7ab66183077adae4,shared_vit_base_kmax2048
19,2048,2048,8048,9110,6e334e6fae8faff0,shared_vit_base_kmax2048
22,2048,2048,7806,8075,1aed8086ea0b7be2,shared_vit_base_kmax2048
25,2048,2048,8782,1275,9619ddd56b8e9dec,shared_vit_base_kmax2048
26,2048,2048,2857,4643,eddfc262b7046608,shared_vit_base_kmax2048
28,2048,2048,12398,9469,c8974e0bb3b9bed5,shared_vit_base_kmax2048
30,2048,2048,2035,5976,4f36ca32179f3896,shared_vit_base_kmax2048
32,2048,2048,13609,9635,7191df1cdfe2b9c6,shared_vit_base_kmax2048
38,2048,2048,733,9252,f19d72a92d7f5106,shared_vit_base_kmax2048
42,2048,2048,1194,14347,1c1e68eead8634e2,shared_vit_base_kmax2048
46,2048,2048,9198,14502,01caa3942180db95,shared_vit_base_kmax2048
48,2048,2048,8966,2446,d5bc55ee59260e8f,shared_vit_base_kmax2048
55,2048,2048,6889,8655,f9dafec8efeb125e,shared_vit_base_kmax2048
58,2048,2048,14559,9508,64e227dced73f10d,shared_vit_base_kmax2048
74,2048,2048,2151,2418,3829cfa81d15500a,shared_vit_base_kmax2048
85,2048,2048,8992,9447,2ca643abb57e754b,shared_vit_base_kmax2048
90,2048,2048,11799,1931,aab87948d1a51dc7,shared_vit_base_kmax2048
108,2048,2048,6442,12591,4a1794b3d6d253e1,shared_vit_base_kmax2048
109,2048,2048,513,15186,7c7b66238224dc56,shared_vit_base_kmax2048
111,2048,2048,6643,13112,19ad1ddb3d03df9b,shared_vit_base_kmax2048
114,2048,2048,225,14495,9dc964150e31de1a,shared_vit_base_kmax2048
117,2048,2048,11273,1834,394ba60bda908732,shared_vit_base_kmax2048
119,2048,2048,3809,12907,b48fac50c1d2a78a,shared_vit_base_kmax2048
120,2048,2048,4971,3552,ddd8e8be1fcb7bfb,shared_vit_base_kmax2048
133,2048,2048,2248,4296,9f7e80063a39f4e5,shared_vit_base_kmax2048
136,2048,2048,13810,10393,756d218f6ef5546c,shared_vit_base_kmax2048
146,2048,2048,13948,5947,fa0b6d01b07cb9a2,shared_vit_base_kmax2048
149,2048,2048,5402,11544,15916840ee58a10b,shared_vit_base_kmax2048
160,2048,2048,6078,14496,c618dcfba410e630,shared_vit_base_kmax2048
161,2048,2048,5993,8827,5c9847191360ed1d,shared_vit_base_kmax2048
163,2048,2048,519,15363,6820a5fe4f3e1d06,shared_vit_base_kmax2048
166,2048,2048,1835,8027,7cf89908d09b2b7a,shared_vit_base_kmax2048
168,2048,2048,5773,8656,685d9bbb94947713,shared_vit_base_kmax2048
170,2048,2048,5975,4240,d27a17f6a242d5e8,shared_vit_base_kmax2048
189,2048,2048,5330,1507,646a64b6865ac7cc,shared_vit_base_kmax2048
193,2048,2048,4930,14055,f7d482ba837d7acd,shared_vit_base_kmax2048
197,2048,2048,5484,9939,56a0e935df44e0be,shared_vit_base_kmax2048
204,2048,2048,7761,7503,53d6d1925c8841d5,shared_vit_base_kmax2048
207,2048,2048,16226,3925,a4ed39335827daa0,shared_vit_base_kmax2048
208,2048,2048,8713,8651,b50decc4a20b1376,shared_vit_base_kmax2048
209,2048,2048,11064,1448,1808326234c08c58,shared_vit_base_kmax2048
213,2048,2048,6340,13589,f80e16de593fac08,shared_vit_base_kmax2048
227,2048,2048,15522,10883,ca5d50be259c4a3e,shared_vit_base_kmax2048
234,2048,2048,373,1275,ad5ef2cb688801bc,shared_vit_base_kmax2048
236,2048,2048,1394,13624,0573b7c0d9cb6a28,shared_vit_base_kmax2048
240,2048,2048,9134,8852,ecc26cf8a920b9a1,shared_vit_base_kmax2048
241,2048,2048,15873,6602,2487ce8bafc3d831,shared_vit_base_kmax2048
242,2048,2048,12929,12127,de7f9c35a6a2565b,shared_vit_base_kmax2048
248,2048,2048,5790,4469,ce16ee28e72a4014,shared_vit_base_kmax2048
255,2048,2048,8372,14028,4a681d205ae74b2e,shared_vit_base_kmax2048
