scheme,outcome,n,original,median,mean,sd,iqr,q025,q975,min,max,frac_original_sign,frac_abs_ge_original,frac_within_0.05,interval_excludes_zero_expected,label,n_valid_anchors
conditional_support,r2_G,32,-0.2404841119636992,-0.2257226077465353,-0.22604543518470835,0.023506482639559376,0.030536216754786516,-0.2595271801793296,-0.18209206485105464,-0.2628107261590048,-0.1599925005149861,1.0,0.28125,0.90625,True,geometry_resampling_stability_interval,512
conditional_support,mse_G,32,0.22704789227635297,0.2163266596142182,0.212549441123857,0.02150755914859622,0.03100853321231159,0.1732246636675879,0.24550038722305192,0.1599487803412641,0.2476037053249562,1.0,0.28125,0.96875,True,geometry_resampling_stability_interval,512
conditional_support,r2_P,32,-0.15795580203362286,-0.1425984428107941,-0.13939966725282096,0.021222992236100587,0.024893945050983607,-0.17465714755996728,-0.10407882398633571,-0.18099606536317964,-0.10272211278767696,0.0,0.15625,0.84375,False,geometry_resampling_stability_interval,512
conditional_support,mse_P,32,0.17477573070804867,0.16143253932491042,0.16079968925148916,0.020040020475167203,0.03751747465839256,0.13006356054949017,0.19491517168706582,0.12826685363522963,0.19765845836051313,0.0,0.28125,1.0,False,geometry_resampling_stability_interval,512
conditional_support,delta_adapt,32,0.15334238492921803,0.15287701988990743,0.15247078102111727,0.023497673440410642,0.023057161310811286,0.10948820529849165,0.19302002509126695,0.09716714732035568,0.19725451614195305,1.0,0.5,0.96875,True,geometry_resampling_stability_interval,512
object_support,r2_G,32,-0.2404841119636992,-0.2189938584331834,-0.21792488509819782,0.047899364368904775,0.05659230034990445,-0.2831536291141667,-0.11393935707919917,-0.28764047676268295,-0.107108614143807,1.0,0.375,0.75,True,geometry_resampling_stability_interval,512
object_support,mse_G,32,0.22704789227635297,0.20767739661654133,0.20313832448290386,0.04821960937921168,0.044180464896545035,0.09441566870229225,0.2675307860654776,0.08855132265595494,0.2876194660452501,1.0,0.3125,0.71875,True,geometry_resampling_stability_interval,512
object_support,r2_P,32,-0.15795580203362286,-0.15744738737540198,-0.14226022055173607,0.04528925798491103,0.045179189233071265,-0.2019423111860702,-0.040028673370784286,-0.21269372775546172,-0.03413571028026687,0.0,0.46875,0.75,False,geometry_resampling_stability_interval,512
object_support,mse_P,32,0.17477573070804867,0.17623454505270025,0.16482661676576574,0.04747824088697752,0.042543461786601205,0.06097537517094676,0.22701660642402233,0.0516871695505888,0.24547196687494993,0.0,0.5,0.78125,False,geometry_resampling_stability_interval,512
object_support,delta_adapt,32,0.15334238492921803,0.13037498855586455,0.1388156056299067,0.05018496521279178,0.06592029892797059,0.04051911045450384,0.2112929566353097,0.026271979892654007,0.22404327027614696,1.0,0.4375,0.625,True,geometry_resampling_stability_interval,512
