pair,family,method,k,real,null_mean,null_sd,null_p025,null_p50,null_p975,p_emp,B,real_minus_null,null_p95_approx
official_legacy_cross_astropt_15m,astropt,dense_ridge,10,0.0320415013732072,0.0041104668904485,0.0004937514451066,0.0032300884955752,0.0041348794629234,0.0048405553860238,0.0476190476190476,20,0.0279310344827587,0.004922688017648857
official_legacy_cross_astropt_15m,astropt,sae_ridge,10,0.0240768996032956,0.0073100396704302,0.000414583052786,0.0067104058590173,0.0072627403112602,0.0081148916692096,0.0476190476190476,20,0.016766859932865398,0.00799202879226317
official_legacy_cross_astropt_15m,astropt,bsf_ridge,10,0.0369240158681721,0.0034681110772047,0.0005592111424665,0.0025923100396704,0.0033567287152883,0.004537686908758,0.0476190476190476,20,0.033455904790967404,0.004388013406562093
official_legacy_cross_astropt_95m,astropt,dense_ridge,10,0.0482148306377784,0.0040448581019224,0.000441268887596,0.0034276777540433,0.0039823008849557,0.0048848031736344,0.0476190476190476,20,0.044169972535856,0.00477074542201782
official_legacy_cross_astropt_95m,astropt,sae_ridge,10,0.0296917912725053,0.0096734818431492,0.0004268757173656,0.0090135794934391,0.0096277082697589,0.0104729935916997,0.0476190476190476,20,0.020018309429356104,0.01037569239821561
official_legacy_cross_astropt_95m,astropt,bsf_ridge,10,0.0288068355202929,0.0035154104363747,0.0003257585080967,0.0028814464449191,0.0034940494354592,0.0039830637778455,0.0476190476190476,20,0.025291425083918198,0.0040512831821937715
official_legacy_cross_astropt_850m,astropt,dense_ridge,10,0.0501983521513579,0.0038037839487335,0.0003129711222148,0.0033361306072627,0.0037381751602075,0.0043202624351541,0.0476190476190476,20,0.0463945682026244,0.004318621444776846
official_legacy_cross_astropt_850m,astropt,sae_ridge,10,0.0353371986573085,0.0096490692706743,0.0005369743789733,0.008740463838877,0.0095971925541653,0.010466890448581,0.0476190476190476,20,0.0256881293866342,0.010532392124085379
official_legacy_cross_astropt_850m,astropt,bsf_ridge,10,0.0347268843454379,0.0049740616417454,0.0003271696995393,0.0043622215440952,0.0050198352151357,0.0054638388770216,0.0476190476190476,20,0.0297528227036925,0.005512255797487549
official_legacy_cross_convnext_nano,convnext,dense_ridge,10,0.0411046689044858,0.0052807445834604,0.0005111508210725,0.0043484894720781,0.0053707659444613,0.0060466890448581,0.0476190476190476,20,0.0358239243210254,0.006121587684124663
official_legacy_cross_convnext_nano,convnext,sae_ridge,10,0.0306377784559047,0.0114739090631675,0.0003470864803307,0.0108414708574916,0.0115501983521513,0.011962160512664,0.0476190476190476,20,0.0191638693927372,0.012044866323311502
official_legacy_cross_convnext_nano,convnext,bsf_ridge,10,0.0291425083918217,0.0040631675312786,0.0004159756809369,0.0032796765334147,0.004028074458346,0.0047314617027769,0.0476190476190476,20,0.0250793408605431,0.0047474475264198
official_legacy_cross_convnext_tiny,convnext,dense_ridge,10,0.0421116875190723,0.0049023497101007,0.0004173871476247,0.0041730241074153,0.0049282880683552,0.0056179432407689,0.0476190476190476,20,0.0372093378089716,0.005588951567943331
official_legacy_cross_convnext_tiny,convnext,sae_ridge,10,0.0305462313091242,0.011405248703082,0.0005819396190524,0.0105263960939884,0.0113823619163869,0.0124664327128471,0.0476190476190476,20,0.019140982606042196,0.012362539376423199
official_legacy_cross_convnext_tiny,convnext,bsf_ridge,10,0.0301800427220018,0.0042264266097039,0.0004175309664434,0.0034772657918828,0.0043332316142813,0.0048100396704302,0.0476190476190476,20,0.0259536161122979,0.004913265049503294
official_legacy_cross_convnext_base,convnext,dense_ridge,10,0.0454379005187671,0.0050442477876106,0.0003788324095279,0.0043622215440952,0.0051418980775099,0.0056354897772352,0.0476190476190476,20,0.0403936527311565,0.005667427101283995
official_legacy_cross_convnext_base,convnext,sae_ridge,10,0.0342081171803478,0.0118462007934086,0.0004838753182386,0.0109879462923405,0.0118095819346963,0.012712084223375,0.0476190476190476,20,0.022361916386939202,0.012642175691911098
official_legacy_cross_convnext_base,convnext,bsf_ridge,10,0.0347268843454379,0.0050686603600854,0.0003397942041531,0.0044362221544095,0.0052029295086969,0.0055614891669209,0.0476190476190476,20,0.0296582239853525,0.00562762182591725
official_legacy_cross_convnext_large,convnext,dense_ridge,10,0.0472383277387854,0.0049603295697284,0.000454509506901,0.0042294781812633,0.0048825144949649,0.0058010375343301,0.0476190476190476,20,0.042277998169056995,0.005707997708580545
official_legacy_cross_convnext_large,convnext,sae_ridge,10,0.032895941409826,0.0114845895636252,0.0004482990453664,0.0106019224900823,0.0114281354897772,0.0121452548062252,0.0476190476190476,20,0.0214113518462008,0.012222041493252928
official_legacy_cross_convnext_large,convnext,bsf_ridge,10,0.0356423558132438,0.0052136100091547,0.0004164467013773,0.0045712541959108,0.0051571559353066,0.0059391211473909,0.0476190476190476,20,0.0304287458040891,0.005898664832920358
official_legacy_cross_dino_small,dinov2,dense_ridge,10,0.0345437900518767,0.0056423558132438,0.0004708672186067,0.0048138541348794,0.0056148916692096,0.0065158681721086,0.0476190476190476,20,0.028901434238632902,0.006416932387851822
official_legacy_cross_dino_small,dinov2,sae_ridge,10,0.0262740311260299,0.010830027464144,0.0003591477908842,0.0102952395483674,0.0108178211779066,0.0115051876716509,0.0476190476190476,20,0.015444003661885902,0.01142082558014851
official_legacy_cross_dino_small,dinov2,bsf_ridge,10,0.0264266097039975,0.0037076594446139,0.0002957780002548,0.0031866036008544,0.0037534330180042,0.0041821788220933,0.0476190476190476,20,0.0227189502593836,0.004194214255033046
official_legacy_cross_dino_base,dinov2,dense_ridge,10,0.0328654256942325,0.0052746414403417,0.0005450078747811,0.0044240158681721,0.005263960939884,0.0062557216966737,0.0476190476190476,20,0.0275907842538908,0.00617117939435661
official_legacy_cross_dino_base,dinov2,sae_ridge,10,0.0295697284101312,0.0111519682636557,0.0003474357915527,0.0104516325907842,0.0111992676228257,0.0115959719255416,0.0476190476190476,20,0.0184177601464755,0.011723500140759891
official_legacy_cross_dino_base,dinov2,bsf_ridge,10,0.0302410741531888,0.0043011901129081,0.0002534777375333,0.0037648764113518,0.0043484894720781,0.0045933780897162,0.0476190476190476,20,0.025939884040280702,0.004718160991150379
official_legacy_cross_dino_large,dinov2,dense_ridge,10,0.0375648458956362,0.0050778150747635,0.0004595416996427,0.0043011901129081,0.005004577357339,0.0060016783643576,0.0476190476190476,20,0.032487030820872696,0.005833761170675742
official_legacy_cross_dino_large,dinov2,sae_ridge,10,0.0321940799511748,0.0120567592310039,0.0005825309645826,0.0110810192249008,0.0119926762282575,0.0131499847421422,0.0476190476190476,20,0.0201373207201709,0.013015022667742277
official_legacy_cross_dino_large,dinov2,bsf_ridge,10,0.0341776014647543,0.0050198352151357,0.0003142565101987,0.0045148001220628,0.0050350930729325,0.0056194690265486,0.0476190476190476,20,0.029157766249618598,0.005536787174412562
official_legacy_cross_dino_giant,dinov2,dense_ridge,10,0.0389990845285321,0.0048962465669819,0.0004429317791709,0.0041280134269148,0.0048672566371681,0.0056049740616417,0.0476190476190476,20,0.034102837961550204,0.00562486934371803
official_legacy_cross_dino_giant,dinov2,sae_ridge,10,0.0327433628318584,0.0117393957888312,0.0004291772594873,0.0109986267927982,0.011763808361306,0.0124214220323466,0.0476190476190476,20,0.021003967043027198,0.012445392380687809
official_legacy_cross_dino_giant,dinov2,bsf_ridge,10,0.0390296002441257,0.0055523344522429,0.0003544188605534,0.0050495880378394,0.0054928288068355,0.0062343606957583,0.0476190476190476,20,0.0334772657918828,0.006135353477853243
official_legacy_cross_vit_base,vit,dense_ridge,10,0.0268843454379005,0.0045910894110466,0.0002797643792416,0.004084528532194,0.0046078730546231,0.0049755874275251,0.0476190476190476,20,0.022293256026853902,0.005051301814899032
official_legacy_cross_vit_base,vit,sae_ridge,10,0.0224595666768385,0.0087351235886481,0.0005921253270342,0.007660207506866,0.008712236801953,0.0096826365578272,0.0476190476190476,20,0.013724443088190399,0.009709169751619359
official_legacy_cross_vit_base,vit,bsf_ridge,10,0.0242294781812633,0.0039273725968873,0.0003218991221962,0.0033376563930424,0.0039060115959719,0.0044552944766554,0.0476190476190476,20,0.020302105584376,0.004456896652900049
official_legacy_cross_vit_large,vit,dense_ridge,10,0.0453463533719865,0.0054913030210558,0.0003114326698428,0.0049115044247787,0.0055386023802258,0.005905553860238,0.0476190476190476,20,0.039855050350930704,0.0060036097629472054
official_legacy_cross_vit_large,vit,sae_ridge,10,0.0335978028684772,0.0118843454379005,0.0002998878534004,0.0111832468721391,0.0119774183704607,0.0122223069880988,0.0476190476190476,20,0.021713457430576705,0.012377660956744158
official_legacy_cross_vit_large,vit,bsf_ridge,10,0.0335062557216966,0.0047131522734208,0.0003199711194092,0.0041631064998474,0.0046841623436069,0.0052227647238327,0.0476190476190476,20,0.0287931034482758,0.005239504764848934
official_legacy_cross_vit_huge,vit,dense_ridge,10,0.0458651205370765,0.004395788831248,0.0004506108079588,0.003697741837046,0.0043790051876716,0.0051007018614586,0.0476190476190476,20,0.0414693317058285,0.005137043610340226
official_legacy_cross_vit_huge,vit,sae_ridge,10,0.035886481537992,0.0105721696673787,0.00045784011787,0.0098375038144644,0.0106042111687519,0.0113945682026243,0.0476190476190476,20,0.025314311870613303,0.01132531666127485
official_legacy_cross_vit_huge,vit,bsf_ridge,10,0.0366188587122368,0.0047894415624046,0.0003976883568296,0.0041951480012206,0.0047146780592004,0.005386786695148,0.0476190476190476,20,0.0318294171498322,0.005443638909389292
official_legacy_cross_ijepa_huge,ijepa,dense_ridge,10,0.0399755874275251,0.0039456820262435,0.0004032719707825,0.0033376563930424,0.0038907537381751,0.0046620384498016,0.0476190476190476,20,0.0360299054012816,0.004609064418180713
official_legacy_cross_ijepa_huge,ijepa,sae_ridge,10,0.0460176991150442,0.0142660970399755,0.0008723495364794,0.0126342691486115,0.0143423863289594,0.0155675923100396,0.0476190476190476,20,0.0317516020750687,0.015701112027484112
official_legacy_cross_ijepa_huge,ijepa,bsf_ridge,10,0.0543484894720781,0.0067271895025938,0.00065310047911,0.0056698199572779,0.0066829417149832,0.0080881904180653,0.0476190476190476,20,0.0476212999694843,0.00780153979072975
official_legacy_cross_ijepa_giant,ijepa,dense_ridge,10,0.0561489166920964,0.0043744278303326,0.0003521715100481,0.0037664021971315,0.0043027158986878,0.0048375038144644,0.0476190476190476,20,0.0517744888617638,0.0049537499643617245
official_legacy_cross_ijepa_giant,ijepa,sae_ridge,10,0.0530668294171498,0.015061031431187,0.0006447928481246,0.0140921574610924,0.015013732072017,0.0160558437595361,0.0476190476190476,20,0.0380057979859628,0.01612171566635197
official_legacy_cross_ijepa_giant,ijepa,bsf_ridge,10,0.0571559353066829,0.0052517546536466,0.0004253690045323,0.0046368629844369,0.0052181873664937,0.005891058895331,0.0476190476190476,20,0.0519041806530363,0.005951486666102234
