family,method,null_mean,real,real_minus_null
astropt,bsf_ridge,0.003985861051774933,0.033485911911300965,0.029500050859526034
astropt,dense_ridge,0.0039863696470348,0.043484894720781174,0.03949852507374637
astropt,sae_ridge,0.008877530261417901,0.02970196317770313,0.020824432916285236
convnext,bsf_ridge,0.00464296612755565,0.032422947818126296,0.02777998169057065
convnext,dense_ridge,0.0050469179127250255,0.04397314617027765,0.038926228257552625
convnext,sae_ridge,0.011552487030820825,0.032072017088800676,0.02051953005797985
dinov2,bsf_ridge,0.004645254806225151,0.032468721391516575,0.027823466585291425
dinov2,dense_ridge,0.005222764723832725,0.03599328654256938,0.03077052181873665
dinov2,sae_ridge,0.0114445376869087,0.030195300579798575,0.018750762892889874
ijepa,bsf_ridge,0.0059894720781202004,0.055752212389380496,0.049762740311260295
ijepa,dense_ridge,0.00416005492828805,0.04806225205981075,0.0439021971315227
ijepa,sae_ridge,0.01466356423558125,0.049542264266096994,0.03487870003051575
vit,bsf_ridge,0.0044766554775709,0.03145153087173223,0.026974875394161334
vit,dense_ridge,0.0048260604211168,0.0393652731156545,0.0345392126945377
vit,sae_ridge,0.010397212897975766,0.03064795036110257,0.020250737463126802
