model,family,K,patch,n_train,n_test,c_norm
official_legacy_cross_astropt_15m,astropt,4,0,2560,638,0.1047546451398354
official_legacy_cross_astropt_15m,astropt,4,1,5888,1512,0.04116854556984624
official_legacy_cross_astropt_15m,astropt,4,2,2755,680,0.07949960311374016
official_legacy_cross_astropt_15m,astropt,4,3,1904,447,0.08704544397835165
official_legacy_cross_astropt_15m,astropt,8,0,1403,375,0.07230754343987342
official_legacy_cross_astropt_15m,astropt,8,1,1910,482,0.11495905760249286
official_legacy_cross_astropt_15m,astropt,8,2,2761,684,0.09439370978844706
official_legacy_cross_astropt_15m,astropt,8,3,1503,394,0.15526183917867908
official_legacy_cross_astropt_15m,astropt,8,4,1216,306,0.20174579072229332
official_legacy_cross_astropt_15m,astropt,8,5,3246,823,0.07487020279251189
official_legacy_cross_astropt_15m,astropt,8,6,551,104,0.12475508582036744
official_legacy_cross_astropt_15m,astropt,8,7,517,109,0.2560046897848959
official_legacy_cross_astropt_15m,astropt,16,0,1576,425,0.12018884995252117
official_legacy_cross_astropt_15m,astropt,16,1,1348,363,0.07600511692229386
official_legacy_cross_astropt_15m,astropt,16,2,206,35,0.557052677439086
official_legacy_cross_astropt_15m,astropt,16,3,559,142,0.24994264116404571
official_legacy_cross_astropt_15m,astropt,16,4,494,103,0.2371006981569919
official_legacy_cross_astropt_15m,astropt,16,5,582,145,0.3270476885153908
official_legacy_cross_astropt_15m,astropt,16,6,1735,441,0.08208709370820927
official_legacy_cross_astropt_15m,astropt,16,7,787,174,0.10963564414834868
official_legacy_cross_astropt_15m,astropt,16,8,386,82,0.14754878316168957
official_legacy_cross_astropt_15m,astropt,16,9,1347,352,0.10095711323228998
official_legacy_cross_astropt_15m,astropt,16,10,680,172,0.3545053420459737
official_legacy_cross_astropt_15m,astropt,16,11,616,149,0.20516022094080338
official_legacy_cross_astropt_15m,astropt,16,12,877,199,0.11181516979285187
official_legacy_cross_astropt_15m,astropt,16,13,122,32,0.3874793049154323
official_legacy_cross_astropt_15m,astropt,16,14,1312,346,0.10905954340434751
official_legacy_cross_astropt_15m,astropt,16,15,480,117,0.11549238717172335
official_legacy_cross_astropt_15m,astropt,32,0,391,99,0.3030867962343442
official_legacy_cross_astropt_15m,astropt,32,1,488,114,0.17383267576413405
official_legacy_cross_astropt_15m,astropt,32,2,431,76,0.1406788677124406
official_legacy_cross_astropt_15m,astropt,32,3,490,148,0.3431571581898936
official_legacy_cross_astropt_15m,astropt,32,4,911,245,0.09354960841826439
official_legacy_cross_astropt_15m,astropt,32,5,178,33,0.2514434680220671
official_legacy_cross_astropt_15m,astropt,32,6,443,96,0.21133626741281036
official_legacy_cross_astropt_15m,astropt,32,7,425,97,0.32323417572907703
official_legacy_cross_astropt_15m,astropt,32,8,590,139,0.18494777688282765
official_legacy_cross_astropt_15m,astropt,32,9,409,112,0.20536925162019398
official_legacy_cross_astropt_15m,astropt,32,10,704,189,0.1761981263609328
official_legacy_cross_astropt_15m,astropt,32,11,497,104,0.14882731525916482
official_legacy_cross_astropt_15m,astropt,32,12,644,159,0.20418109824643838
official_legacy_cross_astropt_15m,astropt,32,13,339,89,0.18052573533202557
official_legacy_cross_astropt_15m,astropt,32,14,370,93,0.16533820139128927
official_legacy_cross_astropt_15m,astropt,32,15,46,18,0.41025940110087766
official_legacy_cross_astropt_15m,astropt,32,16,574,162,0.14258774564975507
official_legacy_cross_astropt_15m,astropt,32,17,173,40,0.5578341494464919
official_legacy_cross_astropt_15m,astropt,32,18,588,152,0.1740787905848125
official_legacy_cross_astropt_15m,astropt,32,19,374,88,0.33443591411825696
official_legacy_cross_astropt_15m,astropt,32,20,270,77,0.5105575660304172
official_legacy_cross_astropt_15m,astropt,32,21,60,6,1.665375812764134
official_legacy_cross_astropt_15m,astropt,32,22,368,86,0.19605599979285732
official_legacy_cross_astropt_15m,astropt,32,23,440,127,0.1084087046209633
official_legacy_cross_astropt_15m,astropt,32,24,252,41,0.26357754965479635
official_legacy_cross_astropt_15m,astropt,32,25,946,255,0.20045535974553277
official_legacy_cross_astropt_15m,astropt,32,26,297,75,0.23838161983689457
official_legacy_cross_astropt_15m,astropt,32,27,413,96,0.299656280711674
official_legacy_cross_astropt_15m,astropt,32,28,236,77,0.5936297626928029
official_legacy_cross_astropt_15m,astropt,32,29,269,70,0.3781309600815272
official_legacy_cross_astropt_15m,astropt,32,30,161,35,0.3952215843232762
official_legacy_cross_astropt_15m,astropt,32,31,330,79,0.14154258370918837
official_legacy_cross_astropt_95m,astropt,4,0,3161,766,0.27306532787607646
official_legacy_cross_astropt_95m,astropt,4,1,5094,1357,0.14634172474705073
official_legacy_cross_astropt_95m,astropt,4,2,549,119,0.3637063959490924
official_legacy_cross_astropt_95m,astropt,4,3,4303,1035,0.13277874331782613
official_legacy_cross_astropt_95m,astropt,8,0,1482,374,0.34175047032207606
official_legacy_cross_astropt_95m,astropt,8,1,2703,700,0.3411842851314012
official_legacy_cross_astropt_95m,astropt,8,2,1316,314,0.2845248260909453
official_legacy_cross_astropt_95m,astropt,8,3,510,109,0.31558514668137766
official_legacy_cross_astropt_95m,astropt,8,4,934,239,0.22760055566094978
official_legacy_cross_astropt_95m,astropt,8,5,1134,255,0.4733883480559101
official_legacy_cross_astropt_95m,astropt,8,6,3615,944,0.26609021504561453
official_legacy_cross_astropt_95m,astropt,8,7,1413,342,0.5738496523611613
official_legacy_cross_astropt_95m,astropt,16,0,761,228,0.4041962839704884
official_legacy_cross_astropt_95m,astropt,16,1,1675,416,0.34258370093839996
official_legacy_cross_astropt_95m,astropt,16,2,1186,266,0.6150584180073354
official_legacy_cross_astropt_95m,astropt,16,3,482,104,0.2753414139350703
official_legacy_cross_astropt_95m,astropt,16,4,332,98,1.022026095570606
official_legacy_cross_astropt_95m,astropt,16,5,658,143,0.38169880411221246
official_legacy_cross_astropt_95m,astropt,16,6,2123,567,0.2423015077819345
official_legacy_cross_astropt_95m,astropt,16,7,815,185,0.6083809365272665
official_legacy_cross_astropt_95m,astropt,16,8,474,106,0.30724004370490515
official_legacy_cross_astropt_95m,astropt,16,9,228,36,0.8069164262485727
official_legacy_cross_astropt_95m,astropt,16,10,693,175,0.5176507310932343
official_legacy_cross_astropt_95m,astropt,16,11,658,174,0.593482714004006
official_legacy_cross_astropt_95m,astropt,16,12,335,95,1.2900868581863925
official_legacy_cross_astropt_95m,astropt,16,13,1012,252,0.35652082278192837
official_legacy_cross_astropt_95m,astropt,16,14,616,155,0.5776122280440802
official_legacy_cross_astropt_95m,astropt,16,15,1059,277,0.5528016775232157
official_legacy_cross_astropt_95m,astropt,32,0,247,77,0.6865236312615987
official_legacy_cross_astropt_95m,astropt,32,1,78,10,1.2544735569467447
official_legacy_cross_astropt_95m,astropt,32,2,736,187,0.4006644597599744
official_legacy_cross_astropt_95m,astropt,32,3,228,54,0.8296511664375538
official_legacy_cross_astropt_95m,astropt,32,4,610,170,0.39826357651510474
official_legacy_cross_astropt_95m,astropt,32,5,113,25,0.8428042616012166
official_legacy_cross_astropt_95m,astropt,32,6,730,158,0.6417480667562754
official_legacy_cross_astropt_95m,astropt,32,7,477,130,0.5154540706078471
official_legacy_cross_astropt_95m,astropt,32,8,552,151,0.5310956538812465
official_legacy_cross_astropt_95m,astropt,32,9,85,10,3.014597556334264
