model,family,K,perm_id,G,mean_cos
official_legacy_cross_astropt_15m,astropt,4,0,-1.3016164302825928e-05,-0.0074228470072273366
official_legacy_cross_astropt_15m,astropt,4,1,4.842877388000488e-07,0.008124020610874931
official_legacy_cross_astropt_15m,astropt,4,2,-6.835907697677612e-06,-5.3430319602495275e-05
official_legacy_cross_astropt_15m,astropt,4,3,-5.543231964111328e-06,-0.005621349714166123
official_legacy_cross_astropt_15m,astropt,4,4,2.8293579816818237e-06,0.007536337235480159
official_legacy_cross_astropt_15m,astropt,4,5,2.903863787651062e-06,0.007886739562551355
official_legacy_cross_astropt_15m,astropt,4,6,-5.416572093963623e-06,0.0030445758465201156
official_legacy_cross_astropt_15m,astropt,4,7,-3.4552067518234253e-06,0.0035957847252600155
official_legacy_cross_astropt_15m,astropt,4,8,-6.405636668205261e-06,-0.008288603078798284
official_legacy_cross_astropt_15m,astropt,4,9,7.6051801443099976e-06,0.01117572034439973
official_legacy_cross_astropt_15m,astropt,4,10,3.164634108543396e-06,0.0035695368425056936
official_legacy_cross_astropt_15m,astropt,4,11,-2.378597855567932e-05,-0.011345642994481167
official_legacy_cross_astropt_15m,astropt,4,12,4.259869456291199e-06,0.006052615778844605
official_legacy_cross_astropt_15m,astropt,4,13,-1.8719583749771118e-06,-0.001068908914845385
official_legacy_cross_astropt_15m,astropt,4,14,-4.1909515857696533e-07,0.006415841107504646
official_legacy_cross_astropt_15m,astropt,4,15,-9.629875421524048e-07,0.005110004235835355
official_legacy_cross_astropt_15m,astropt,4,16,5.15766441822052e-06,0.013563828624225196
official_legacy_cross_astropt_15m,astropt,4,17,-9.221956133842468e-06,-0.0010453740259304004
official_legacy_cross_astropt_15m,astropt,4,18,1.7210841178894043e-06,0.007865478975657661
official_legacy_cross_astropt_15m,astropt,4,19,-2.6300549507141113e-06,-0.005797050847032798
official_legacy_cross_astropt_15m,astropt,4,20,5.291774868965149e-06,0.00624499239385236
official_legacy_cross_astropt_15m,astropt,4,21,5.3998082876205444e-06,0.016132845607258944
official_legacy_cross_astropt_15m,astropt,4,22,-1.0382384061813354e-05,-0.008832826695735076
official_legacy_cross_astropt_15m,astropt,4,23,6.927177309989929e-06,0.01152522863520719
official_legacy_cross_astropt_15m,astropt,4,24,6.470829248428345e-06,0.010811804103857387
official_legacy_cross_astropt_15m,astropt,4,25,-1.905485987663269e-06,-0.0007826971091289971
official_legacy_cross_astropt_15m,astropt,4,26,7.02589750289917e-06,0.015978556886435485
official_legacy_cross_astropt_15m,astropt,4,27,-7.368624210357666e-06,-0.010044356189543255
official_legacy_cross_astropt_15m,astropt,4,28,-1.4454126358032227e-06,0.006055590941026461
official_legacy_cross_astropt_15m,astropt,4,29,1.909211277961731e-06,0.007495684612643171
official_legacy_cross_astropt_15m,astropt,4,30,2.730637788772583e-06,0.00839806842208436
official_legacy_cross_astropt_15m,astropt,4,31,-7.359310984611511e-06,-0.008532221617763824
official_legacy_cross_astropt_15m,astropt,4,32,2.6617199182510376e-06,0.005368275964660241
