family,model,size_name,parameter_count,log10_params,K,n_small_patches,mse_global,mse_patch,mse_local,G,rel_mse_reduction,rel_mse_reduction_local,delta_local_vs_patch,mean_cos,median_cos,p_perm_G,p_perm_cos,null_G_mean,null_G_sd
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,4,0,0.015794796869158745,0.015762897208333015,0.0156292375177145,3.189966082572937e-05,0.002019630963916815,0.010481891778394382,0.00013365969061851501,0.03290855878688294,0.014957896612807853,0.004975124378109453,0.004975124378109453,-2.1726544946432113e-06,6.892615531027576e-06
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,8,0,0.015794796869158745,0.01574808359146118,0.015625109896063805,4.671327769756317e-05,0.002957510507069357,0.010743219713466184,0.00012297369539737701,0.034829041252273686,0.014529710766922117,0.004975124378109453,0.004975124378109453,-6.534671410918236e-06,7.739309167548938e-06
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,16,0,0.015794796869158745,0.015662213787436485,0.01572389341890812,0.00013258308172225952,0.008394098564264797,0.004489038437023093,-6.167963147163391e-05,0.062284137366734146,0.048878908259733324,0.004975124378109453,0.004975124378109453,-1.7093755304813384e-05,1.4644822131914915e-05
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,32,0,0.015794796869158745,0.015591226518154144,0.016225242987275124,0.00020357035100460052,0.012888443750871928,-0.027252399741643844,-0.0006340164691209793,0.07775203805279332,0.06297330899913824,0.004975124378109453,0.004975124378109453,-3.3664582297205925e-05,1.7760209000316056e-05
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,4,0,0.09970065206289291,0.099637970328331,0.09917595982551575,6.268173456192017e-05,0.00062869934413648,0.005262676086071952,0.0004620105028152466,0.01838846743085951,0.014718136995443921,0.004975124378109453,0.004975124378109453,-2.032104879617691e-05,1.9185106697346173e-05
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,8,0,0.09970065206289291,0.09956064820289612,0.09932708740234375,0.00014000385999679565,0.0014042421699356467,0.0037468627618755463,0.00023356080055236816,0.030557021616559602,0.02656167993122142,0.004975124378109453,0.004975124378109453,-4.4583231210708616e-05,3.0946811847571616e-05
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,16,0,0.09970065206289291,0.09928540885448456,0.10026063024997711,0.0004152432084083557,0.0041648996251941565,-0.005616595032206549,-0.0009752213954925537,0.054997862932964076,0.05530309244135291,0.004975124378109453,0.004975124378109453,-9.49094071984291e-05,7.426951412349806e-05
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,32,0,0.09970065206289291,0.09892646223306656,0.1040700376033783,0.000774189829826355,0.007765143093928639,-0.043825044772316,-0.005143575370311737,0.06746973911637981,0.05568834506475486,0.004975124378109453,0.004975124378109453,-0.00020007524639368058,8.0156258248425e-05
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,4,0,0.2233935445547104,0.22334814071655273,0.2224666327238083,4.540383815765381e-05,0.00020324597225115492,0.004149232838172249,0.0008815079927444458,0.015074588603671642,0.014936373607680516,0.004975124378109453,0.004975124378109453,-3.3498480916023255e-05,2.521950072813981e-05
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,8,0,0.2233935445547104,0.22333458065986633,0.22325606644153595,5.8963894844055176e-05,0.0002639462790278372,0.0006154077256282099,7.85142183303833e-05,0.011977752603618691,0.005402243532833476,0.004975124378109453,0.004975124378109453,-8.001260459423066e-05,3.4553610503361284e-05
