K,family,slope_rel_red_vs_log10P,mean_rel_red
4,astropt,-0.0010177695138070774,0.00095052542676815
4,convnext,2.9720125172186564e-05,-0.00010006108797879721
4,dinov2,-3.997201605868355e-05,-5.363996103787333e-06
4,vit,-5.977590904587186e-05,-5.659452285590968e-05
4,ijepa,-0.000628860329463101,0.00013074516316291274
8,astropt,-0.0015258130277497127,0.0015418996520109472
8,convnext,-5.613423264949128e-05,-0.0001444964429196414
8,dinov2,-0.0003326663723648294,-0.00013198097771964236
8,vit,0.0002873876048172986,-4.9963522254160907e-05
8,ijepa,0.000879034432830881,0.0005473234293491337
16,astropt,-0.00396794570060625,0.00464594300138771
16,convnext,-9.781009262357145e-05,-0.0003984279441060168
16,dinov2,-4.228881434183126e-05,-0.0005624493284032061
16,vit,0.0006918131223511148,-0.0002969751328620536
16,ijepa,-0.003493631309645511,0.0018620198182987468
32,astropt,-0.0056002810060969445,0.007895911678798339
32,convnext,0.0007419815841206703,-0.0011539807791579803
32,dinov2,-7.786856275354191e-05,-0.0012119978033829702
32,vit,0.0009092257978207935,-0.000957188548823023
32,ijepa,-0.009093135136878963,0.0004505371066365417
