model,representation,physical_variable,n_centres,field_stable_rank,field_entropy_rank,field_rank_95,field_rank_99,participation_ratio,ambient_dim,activation_eff_rank,min_eig,adjacent_similarity,mean_rotation_speed,median_transfer_length,survey,probe_alpha,mean_global_local_pearson,mean_local_pearson,mean_local_minus_global,frac_local_better,bootstrap_stability
vit_base,dense,photo_z,17,2.2284249633020865,12.862655411546784,14,17,10.081611214883356,768,5.442686624521665,0.19380076545006286,0.01784828023301611,8.450140031876597,,physics,1e-06,0.06602714341123112,0.04137763824118529,-0.024649505170045827,0.29411764705882354,
vit_base,dense,mag_r_desi,17,2.332032717392914,12.554061702262644,14,16,9.922663581745608,768,5.442686624521665,0.15184778060711707,0.04157177121766123,13.815469563797404,,physics,1000.0,0.07140524467336108,0.034804555944013715,-0.036600688729347367,0.17647058823529413,
vit_base,dense,smooth_fraction,17,2.4363414240129972,13.394539980062945,15,17,10.881561477514069,768,5.442686624521665,0.2138201369842788,0.12524552978623837,18.13600580624574,,physics,1e-06,0.02854073481574882,0.018914191181974755,-0.009626543633774062,0.47058823529411764,
vit_base,sae,photo_z,17,4.2919129205899615,15.324669945670056,16,17,13.950874021476348,2048,17.9235428606417,0.41731698564655617,-0.10190151041645179,9.021022039202938,,physics,1e-06,0.05627221412942106,0.019490430905959227,-0.03678178322346183,0.29411764705882354,0.9157449729309445
vit_base,sae,mag_r_desi,17,4.255098420020316,15.004236122337257,15,17,13.399216881687487,2048,17.9235428606417,0.37348661753456136,-0.0845975864406095,14.543246310291536,,physics,1e-06,0.045212176439236924,0.04787841873601445,0.002666242296777525,0.6470588235294118,0.9193228513139937
vit_base,sae,smooth_fraction,17,5.784618558816522,15.621348019788263,16,17,14.486576254506447,2048,17.9235428606417,0.43592622103853995,-0.01875449833136223,19.62305321076489,,physics,1000.0,0.025341829116104702,0.013533983586304846,-0.011807845529799858,0.4117647058823529,0.9128284090737228
vit_base,sae_sqrt_idf,photo_z,17,4.291920365141611,15.324671046107541,16,17,13.950875867459407,2048,20.129678136916304,0.4173171250640113,-0.1019017286584207,9.021022642648942,,physics,1e-06,0.056271983613150264,0.019490477603289036,-0.03678150600986123,0.29411764705882354,
vit_base,sae_sqrt_idf,mag_r_desi,17,4.255112308971384,15.004234746783474,15,17,13.39921560564099,2048,20.129678136916304,0.3734851547767471,-0.084598172631067,14.543251217224158,,physics,1e-06,0.04521218815215994,0.047878988902019755,0.002666800749859818,0.6470588235294118,
vit_base,sae_sqrt_idf,smooth_fraction,17,5.784629073122543,15.621347304414838,16,17,14.48657619433433,2048,20.129678136916304,0.4359267407406289,-0.018754164943488905,19.623049915544517,,physics,1000.0,0.025341880677995195,0.013534331345750782,-0.011807549332244415,0.4117647058823529,
dinov3,dense,photo_z,17,1.4215742090212866,10.480309179026255,14,17,6.815247620253936,768,3.9736015354050283,0.17748668212664143,0.1855244979227562,7.512478463263872,,physics,1e-06,0.07513821476200581,0.058698435786531666,-0.016439778975474148,0.29411764705882354,
