rank_label,family,beta_raw_pca,beta_raw_dense,delta_beta,n_rungs
8,astropt,0.0030993887660281036,0.004964559398779916,-0.001865170632751812,3
8,convnext,0.0013970175340485263,0.002756206282588369,-0.0013591887485398428,4
8,dinov2,-0.0002990476653831036,4.168311753815377e-05,-0.00034073078292125736,4
8,vit,0.010686596443153768,0.012970861058539843,-0.002284264615386075,3
8,ijepa,0.04197329097074424,0.06615355642128168,-0.02418026545053744,2
16,astropt,0.0023067291199055863,0.004964559398779916,-0.0026578302788743294,3
16,convnext,0.001602125564310314,0.002756206282588369,-0.0011540807182780551,4
16,dinov2,-0.0008070512935573691,4.168311753815377e-05,-0.0008487344110955228,4
16,vit,0.012301466627648982,0.012970861058539843,-0.0006693944308908614,3
16,ijepa,0.05596438796099233,0.06615355642128168,-0.010189168460289347,2
32,astropt,0.003260156614955193,0.004964559398779916,-0.0017044027838247228,3
32,convnext,0.0020263982529405305,0.002756206282588369,-0.0007298080296478386,4
32,dinov2,-0.0013701039393071005,4.168311753815377e-05,-0.0014117870568452543,4
32,vit,0.013603148593431839,0.012970861058539843,0.0006322875348919958,3
32,ijepa,0.05535607939619894,0.06615355642128168,-0.010797477025082741,2
64,astropt,0.003925858917123154,0.004964559398779916,-0.0010387004816567614,3
64,convnext,0.0023256628681288635,0.002756206282588369,-0.0004305434144595056,4
64,dinov2,-0.0008197477862335148,4.168311753815377e-05,-0.0008614309037716686,4
64,vit,0.012942945882398714,0.012970861058539843,-2.7915176141129344e-05,3
64,ijepa,0.05931008506735598,0.06615355642128168,-0.006843471353925698,2
128,astropt,0.00366295134381146,0.004964559398779916,-0.0013016080549684557,3
128,convnext,0.002347242497351292,0.002756206282588369,-0.0004089637852370772,4
128,dinov2,-0.00128641000463926,4.168311753815377e-05,-0.0013280931221774138,4
128,vit,0.013050405861922085,0.012970861058539843,7.954480338224178e-05,3
128,ijepa,0.05946216220855433,0.06615355642128168,-0.006691394212727346,2
256,astropt,0.003331611845197515,0.004964559398779916,-0.0016329475535824009,3
256,convnext,0.00258770113823903,0.002756206282588369,-0.00016850514434933912,4
256,dinov2,-0.0013324693784326762,4.168311753815377e-05,-0.00137415249597083,4
256,vit,0.013302022639168872,0.012970861058539843,0.0003311615806290292,3
256,ijepa,0.06007047077334775,0.06615355642128168,-0.006083085647933931,2
512,astropt,0.0016032292551301473,0.004964559398779916,-0.0033613301436497683,2
512,convnext,0.002675307655502308,0.002756206282588369,-8.089862708606128e-05,4
512,dinov2,9.62438847079576e-05,4.168311753815377e-05,5.456076716980383e-05,3
512,vit,0.013114847847979312,0.012970861058539843,0.00014398678943946912,3
512,ijepa,0.05961423934975268,0.06615355642128168,-0.006539317071529001,2
full,astropt,0.004964559398779916,0.004964559398779916,0.0,3
full,convnext,0.002756206282588369,0.002756206282588369,0.0,4
full,dinov2,4.168311753815377e-05,4.168311753815377e-05,0.0,4
full,vit,0.012970861058539843,0.012970861058539843,0.0,3
full,ijepa,0.06615355642128168,0.06615355642128168,0.0,2
