rank_label,method,mean_family_beta,n_families
8,raw_dense,0.017377373255745593,5
8,raw_pca,0.011371449209718307,5
8,dense_ridge,0.0245905365751183,5
8,pca_ridge,0.01002135528478518,5
16,raw_dense,0.017377373255745593,5
16,raw_pca,0.01427353159585997,5
16,dense_ridge,0.0245905365751183,5
16,pca_ridge,0.01067296735135481,5
32,raw_dense,0.017377373255745593,5
32,raw_pca,0.01457513578364388,5
32,dense_ridge,0.0245905365751183,5
32,pca_ridge,0.016235604290849172,5
64,raw_dense,0.017377373255745593,5
64,raw_pca,0.015536960989754638,5
64,dense_ridge,0.0245905365751183,5
64,pca_ridge,0.017509532721042036,5
128,raw_dense,0.017377373255745593,5
128,raw_pca,0.01544727038139998,5
128,dense_ridge,0.0245905365751183,5
128,pca_ridge,0.02152882955336799,5
256,raw_dense,0.017377373255745593,5
256,raw_pca,0.015591867403504097,5
256,dense_ridge,0.0245905365751183,5
256,pca_ridge,0.026584206557061885,5
512,raw_dense,0.01775202580556551,5
512,raw_pca,0.01542077359861448,5
512,dense_ridge,0.023445747690527034,5
512,pca_ridge,0.027288121223716787,5
full,raw_dense,0.017377373255745593,5
full,raw_pca,0.017377373255745593,5
full,dense_ridge,0.0245905365751183,5
full,pca_ridge,0.0245905365751183,5
