family,from_model,to_model,D_align,delta_H_norm,delta_A_log,delta_D_sim,delta_r90_frac
astropt,official_legacy_cross_astropt_15m,official_legacy_cross_astropt_95m,0.0118400976502899,0.020896973029182253,0.07783869687160605,0.005775341294247283,0.0013020833333333287
astropt,official_legacy_cross_astropt_95m,official_legacy_cross_astropt_850m,-0.002410741531888916,0.0038104318032926576,0.12567753427237194,0.018862036975337393,-0.022412753419638498
convnext,official_legacy_cross_convnext_nano,official_legacy_cross_convnext_tiny,0.0005187671650900214,-0.0064033442713623545,0.04164750254509886,0.005806362564229284,-0.007031250000000003
convnext,official_legacy_cross_convnext_tiny,official_legacy_cross_convnext_base,0.0020445529447665547,-0.012867630299645993,0.006155192596026149,0.009567100279033292,-0.01171875
convnext,official_legacy_cross_convnext_base,official_legacy_cross_convnext_large,0.00045773573390296,0.0014781115146810242,-0.019109868429954213,0.002336194731600183,-0.0006510416666666713
dinov2,official_legacy_cross_dino_small,official_legacy_cross_dino_base,0.0016783643576441867,-0.013538096435535385,-0.007917307303797028,0.014889013717439559,-0.013020833333333343
dinov2,official_legacy_cross_dino_base,official_legacy_cross_dino_large,0.0019835215135794934,0.002241081790141264,-0.033151254890800175,0.0028869142054605,-0.004231770833333329
dinov2,official_legacy_cross_dino_large,official_legacy_cross_dino_giant,0.001556301495270064,-0.03543281149292332,0.14250144782510854,0.025712329167374204,-0.03218584588762215
vit,official_legacy_cross_vit_base,official_legacy_cross_vit_large,0.009307293256026854,0.10289212994983388,-0.1509861154764014,-0.045512282156752404,0.05924479166666667
vit,official_legacy_cross_vit_large,official_legacy_cross_vit_huge,-0.0011290814769606347,-0.038911983122583926,0.009999542242487669,0.01945303423636291,-0.021484375
ijepa,official_legacy_cross_ijepa_huge,official_legacy_cross_ijepa_giant,0.002929508696978944,0.04842313608756543,-0.0357941614235191,-0.011601713863889529,0.013494318181818184
