scope,x,y,spearman,n
all_rungs,mknn_dense_ridge,H_norm,0.03529411764705882,16
astropt,mknn_dense_ridge,H_norm,1.0,3
convnext,mknn_dense_ridge,H_norm,-0.7999999999999999,4
dinov2,mknn_dense_ridge,H_norm,-0.6000000000000001,4
vit,mknn_dense_ridge,H_norm,-0.5,3
all_rungs,lift_ridge,H_norm,0.12058823529411765,16
astropt,lift_ridge,H_norm,0.5,3
convnext,lift_ridge,H_norm,-0.7999999999999999,4
dinov2,lift_ridge,H_norm,-0.7999999999999999,4
vit,lift_ridge,H_norm,0.5,3
all_rungs,mknn_dense_ridge,A_log,0.4264705882352941,16
astropt,mknn_dense_ridge,A_log,1.0,3
convnext,mknn_dense_ridge,A_log,0.39999999999999997,4
dinov2,mknn_dense_ridge,A_log,0.39999999999999997,4
vit,mknn_dense_ridge,A_log,-0.5,3
all_rungs,lift_ridge,A_log,0.37941176470588234,16
astropt,lift_ridge,A_log,0.5,3
convnext,lift_ridge,A_log,0.39999999999999997,4
dinov2,lift_ridge,A_log,0.19999999999999998,4
vit,lift_ridge,A_log,-1.0,3
all_rungs,mknn_dense_ridge,D_sim,0.15,16
astropt,mknn_dense_ridge,D_sim,1.0,3
convnext,mknn_dense_ridge,D_sim,1.0,4
dinov2,mknn_dense_ridge,D_sim,0.6000000000000001,4
vit,mknn_dense_ridge,D_sim,0.5,3
all_rungs,lift_ridge,r_eff_norm,-0.06470588235294117,16
astropt,lift_ridge,r_eff_norm,-0.5,3
convnext,lift_ridge,r_eff_norm,-1.0,4
dinov2,lift_ridge,r_eff_norm,-0.7999999999999999,4
vit,lift_ridge,r_eff_norm,0.5,3
all_rungs,lift_ridge,r90_frac,0.1323529411764706,16
astropt,lift_ridge,r90_frac,0.5,3
convnext,lift_ridge,r90_frac,-1.0,4
dinov2,lift_ridge,r90_frac,-0.7999999999999999,4
vit,lift_ridge,r90_frac,0.5,3
