family,model,size_name,parameter_count,log10_params,mknn_dense,mknn_dense_ridge,lift_ridge,n_total,n_active,active_fraction,geom_mean,H,H_norm,r_eff,r_eff_norm,A_log,D_sim,S_95_5,kappa_95_5,sigma_max,sigma_min_active,r50,r50_frac,r75,r75_frac,r90,r90_frac,r95,r95_frac,r99,r99_frac,eps
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,0.017485505035093073,0.03201098565761367,0.014525480622520598,384,384,1.0,0.12089320771456326,3.1943321573297623,0.5368045768335822,24.393876979141414,0.06352572129984743,1.7620066622264654,0.8989838905197035,5.647265622318608,283.51516741497056,9.42174519734991,8.771661932718009e-05,4,0.010416666666666666,13,0.033854166666666664,38,0.09895833333333333,66,0.171875,135,0.3515625,1e-08
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,0.02187976808056149,0.048245346353371986,0.026365578272810497,768,768,1.0,0.16268865378459837,3.6968570519806065,0.5564379970570084,40.320380147521384,0.052500494983751804,1.837457771393668,0.9016199409091333,5.823496392164696,338.1523021816447,19.925807780575344,1.6242758845574863e-05,6,0.0078125,27,0.03515625,82,0.10677083333333333,133,0.17317708333333334,263,0.3424479166666667,1e-08
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,0.026212999694842844,0.050167836435764425,0.02395483674092158,2048,2047,0.99951171875,0.26294541828174745,4.335231085119289,0.5686197313137006,76.34259849004353,0.03729486980461335,1.9329343840475377,0.9140219945388819,6.271571602129474,529.3085870441008,60.68865377346269,5.464723188001624e-05,10,0.004885197850512946,65,0.03175378602833415,190,0.09281875915974597,308,0.15046409379579873,628,0.306790425012213,1e-08
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,0.017973756484589563,0.04110466890448581,0.023130912419896246,640,640,1.0,0.2333111023847124,3.532176350124556,0.5466522860935616,34.19831418866558,0.053434865919789964,1.8310552173782828,0.911337858100267,5.993791817556375,400.9319922577234,24.522841888821365,0.00012944367342434176,5,0.0078125,18,0.028125,51,0.0796875,91,0.1421875,206,0.321875,1e-08
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,0.018462007934086054,0.04211168751907232,0.023649679584986268,768,768,1.0,0.23943481676765652,3.5701816325326012,0.5373712558541693,35.52304470628034,0.046253964461302526,1.8633047863104777,0.9172586916689379,6.005009678737145,405.4549130079364,29.478099341797584,1.5869706315344228e-05,5,0.006510416666666667,19,0.024739583333333332,56,0.07291666666666667,101,0.13151041666666666,239,0.3111979166666667,1e-08
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,0.019743667989014342,0.045437900518767164,0.025694232529752822,1024,1024,1.0,0.2658757165422371,3.7635361063876243,0.5429634876891983,43.1005650135819,0.042090395521076074,1.8706514687033253,0.9220461428000332,6.038379883284262,419.2133099275941,34.822905959127255,2.1141118608262907e-05,6,0.005859375,21,0.0205078125,69,0.0673828125,128,0.125,308,0.30078125,1e-08
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,0.02108635947512969,0.047238327738785474,0.026151968263655782,1536,1536,1.0,0.3313419048186373,3.855767950040898,0.5255282954439962,47.26490008962581,0.03077141932918347,1.8512846369288463,0.9282879873103322,5.927988726548178,375.3987245415388,63.77831412740396,1.1580210849155814e-05,6,0.00390625,26,0.016927083333333332,96,0.0625,184,0.11979166666666667,454,0.2955729166666667,1e-08
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,0.022886786695148,0.034543790051876716,0.011657003356728715,384,384,1.0,0.16449290857720947,3.4311084842027086,0.5765946204768491,30.910887997049066,0.08049710415898194,1.8198476657131388,0.8911175320856557,5.932129537765234,376.95640259065493,10.700897518421298,0.00022100277973159609,5,0.013020833333333334,16,0.041666666666666664,40,0.10416666666666667,65,0.16927083333333334,135,0.3515625,1e-08
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,0.019530057979859627,0.03286542569423253,0.013335367714372902,768,768,1.0,0.21440010056052158,3.7222700776868454,0.5602630768272856,41.35817389236266,0.05385178892234721,1.8010066018723088,0.9052132840665859,5.791668213633824,327.55900724308464,22.58267969983455,9.720491169919586e-05,6,0.0078125,23,0.029947916666666668,70,0.09114583333333333,122,0.15885416666666666,265,0.3450520833333333,1e-08
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,0.022245956667683857,0.03756484589563625,0.015318889227952395,1024,1023,0.9990234375,0.2729430949555362,0.10658374508396912,0.015378951818504707,1.1124710865293352,0.0010874595176239836,1.7589313336434296,0.9970147746590983,5.614638665015296,274.4142058261914,591.2021920625548,0.00014902036821863636,1,0.0009775171065493646,1,0.0009775171065493646,1,0.0009775171065493646,1,0.0009775171065493646,2,0.0019550342130987292,1e-08
