family,metric,slope_vs_log10P,n_rungs,two_point_only,delta_small_to_large
astropt,H_norm,0.017980430752989468,3,False,0.0318151544801184
astropt,r_eff_norm,-0.014992024523970334,3,False,-0.026230851495234082
astropt,A_log,0.0975751993605933,3,False,0.1709277218210723
astropt,D_sim,0.008714521506861965,3,False,0.015038104019178378
astropt,S_95_5,0.35961441656015025,3,False,0.6243059798108659
astropt,r90_frac,-0.003846418703486088,3,False,-0.006139574173587362
astropt,r95_frac,-0.012571646158431928,3,False,-0.021410906204201274
convnext,H_norm,-0.014014249763597471,4,False,-0.021123990649565494
convnext,r_eff_norm,-0.01829781137003783,4,False,-0.022663446590606495
convnext,A_log,0.016144469907276804,4,False,0.020229419550563454
convnext,D_sim,0.014171390453521407,4,False,0.016950129210065223
convnext,S_95_5,-0.04077996337152827,4,False,-0.06580309100819726
convnext,r90_frac,-0.014539854665497008,4,False,-0.017187499999999994
convnext,r95_frac,-0.018637175961703945,4,False,-0.022395833333333323
dinov2,H_norm,-0.12080514408311378,4,False,-0.0478465775847422
dinov2,r_eff_norm,-0.03540691018924791,4,False,-0.04898044387890956
dinov2,A_log,0.03908372784374608,4,False,0.0879951792757303
dinov2,D_sim,0.03820842468298433,4,False,0.04158389041377997
dinov2,S_95_5,0.08791653524062161,4,False,0.22676706169997907
dinov2,r90_frac,-0.04138625902764956,4,False,-0.04814060803474485
dinov2,r95_frac,-0.06043195388981068,4,False,-0.061778976655808907
vit,H_norm,-0.13923253106108405,3,False,-0.17411603836657347
vit,r_eff_norm,-0.006366492102792099,3,False,-0.013243898128975943
vit,A_log,-0.1046909996754586,3,False,-0.08318775146193791
vit,D_sim,0.027536214993843088,3,False,0.03593969881782666
vit,S_95_5,-0.5807226873560837,3,False,-0.48793114422545614
vit,r90_frac,-0.016834193092003284,3,False,-0.02682291666666667
vit,r95_frac,-0.04709233000664284,3,False,-0.06328125
ijepa,H_norm,1.7263220010595892,2,True,0.3464028241988098
ijepa,r_eff_norm,0.03923131824334944,2,True,0.00787213476292216
ijepa,A_log,2.6390876401757524,2,True,0.5295578758215091
ijepa,D_sim,-0.11284988012898581,2,True,-0.022644394940911416
ijepa,S_95_5,9.033116436099185,2,True,1.81258018078948
ijepa,r90_frac,0.0841866122947562,2,True,0.016892839366430094
ijepa,r95_frac,0.16925462794886523,2,True,0.033962540646657685
astropt,k90_transfer_frac,0.012191387901227188,3,False,0.020833333333333336
convnext,k90_transfer_frac,-0.02514806749476,4,False,-0.02916666666666667
dinov2,k90_transfer_frac,-0.07058215341519297,4,False,-0.125
vit,k90_transfer_frac,-0.038391729626624356,3,False,-0.033333333333333326
ijepa,k90_transfer_frac,0.10193661648552042,2,True,0.020454545454545454
