family,metric,slope_vs_log10P
astropt,A_log,0.11656804921252718
astropt,D_sim,0.014229975598597996
astropt,kappa_95_5,189.26471571914198
convnext,A_log,0.02179512424567335
convnext,D_sim,0.01622797335154475
convnext,kappa_95_5,5.42571150395545
dinov2,A_log,0.047857936637924106
dinov2,D_sim,0.023669785177773146
dinov2,kappa_95_5,66.1879092728581
vit,A_log,-0.1754046506473102
vit,D_sim,-0.03606765035242319
vit,kappa_95_5,-223.89384523760037
ijepa,A_log,-0.1783826344886704
ijepa,D_sim,-0.05781792899510365
ijepa,kappa_95_5,-404.4055940908596
