family,model,parameter_count,mknn_dense,mknn_procrustes,mknn_dense_ridge
astropt,official_legacy_cross_astropt_15m,15000000,0.017485505035093073,0.017454989319499542,0.03201098565761367
astropt,official_legacy_cross_astropt_95m,95000000,0.021879768080561496,0.022093378089716207,0.048245346353371986
astropt,official_legacy_cross_astropt_850m,850000000,0.026212999694842847,0.026396093988404028,0.05016783643576443
convnext,official_legacy_cross_convnext_nano,15000000,0.017973756484589567,0.018095819346963686,0.04110466890448582
convnext,official_legacy_cross_convnext_tiny,28000000,0.018462007934086054,0.01864510222764724,0.04211168751907232
convnext,official_legacy_cross_convnext_base,89000000,0.019743667989014342,0.02017088800732377,0.04543790051876716
convnext,official_legacy_cross_convnext_large,198000000,0.02108635947512969,0.021391516631064998,0.04723832773878548
dinov2,official_legacy_cross_dino_small,22000000,0.022886786695148,0.022978333841928596,0.034543790051876716
dinov2,official_legacy_cross_dino_base,86000000,0.019530057979859627,0.01971315227342081,0.03286542569423253
dinov2,official_legacy_cross_dino_large,300000000,0.02224595666768386,0.02215440952090327,0.03756484589563625
dinov2,official_legacy_cross_dino_giant,1100000000,0.022123893805309734,0.022154409520903265,0.0389990845285322
ijepa,official_legacy_cross_ijepa_huge,630000000,0.01992676228257553,0.02017088800732377,0.039945071711931644
ijepa,official_legacy_cross_ijepa_giant,1000000000,0.033201098565761374,0.033140067134574305,0.05614891669209643
vit,official_legacy_cross_vit_base,86000000,0.015257857796765334,0.014769606347268845,0.02688434543790052
vit,official_legacy_cross_vit_large,307000000,0.024412572474824534,0.02459566676838572,0.04534635337198658
vit,official_legacy_cross_vit_huge,632000000,0.02609093683246872,0.025694232529752822,0.045895636252670124
