family,model,parameter_count,log10_params,k,R_local,null_mean,null_sd,null_p
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,10,0.02199912538075127,0.000829404906839859,0.00146341656009795,0.004975124378109453
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,25,0.017755947431036943,0.000797885416849998,0.0009166176413854488,0.004975124378109453
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,50,0.014376779932891649,0.0007350338853622132,0.0007548947979122365,0.004975124378109453
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,10,0.020372978524736386,0.0005690488654277262,0.0013291363372998695,0.004975124378109453
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,25,0.015936418251956512,0.0004134760685954113,0.0009405086967015606,0.004975124378109453
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,50,0.012840200306868367,0.0004078542591158791,0.0006494045707351485,0.004975124378109453
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,10,0.016123988925550357,0.00012149256408441143,0.0013977838484076483,0.004975124378109453
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,25,0.012586125967462045,0.0002358308657133279,0.0008192009256476865,0.004975124378109453
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,50,0.009677542097232029,8.369405347376311e-05,0.0005971287668549211,0.004975124378109453
convnext,official_legacy_cross_convnext_nano,15000000,7.176091259055681,10,0.009421011669485058,1.1889444861396233e-05,0.0014624686885670564,0.004975124378109453
convnext,official_legacy_cross_convnext_nano,15000000,7.176091259055681,25,0.00556485390595793,6.560610288829955e-05,0.0009239236411342077,0.004975124378109453
convnext,official_legacy_cross_convnext_nano,15000000,7.176091259055681,50,0.004454221895988801,2.6772925137561516e-05,0.0006892646535422917,0.004975124378109453
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,10,0.010722213030510545,0.0005908931355172207,0.0015960296415199148,0.004975124378109453
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,25,0.007435577775600305,0.00045397522159895134,0.0009567389155231348,0.004975124378109453
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,50,0.005183260577262514,0.0005242610939467905,0.0007065746324398747,0.004975124378109453
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,10,0.009208625714025953,0.0009377501587506194,0.0013834777375234455,0.004975124378109453
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,25,0.006142848888267531,0.0007095968016415501,0.0009779138580883267,0.004975124378109453
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,50,0.005351376693150043,0.000853175582469278,0.0006565292582726511,0.004975124378109453
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,10,0.007591555939987009,0.0005961306219228541,0.0015394218986682206,0.004975124378109453
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,25,0.006684362001103423,0.0006571522737098441,0.0009569840582484395,0.004975124378109453
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,50,0.0052528982489426475,0.0006385942455581179,0.0007037501151417642,0.004975124378109453
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,10,0.012228914635256575,0.00042579794660608974,0.001391007434474002,0.004975124378109453
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,25,0.007882353389278243,0.00043743892295197733,0.000882441359400423,0.004975124378109453
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,50,0.0051348888407848885,0.00040017359189548784,0.0006367117979332842,0.004975124378109453
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,10,0.007993618459878981,0.00038138086928081775,0.0014678419868498168,0.004975124378109453
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,25,0.005737710807218224,0.00033125311554469495,0.0007924743542093237,0.004975124378109453
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,50,0.005081923945609528,0.0002678523916673982,0.0006340325574662597,0.004975124378109453
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,10,0.010431195508723654,0.0008957413789202692,0.0013328282009553215,0.004975124378109453
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,25,0.007397856131993162,0.0007552101875235278,0.0009047904228555155,0.004975124378109453
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,50,0.005379486282716554,0.00082317285445244,0.0006093069484903466,0.004975124378109453
dinov2,official_legacy_cross_dino_giant,1100000000,9.041392685158225,10,0.009615918455934456,0.001052501010164751,0.001555127170552102,0.004975124378109453
