family,k,slope_R_local_vs_log10P,mean_R_local,mean_null_p
astropt,10,-0.0033852606225789924,0.019498697610346002,0.004975124378109453
astropt,25,-0.002966241836422819,0.015426163883485167,0.004975124378109453
astropt,50,-0.002700048161542587,0.012298174112330681,0.004975124378109453
convnext,10,-0.0019336503961626293,0.009235851588502143,0.004975124378109453
convnext,25,0.0003670793380640922,0.006456910642732297,0.004975124378109453
convnext,50,0.0006273898080942708,0.005060439353836001,0.004975124378109453
dinov2,10,-0.0009946367638985687,0.010067411764948417,0.004975124378109453
dinov2,25,-0.00035935076474127376,0.006927232707890206,0.004975124378109453
dinov2,50,0.0005889752189919525,0.0054364356453712815,0.004975124378109453
vit,10,-0.00014517542155507583,0.009023816563459937,0.004975124378109453
vit,25,-0.00021745621078714293,0.006553753618708909,0.004975124378109453
vit,50,-0.00035005921317712483,0.0057244799926475165,0.004975124378109453
ijepa,10,0.02730482675339713,0.028786595047223335,0.004975124378109453
ijepa,25,0.013545064085022073,0.024375322687862154,0.004975124378109453
ijepa,50,-0.003526925026717084,0.020806981416727315,0.004975124378109453
