family,model,size_name,parameter_count,log10_params,mknn_dense,mknn_dense_ridge,mknn_procrustes,lift_ridge,lift_proc,gap_ridge_minus_proc
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,0.017485505035093073,0.03201098565761367,0.017454989319499542,0.014525480622520598,-3.0515715593530668e-05,0.014555996338114129
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,0.021879768080561496,0.048245346353371986,0.022093378089716207,0.02636557827281049,0.0002136100091547112,0.02615196826365578
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,0.026212999694842847,0.05016783643576443,0.026396093988404028,0.023954836740921585,0.00018309429356118054,0.023771742447360404
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,0.017973756484589567,0.04110466890448582,0.018095819346963686,0.02313091241989625,0.0001220628623741192,0.02300884955752213
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,0.018462007934086054,0.04211168751907232,0.01864510222764724,0.023649679584986268,0.00018309429356118748,0.02346658529142508
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,0.019743667989014342,0.04543790051876716,0.02017088800732377,0.025694232529752815,0.00042722001830942935,0.025267012511443386
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,0.02108635947512969,0.04723832773878548,0.021391516631064998,0.02615196826365579,0.0003051571559353067,0.025846811107720483
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,0.022886786695148,0.034543790051876716,0.022978333841928596,0.011657003356728715,9.154714678059547e-05,0.01156545620994812
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,0.019530057979859627,0.03286542569423253,0.01971315227342081,0.013335367714372902,0.000183094293561184,0.013152273420811718
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,0.02224595666768386,0.03756484589563625,0.02215440952090327,0.015318889227952392,-9.1547146780592e-05,0.015410436374732984
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,0.022123893805309734,0.0389990845285322,0.022154409520903265,0.016875190723222466,3.0515715593530668e-05,0.016844675007628936
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,0.01992676228257553,0.039945071711931644,0.02017088800732377,0.020018309429356115,0.00024412572474824187,0.019774183704607873
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,0.033201098565761374,0.05614891669209643,0.033140067134574305,0.022947818126335055,-6.1031431187068275e-05,0.023008849557522124
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,0.015257857796765334,0.02688434543790052,0.014769606347268845,0.011626487641135184,-0.00048825144949648895,0.012114739090631673
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,0.024412572474824534,0.04534635337198658,0.02459566676838572,0.020933780897162045,0.000183094293561184,0.02075068660360086
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,0.02609093683246872,0.045895636252670124,0.025694232529752822,0.019804699420201403,-0.0003967043027158987,0.020201403722917302
