perm_id,T,median_delta_beta,n_pos_family,mean_D,n_pos_D,delta_beta_astropt,delta_beta_convnext,delta_beta_dinov2,delta_beta_vit,delta_beta_ijepa
0,-0.01748708121868584,-0.005416938013830997,0,-0.003373373651066663,1,-0.005416938013830997,-0.0031125637389872378,-0.00034057289740630067,-0.013476315010311421,-0.06508901643289323
1,-0.017047533723859035,-0.005255256543656547,0,-0.0031680861098010928,2,-0.005255256543656547,-0.0027434028776823025,-0.00012460746012760008,-0.012025385304935488,-0.06508901643289323
2,-0.016994822857974583,-0.005101474602329507,0,-0.0032929231281382644,1,-0.005101474602329507,-0.002781112247998733,-0.0008271367957111241,-0.013456531328915562,-0.062807859314918
3,-0.017624772327435312,-0.005081635912557074,0,-0.003384470274918856,1,-0.005081635912557074,-0.003769344649398617,-2.465834041266298e-05,-0.013398820595923223,-0.06584940213888497
4,-0.017020402564405204,-0.0051609906716468075,1,-0.003287374816212168,2,-0.0051609906716468075,-0.003284044797323634,0.00020296286448354752,-0.013900003761422763,-0.06295993645611636
5,-0.01700568387154732,-0.005545953688533174,0,-0.0033927927428080012,3,-0.005545953688533174,-0.00289053512825536,-0.0007357568960884117,-0.012896237188743304,-0.06295993645611636
6,-0.017587388812265077,-0.005009215708122302,0,-0.003437179238216773,1,-0.005009215708122302,-0.003360380864161539,-0.0007007323080318304,-0.013473444465719762,-0.06539317071528994
7,-0.01663692328196026,-0.00508956111787703,1,-0.003242988320803396,1,-0.00508956111787703,-0.003505707123289067,1.6481905166839398e-06,-0.012695599891423964,-0.06189539646772792
8,-0.017172315566579534,-0.004520105989048796,0,-0.003320664687768747,1,-0.004520105989048796,-0.0029608641493178117,-0.000758272524992542,-0.013749935866232067,-0.06387239930330645
9,-0.016939242366508143,-0.005222488042294096,0,-0.003287374816212168,2,-0.005222488042294096,-0.0029022020504326654,-0.0006224642144014487,-0.012532889645701107,-0.0634161678797114
10,-0.018439279704261458,-0.005346524787198758,0,-0.003586983660221378,1,-0.005346524787198758,-0.0036099613727183107,-0.0007520644828032058,-0.012988594350941659,-0.06949925352764535
11,-0.01784740698689882,-0.005728490175617597,0,-0.003481565733625545,2,-0.005728490175617597,-0.0033680045545228677,-0.0002519518076364405,-0.01358295483423717,-0.06630563356248002
12,-0.01698327867565497,-0.005177883085896802,0,-0.003306793907953505,1,-0.005177883085896802,-0.0024941080158286497,-0.0002244645743370063,-0.013755846963699338,-0.06326409073851305
13,-0.01770350400749912,-0.004996285896532285,0,-0.003384470274918856,2,-0.004996285896532285,-0.00376144944809338,-0.00025900838466165173,-0.01319514274572827,-0.06630563356248002
14,-0.017739052389875432,-0.004836585727687824,0,-0.003226343385025107,1,-0.004836585727687824,-0.0020367563446697817,-0.000384253827524285,-0.012394643945444955,-0.0690430221040503
15,-0.01551990366934355,-0.005084607864552057,0,-0.0031708602657641418,1,-0.005084607864552057,-0.002488476611730642,-0.0004644806216521368,-0.013293411005393897,-0.05626854224338901
16,-0.01725314359077664,-0.005596553901865525,0,-0.003398341054734098,1,-0.005596553901865525,-0.0025285936546697503,-0.0003949345613361963,-0.013569082250308584,-0.06417655358570315
17,-0.018358702079802308,-0.005125301571234463,0,-0.003395566898771049,1,-0.005125301571234463,-0.002476011019287177,-0.0003136104374575153,-0.013162716713800251,-0.07071587065723214
18,-0.017460724924344202,-0.005610423011175447,0,-0.0034510500180320136,2,-0.005610423011175447,-0.002698631753499781,-0.00018076660528376295,-0.014485172524860535,-0.0643286307269015
19,-0.017612672266320857,-0.005221574421046735,0,-0.0033678253391405664,2,-0.005221574421046735,-0.0025716566132711395,-0.00044048286695797905,-0.013524013867848406,-0.06630563356248002
20,-0.017232788543383733,-0.004984372412079807,0,-0.0032513107886925404,2,-0.004984372412079807,-0.0027676582489833215,-1.0479948783775421e-05,-0.013464492815376877,-0.06493693929169489
21,-0.01717615565172575,-0.005254240216519007,0,-0.0033872444308819046,1,-0.005254240216519007,-0.0032467221524020017,-0.00011191096745145357,-0.014155891324941591,-0.0631120135973147
22,-0.016772838405211724,-0.004908066634402691,0,-0.0031986018253946243,1,-0.004908066634402691,-0.0026299019884367127,-0.0007523356157834464,-0.012157719907724369,-0.0634161678797114
23,-0.01772607300139229,-0.005476505436093386,0,-0.003395566898771049,2,-0.005476505436093386,-0.002955057534119364,-0.0004040944728693941,-0.013032842577804222,-0.06676186498607507
24,-0.017396947558280147,-0.00453001249569874,0,-0.0033705994951036154,1,-0.00453001249569874,-0.0033195203687576107,-0.0006876731305444855,-0.013662669645903366,-0.06478486215049654
25,-0.018116880616764856,-0.005345508460061219,1,-0.0033123422198796017,1,-0.005345508460061219,-0.0026691869212968917,0.00029338541166688153,-0.012755531021694301,-0.07010756209243875
26,-0.015278612139941342,-0.004960571119647396,0,-0.0031986018253946243,1,-0.004960571119647396,-0.0030355457423549936,-0.00048509040540106946,-0.013924468306889466,-0.05398738512541378
27,-0.017031768273349086,-0.005445743912533469,0,-0.00333176131162094,1,-0.005445743912533469,-0.0032855177551547746,-0.0001204233560141992,-0.01319514274572827,-0.0631120135973147
28,-0.016749698793366748,-0.005034972625412157,0,-0.003231891696951203,2,-0.005034972625412157,-0.003254617353707238,-0.00022499377754943472,-0.012578128036445242,-0.06265578217371966
29,-0.018507548343597004,-0.005134191750746868,0,-0.0035370488528865098,2,-0.005134191750746868,-0.003810042543440386,-6.757433515131699e-05,-0.0143308338433978,-0.06919509924524865
30,-0.01740773146824253,-0.0048970924476701184,0,-0.0033789219629927593,2,-0.0048970924476701184,-0.0035191437337179854,-0.00033570700369554114,-0.013806006288029173,-0.06448070786809984
31,-0.017417647984149638,-0.005073710707237118,0,-0.0034233084584015315,2,-0.005073710707237118,-0.0031637586326647847,-0.0005214485090499548,-0.013848614203696501,-0.06448070786809984
32,-0.016672946461134895,-0.005230438924086596,0,-0.003351180403362277,1,-0.005230438924086596,-0.0034772270042024898,-0.000586491133629048,-0.012935564482020165,-0.06113501076173617
33,-0.016927861669933486,-0.005496369802338363,0,-0.0033761478070297116,2,-0.005496369802338363,-0.0032667214402324696,-0.00045415416660243765,-0.012462126484377799,-0.06295993645611636
34,-0.016859858648184043,-0.0048832233383601965,0,-0.0032929231281382644,2,-0.0048832233383601965,-0.003129217776022345,-0.0007452135743424835,-0.013037933519673877,-0.06250370503252131
35,-0.01685869280304292,-0.005388183468073613,0,-0.003242988320803396,2,-0.005388183468073613,-0.003259006228875885,-7.599494504581814e-05,-0.01245826577590457,-0.0631120135973147
36,-0.01733419517255961,-0.005601507155190496,0,-0.0032568591006186367,2,-0.005601507155190496,-0.0023344990890947753,-0.00010660321933473054,-0.012626887119094697,-0.06600147928008333
37,-0.017678356522852424,-0.005643165836065353,0,-0.003448275862068966,2,-0.005643165836065353,-0.0026201771022303128,-0.0007801505867553135,-0.013194732667929462,-0.06615355642128168
38,-0.017159309277579627,-0.005551846239578052,0,-0.0033040197519904574,2,-0.005551846239578052,-0.0022537567585017306,-0.0005896915710505774,-0.01322469823306463,-0.06417655358570315
39,-0.018140260806350485,-0.0056600582503153465,1,-0.0034593724859211593,2,-0.0056600582503153465,-0.0028097075815362005,1.431371224127164e-05,-0.013963215514083567,-0.06828263639805857
40,-0.01773077020616473,-0.00534256218453878,1,-0.0033761478070297116,2,-0.00534256218453878,-0.003001682036658682,6.707118127319574e-05,-0.013918967287221003,-0.06645771070367838
41,-0.017335258040353026,-0.005620355194297936,1,-0.003403889366660194,1,-0.005620355194297936,-0.00312772112473557,0.00012027050471108323,-0.014176085084136257,-0.06387239930330645
42,-0.01725927219219458,-0.005466573252970897,1,-0.003328987155657891,2,-0.005466573252970897,-0.0030576273114231094,9.919963376175293e-06,-0.013301372491855212,-0.06448070786809984
