family,model,parameter_count,log10_params,eps,n_total,n_active,active_fraction,geom_mean,H,H_norm,r_eff,r_eff_norm,A_log,D_sim,S_95_5,kappa_95_5,sigma_max,sigma_min_active,r50,r50_frac,r75,r75_frac,r90,r90_frac,r95,r95_frac,r99,r99_frac
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,1e-06,384,384,1.0,0.12103034567590032,3.540157776488914,0.5949202536034403,34.47235768937332,0.08977176481607635,1.7851678560936985,0.8815120614091644,5.692912379232001,296.7566311730939,7.507508746409702,8.190095810570621e-05,6,0.015625,18,0.046875,46,0.11979166666666667,74,0.19270833333333334,142,0.3697916666666667
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,1e-08,384,384,1.0,0.12103034567590032,3.540157776488914,0.5949202536034403,34.47235768937332,0.08977176481607635,1.7851678560936985,0.8815120614091644,5.692912379232001,296.7566311730939,7.507508746409702,8.190095810570621e-05,6,0.015625,18,0.046875,46,0.11979166666666667,74,0.19270833333333334,142,0.3697916666666667
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,1e-10,384,384,1.0,0.12103034567590032,3.540157776488914,0.5949202536034403,34.47235768937332,0.08977176481607635,1.7851678560936985,0.8815120614091644,5.692912379232001,296.7566311730939,7.507508746409702,8.190095810570621e-05,6,0.015625,18,0.046875,46,0.11979166666666667,74,0.19270833333333334,142,0.3697916666666667
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,1e-06,768,768,1.0,0.16386634072778006,4.091360167797291,0.6158172266326225,59.82120326720371,0.07789219175417149,1.8630065529653046,0.8872874027034117,5.909776339126941,368.62369949016096,14.546929911563936,1.691168720687877e-05,9,0.01171875,35,0.045572916666666664,93,0.12109375,144,0.1875,272,0.3541666666666667
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,1e-08,768,768,1.0,0.16386634072778006,4.091360167797291,0.6158172266326225,59.82120326720371,0.07789219175417149,1.8630065529653046,0.8872874027034117,5.909776339126941,368.62369949016096,14.546929911563936,1.691168720687877e-05,9,0.01171875,35,0.045572916666666664,93,0.12109375,144,0.1875,272,0.3541666666666667
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,1e-10,768,768,1.0,0.16386634072778006,4.091360167797291,0.6158172266326225,59.82120326720371,0.07789219175417149,1.8630065529653046,0.8872874027034117,5.909776339126941,368.62369949016096,14.546929911563936,1.691168720687877e-05,9,0.01171875,35,0.045572916666666664,93,0.12109375,144,0.1875,272,0.3541666666666667
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,1e-06,2048,2047,0.99951171875,0.26816567070434627,4.724122182402947,0.6196276584359152,112.63158497918279,0.055022757684016994,1.9886840872376765,0.9061494396787491,6.436422380245746,624.1697584979398,49.93221093400817,5.048734592702326e-05,17,0.008304836345872008,77,0.03761602344894968,202,0.0986809965803615,318,0.15534929164631167,627,0.3063019052271617
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,1e-08,2048,2047,0.99951171875,0.26816567070434627,4.724122182402947,0.6196276584359152,112.63158497918279,0.055022757684016994,1.9886840872376765,0.9061494396787491,6.436422380245746,624.1697584979398,49.93221093400817,5.048734592702326e-05,17,0.008304836345872008,77,0.03761602344894968,202,0.0986809965803615,318,0.15534929164631167,627,0.3063019052271617
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,1e-10,2048,2048,1.0,0.2664026537494721,4.7241221824029465,0.6195879677369344,112.63158497918269,0.05499589110311655,2.010471164353581,0.9061976369234783,6.451704642130513,633.781743573887,49.93221093400817,3.6444555242383567e-07,17,0.00830078125,77,0.03759765625,202,0.0986328125,318,0.1552734375,627,0.30615234375
convnext,official_legacy_cross_convnext_nano,15000000,7.176091259055681,1e-06,640,640,1.0,0.19458899467912252,3.7106782534891316,0.5742778811584446,40.88152516287965,0.06387738306699944,1.8596213842317921,0.9045290548940254,6.065004249943821,430.5245073732811,17.832296306332314,0.0001076941048005315,6,0.009375,21,0.0328125,57,0.0890625,97,0.1515625,209,0.3265625
convnext,official_legacy_cross_convnext_nano,15000000,7.176091259055681,1e-08,640,640,1.0,0.19458899467912252,3.7106782534891316,0.5742778811584446,40.88152516287965,0.06387738306699944,1.8596213842317921,0.9045290548940254,6.065004249943821,430.5245073732811,17.832296306332314,0.0001076941048005315,6,0.009375,21,0.0328125,57,0.0890625,97,0.1515625,209,0.3265625
convnext,official_legacy_cross_convnext_nano,15000000,7.176091259055681,1e-10,640,640,1.0,0.19458899467912252,3.7106782534891316,0.5742778811584446,40.88152516287965,0.06387738306699944,1.8596213842317921,0.9045290548940254,6.065004249943821,430.5245073732811,17.832296306332314,0.0001076941048005315,6,0.009375,21,0.0328125,57,0.0890625,97,0.1515625,209,0.3265625
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,1e-06,768,767,0.9986979166666666,0.21830282849895824,3.7728390178842672,0.5679859261606188,43.50339660345017,0.05671890039563256,1.8709577734007403,0.9102127535347547,6.085902486344699,439.61638147839255,23.771766874927774,0.00016310925994746735,7,0.009126466753585397,23,0.02998696219035202,63,0.08213820078226858,109,0.1421121251629726,242,0.3155149934810952
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,1e-08,768,768,1.0,0.21560167841791897,3.772839017886386,0.5678745368870822,43.50339660354234,0.056645047660862424,1.901268886776891,0.9103354174582546,6.119016285010134,454.417457294222,23.771766874927774,1.5357137691360354e-05,7,0.009114583333333334,23,0.029947916666666668,63,0.08203125,109,0.14192708333333334,242,0.3151041666666667
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,1e-10,768,768,1.0,0.21560167841791897,3.772839017886386,0.5678745368870822,43.50339660354234,0.056645047660862424,1.901268886776891,0.9103354174582546,6.119016285010134,454.417457294222,23.771766874927774,1.5357137691360354e-05,7,0.009114583333333334,23,0.029947916666666668,63,0.08203125,109,0.14192708333333334,242,0.3151041666666667
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,1e-06,1024,1023,0.9990234375,0.2421235982186259,3.847014724922491,0.5550851497388379,46.85298520085498,0.04579959452673996,1.8846478511794913,0.9198208116105758,6.134925378617919,461.7046396950797,32.25554293631275,0.00010308327003174484,7,0.006842619745845552,24,0.02346041055718475,72,0.07038123167155426,130,0.1270772238514174,305,0.2981427174975562
