family,model,size_name,parameter_count,log10_params,mknn_dense,mknn_dense_ridge,lift_ridge,n_total,n_active,active_fraction,geom_mean,H,H_norm,r_eff,r_eff_norm,A_log,D_sim,S_95_5,kappa_95_5,sigma_max,sigma_min_active,r50,r50_frac,r75,r75_frac,r90,r90_frac,r95,r95_frac,r99,r99_frac,eps
astropt,official_legacy_cross_astropt_15m,15m,15000000,7.176091259055681,0.017485505035093073,0.03201098565761367,0.014525480622520598,384,384,1.0,0.12103034567590032,3.540157776488914,0.5949202536034403,34.47235768937332,0.08977176481607635,1.7851678560936985,0.8815120614091644,5.692912379232001,296.7566311730939,7.507508746409702,8.190095810570621e-05,6,0.015625,18,0.046875,46,0.11979166666666667,74,0.19270833333333334,142,0.3697916666666667,1e-08
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,0.02187976808056149,0.048245346353371986,0.026365578272810497,768,768,1.0,0.16386634072778006,4.091360167797291,0.6158172266326225,59.82120326720371,0.07789219175417149,1.8630065529653046,0.8872874027034117,5.909776339126941,368.62369949016096,14.546929911563936,1.691168720687877e-05,9,0.01171875,35,0.045572916666666664,93,0.12109375,144,0.1875,272,0.3541666666666667,1e-08
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,0.026212999694842844,0.050167836435764425,0.02395483674092158,2048,2047,0.99951171875,0.26816567070434627,4.724122182402947,0.6196276584359152,112.63158497918279,0.055022757684016994,1.9886840872376765,0.9061494396787491,6.436422380245746,624.1697584979398,49.93221093400817,5.048734592702326e-05,17,0.008304836345872008,77,0.03761602344894968,202,0.0986809965803615,318,0.15534929164631167,627,0.3063019052271617,1e-08
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,0.017973756484589563,0.04110466890448581,0.023130912419896246,640,640,1.0,0.19458899467912252,3.7106782534891316,0.5742778811584446,40.88152516287965,0.06387738306699944,1.8596213842317921,0.9045290548940254,6.065004249943821,430.5245073732811,17.832296306332314,0.0001076941048005315,6,0.009375,21,0.0328125,57,0.0890625,97,0.1515625,209,0.3265625,1e-08
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,0.018462007934086054,0.04211168751907232,0.023649679584986268,768,768,1.0,0.21560167841791897,3.772839017886386,0.5678745368870822,43.50339660354234,0.056645047660862424,1.901268886776891,0.9103354174582546,6.119016285010134,454.417457294222,23.771766874927774,1.5357137691360354e-05,7,0.009114583333333334,23,0.029947916666666668,63,0.08203125,109,0.14192708333333334,242,0.3151041666666667,1e-08
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,0.019743667989014342,0.045437900518767164,0.025694232529752822,1024,1024,1.0,0.2398652266343115,3.847014724923784,0.5550069065874362,46.85298520091555,0.04575486836026909,1.9074240793729171,0.9199025177372879,6.158513527810133,472.7248599518593,32.25554293631275,1.646397038719519e-05,7,0.0068359375,24,0.0234375,72,0.0703125,130,0.126953125,305,0.2978515625,1e-08
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,0.02108635947512969,0.047238327738785474,0.026151968263655782,1536,1536,1.0,0.2783588975242483,4.082895471238676,0.5564850181021173,59.31697202672148,0.038617820329896795,1.888314210942963,0.9222387124688881,6.068049048371535,431.8373653961754,49.16536063578585,8.802243289518892e-06,8,0.005208333333333333,33,0.021484375,107,0.06966145833333333,197,0.12825520833333334,460,0.2994791666666667,1e-08
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,0.022886786695148,0.034543790051876716,0.011657003356728715,384,384,1.0,0.15599284903531882,3.568608550988837,0.5997013800529782,35.46720798964318,0.09236252080636244,1.8419089871787169,0.8844512049481034,5.979049722500983,395.0647685614492,8.852476991770356,0.00019937594724057765,6,0.015625,18,0.046875,43,0.11197916666666667,68,0.17708333333333334,137,0.3567708333333333,1e-08
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,0.019530057979859627,0.03286542569423253,0.013335367714372902,768,768,1.0,0.20434244670445104,3.894345605645694,0.5861632836174429,49.123896441684714,0.0639634068251103,1.8339916798749198,0.8993402186655429,5.908239415744685,368.05758825339524,19.57394843125161,8.73634798442488e-05,7,0.009114583333333334,27,0.03515625,76,0.09895833333333333,127,0.16536458333333334,265,0.3450520833333333,1e-08
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,0.022245956667683857,0.03756484589563625,0.015318889227952395,1024,1024,1.0,0.23481304988004048,4.078508269114307,0.5884043654075841,59.057306500103174,0.057673150879007005,1.8008404249841197,0.9022271328710034,5.768721734133506,320.1282619667422,21.28396819186933,1.1351946854371695e-05,8,0.0078125,31,0.0302734375,97,0.0947265625,168,0.1640625,360,0.3515625,1e-08
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,0.022123893805309734,0.038999084528532194,0.01687519072322246,1536,1535,0.9993489583333334,0.28249722188042664,4.0567572813838195,0.5529715539146608,57.786621178397375,0.03764600728234357,1.9433418728092282,0.9279394620383776,6.28469270666351,536.2994640620718,50.15176523242801,2.6440745291673846e-05,8,0.005211726384364821,30,0.019543973941368076,96,0.06254071661237785,177,0.11530944625407166,424,0.2762214983713355,1e-08
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,0.019926762282575526,0.039945071711931644,0.020018309429356118,1280,1280,1.0,0.21796830362683223,3.2167555976662956,0.44960566532173857,24.94705047230246,0.019489883181486298,2.0595572498459083,0.950892507603291,6.6338689791647685,760.4185300715702,74.17136496673817,7.702428530993405e-06,3,0.00234375,14,0.0109375,50,0.0390625,97,0.07578125,262,0.2046875,1e-08
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,0.03320109856576137,0.05614891669209643,0.022947818126335062,1408,1408,1.0,0.22568417894973136,3.6106717253583644,0.498028801409304,36.990892191582496,0.026271940476976206,2.023763088422389,0.9392907937394015,6.52101976055851,679.2707257634005,59.21191157814272,3.709862731042252e-06,4,0.002840909090909091,22,0.015625,74,0.052556818181818184,139,0.09872159090909091,343,0.24360795454545456,1e-08
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,0.015257857796765334,0.02688434543790052,0.011626487641135184,768,768,1.0,0.192951487883064,3.767657587738397,0.567094646138563,43.27856975813598,0.05635230437257289,1.858029794192519,0.9101174388072693,6.043691212949554,421.4458135497733,20.28164103693776,7.388707955871666e-05,6,0.0078125,22,0.028645833333333332,64,0.08333333333333333,110,0.14322916666666666,244,0.3177083333333333,1e-08
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,0.024412572474824534,0.04534635337198657,0.020933780897162038,1024,1024,1.0,0.2079646791066394,4.643994448581196,0.6699867760883969,103.95877731366014,0.10152224347037123,1.7070436787161176,0.8646051566505168,5.400432932507409,221.50229099126932,10.1686151273956,6.983608174367128e-06,16,0.015625,56,0.0546875,146,0.142578125,230,0.224609375,431,0.4208984375,1e-08
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,0.02609093683246872,0.045895636252670124,0.019804699420201403,1280,1280,1.0,0.20116210429646522,4.515097405114315,0.6310747929658129,91.38646709815065,0.0713956774204302,1.7170432209586053,0.8840581908868798,5.492844654516202,242.9473260254547,17.83433321323074,2.667952291825764e-05,13,0.01015625,54,0.0421875,155,0.12109375,253,0.19765625,502,0.3921875,1e-08
