family,metric,slope_vs_log10P,n_rungs,two_point_only,delta_small_to_large
astropt,H_norm,0.013780051265114402,3,False,0.02470740483247491
astropt,r_eff_norm,-0.019949000033343066,3,False,-0.034749007132059355
astropt,A_log,0.11656804921252735,3,False,0.203516231143978
astropt,D_sim,0.014229975598597996,3,False,0.024637378269584675
astropt,S_95_5,0.4280519141956705,3,False,0.7435100010137452
astropt,r90_frac,-0.012395951999620885,3,False,-0.02111067008630517
astropt,r95_frac,-0.021692929937477227,3,False,-0.03735904168702167
convnext,H_norm,-0.01727559908254661,4,False,-0.017792863056327324
convnext,r_eff_norm,-0.02235264424264125,4,False,-0.02525956273710265
convnext,A_log,0.02179512424567342,4,False,0.028692826711170794
convnext,D_sim,0.016227973351544685,4,False,0.01770965757486276
convnext,S_95_5,0.011744256681439297,4,False,0.0030447984277133244
convnext,r90_frac,-0.018124328060961,4,False,-0.019401041666666674
convnext,r95_frac,-0.021988741792300925,4,False,-0.023307291666666646
dinov2,H_norm,-0.02447789011435166,4,False,-0.04672982613831744
dinov2,r_eff_norm,-0.030330549804107557,4,False,-0.05471651352401887
dinov2,A_log,0.04785793663792386,4,False,0.10143288563051134
dinov2,D_sim,0.023669785177773087,4,False,0.04348825709027426
dinov2,S_95_5,0.13686600289204304,4,False,0.30564298416252633
dinov2,r90_frac,-0.027040387405876654,4,False,-0.04943845005428882
dinov2,r95_frac,-0.03305027309419087,4,False,-0.06177388707926168
vit,H_norm,0.08671961007261791,3,False,0.06398014682724995
vit,r_eff_norm,0.024735357567428094,3,False,0.015043373047857307
vit,A_log,-0.17540465064731028,3,False,-0.14098657323391373
vit,D_sim,-0.03606765035242329,3,False,-0.026059247920389494
vit,S_95_5,-0.6963705807785772,3,False,-0.550846558433352
vit,r90_frac,0.05087421455910094,3,False,0.03776041666666667
vit,r95_frac,0.07249755882713331,3,False,0.05442708333333335
ijepa,H_norm,0.2413199874499001,2,True,0.04842313608756543
ijepa,r_eff_norm,0.03379884314953327,2,True,0.006782057295489908
ijepa,A_log,-0.1783826344886704,2,True,-0.0357941614235191
ijepa,D_sim,-0.057817928995104774,2,True,-0.011601713863889529
ijepa,S_95_5,-0.5623917453125545,2,True,-0.11284921860625818
ijepa,r90_frac,0.06724985115364197,2,True,0.013494318181818184
ijepa,r95_frac,0.11432474696119135,2,True,0.022940340909090917
astropt,k90_transfer_frac,0.04741290067608092,3,False,0.08333333333333334
convnext,k90_transfer_frac,-0.015548030449108829,4,False,-0.02916666666666667
dinov2,k90_transfer_frac,-0.025714262729618825,4,False,-0.041666666666666664
vit,k90_transfer_frac,-0.038391729626624356,3,False,-0.033333333333333326
ijepa,k90_transfer_frac,-0.02265258144122677,2,True,-0.004545454545454547
