family,model,parameter_count,log10_params,k90_transfer,k90_transfer_frac,H_norm,mknn_dense_ridge,lift_ridge
astropt,official_legacy_cross_astropt_15m,15000000,7.176091259055681,16,0.041666666666666664,0.5949202536034403,0.03201098565761367,0.014525480622520598
astropt,official_legacy_cross_astropt_850m,850000000,8.929418925714293,256,0.125,0.6196276584359152,0.050167836435764425,0.02395483674092158
astropt,official_legacy_cross_astropt_95m,95000000,7.977723605288848,64,0.08333333333333333,0.6158172266326225,0.048245346353371986,0.026365578272810497
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,64,0.0625,0.5550069065874362,0.045437900518767164,0.025694232529752822
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,32,0.020833333333333332,0.5564850181021173,0.047238327738785474,0.026151968263655782
convnext,official_legacy_cross_convnext_nano,15000000,7.176091259055681,32,0.05,0.5742778811584446,0.04110466890448581,0.023130912419896246
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,32,0.041666666666666664,0.5678745368870822,0.04211168751907232,0.023649679584986268
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,64,0.08333333333333333,0.5861632836174429,0.03286542569423253,0.013335367714372902
dinov2,official_legacy_cross_dino_giant,1100000000,9.041392685158225,64,0.041666666666666664,0.5529715539146608,0.038999084528532194,0.01687519072322246
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,64,0.0625,0.5884043654075841,0.03756484589563625,0.015318889227952395
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,32,0.08333333333333333,0.5997013800529782,0.034543790051876716,0.011657003356728715
ijepa,official_legacy_cross_ijepa_giant,1000000000,9.0,64,0.045454545454545456,0.498028801409304,0.05614891669209643,0.022947818126335062
ijepa,official_legacy_cross_ijepa_huge,630000000,8.799340549453582,64,0.05,0.44960566532173857,0.039945071711931644,0.020018309429356118
vit,official_legacy_cross_vit_base,86000000,7.9344984512435675,64,0.08333333333333333,0.567094646138563,0.02688434543790052,0.011626487641135184
vit,official_legacy_cross_vit_huge,632000000,8.800717078282386,64,0.05,0.6310747929658129,0.045895636252670124,0.019804699420201403
vit,official_legacy_cross_vit_large,307000000,8.487138375477187,64,0.0625,0.6699867760883969,0.04534635337198657,0.020933780897162038
